incident_number,alarm_type,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
621642-22072012,1200,Cooking-time,apartment,Week_ends,0,1,0,100
622375-23072012,1100,Office Hours,tansport,Work_days,0,20,0,100
622533-24072012,1900,Night-time,others,Work_days,0,24,0,100
622650-24072012,6110,Office Hours,shopping_mall,Work_days,0,24,0,100
623214-25072012,1370,Cooking-time,others,Work_days,0,1,0,100
624312-27072012,6200,Office Hours,house,Work_days,0,19,0,100
624539-28072012,1100,Night-time,house,Week_ends,0,4,0,100
624540-28072012,6100,Night-time,house,Week_ends,0,16,0,100
624628-28072012,6990,Night-time,house,Week_ends,0,17,0,100
624908-28072012,6200,Office Hours,tansport,Week_ends,0,6,0,100
625668-30072012,0,Night-time,hospital,Work_days,0,3,0,100
626267-31072012,1120,Night-time,hotel,Work_days,0,4,0,100
626364-31072012,6110,Office Hours,industry_facility,Work_days,0,31,0,100
627055-01082012,1200,Office Hours,office,Work_days,0,2,0,100
627197-01082012,1200,Cooking-time,office,Work_days,0,7,0,100
627308-02082012,1200,Night-time,others,Work_days,0,10,0,100
627383-02082012,6100,Cooking-time,restaurant,Work_days,0,26,0,100
628745-04082012,6200,Office Hours,hospital,Week_ends,0,15,0,100
630369-06082012,7110,Office Hours,others,Work_days,0,3,0,100
631412-08082012,6100,Night-time,house,Work_days,0,54,0,100
634291-11082012,6110,Cooking-time,office,Week_ends,0,36,0,100
634407-11082012,6100,Office Hours,restaurant,Week_ends,0,5,0,100
634746-11082012,6990,Night-time,restaurant,Week_ends,0,11,0,100
635333-12082012,6120,Cooking-time,industry_facility,Week_ends,0,3,0,100
637517-16082012,1190,Cooking-time,office,Work_days,0,1,0,100
639070-18082012,6200,Cooking-time,rest_home,Week_ends,0,40,0,100
639817-19082012,1100,Night-time,restaurant,Week_ends,0,7,0,100
639900-19082012,6200,Cooking-time,house,Week_ends,0,11,0,100
640261-19082012,6900,Office Hours,industry_facility,Week_ends,0,41,0,100
641482-21082012,1200,Cooking-time,apartment,Work_days,0,1,0,100
642032-22082012,0,Office Hours,apartment,Work_days,0,5,0,100
644239-25082012,1120,Cooking-time,apartment,Week_ends,0,1,0,100
644555-25082012,6100,Office Hours,house,Week_ends,0,17,0,100
645111-26082012,6110,Office Hours,hospital,Week_ends,0,6,0,100
649184-01092012,1900,Night-time,others,Week_ends,0,7,0,100
649287-01092012,1900,Night-time,industry_facility,Week_ends,0,1,0,100
649288-01092012,1120,Night-time,others,Week_ends,0,20,0,100
649314-01092012,1100,Cooking-time,restaurant,Week_ends,0,6,0,100
649472-01092012,1100,Office Hours,hotel,Week_ends,0,9,0,100
649644-01092012,6290,Cooking-time,school,Week_ends,0,2,0,100
649822-01092012,6110,Office Hours,rest_home,Week_ends,0,3,0,100
650022-01092012,6990,Cooking-time,restaurant,Week_ends,0,13,0,100
650023-01092012,6110,Cooking-time,hotel,Week_ends,0,28,0,100
650413-02092012,6200,Office Hours,public_facility,Week_ends,0,31,0,100
650467-02092012,6990,Cooking-time,tansport,Week_ends,0,17,0,100
650652-02092012,1100,Office Hours,tansport,Week_ends,0,7,0,100
650814-02092012,1120,Cooking-time,hotel,Week_ends,0,1,0,100
651966-04092012,6200,Night-time,public_facility,Work_days,0,67,0,100
655154-07092012,0,Night-time,hotel,Work_days,0,5,0,100
657306-08092012,6200,Night-time,public_facility,Week_ends,0,31,0,100
657376-09092012,6200,Night-time,tansport,Week_ends,0,5,0,100
657467-09092012,6110,Cooking-time,shopping_mall,Week_ends,0,6,0,100
657539-09092012,6110,Office Hours,shopping_mall,Week_ends,0,5,0,100
657941-09092012,0,Cooking-time,hospital,Week_ends,0,4,0,100
658779-10092012,0,Cooking-time,shopping_mall,Work_days,0,2,0,100
662272-15092012,0,Cooking-time,house,Week_ends,0,2,0,100
662782-16092012,0,Cooking-time,public_facility,Week_ends,0,2,0,100
662889-16092012,0,Office Hours,hospital,Week_ends,0,2,0,100
663214-16092012,6900,Office Hours,restaurant,Week_ends,0,10,0,100
663398-16092012,0,Night-time,others,Week_ends,0,4,0,100
663405-16092012,1100,Night-time,industry_facility,Week_ends,0,12,0,100
664192-18092012,1120,Office Hours,hotel,Work_days,0,4,0,100
666718-22092012,6200,Night-time,shopping_mall,Week_ends,0,42,0,100
667939-23092012,1100,Office Hours,office,Week_ends,0,15,0,100
668175-23092012,0,Night-time,public_facility,Week_ends,0,2,0,100
669832-26092012,1900,Night-time,apartment,Work_days,0,16,0,100
672889-29092012,1900,Office Hours,others,Week_ends,0,9,0,100
673129-29092012,1100,Night-time,tansport,Week_ends,0,12,0,100
673549-30092012,0,Cooking-time,school,Week_ends,0,4,0,100
674655-01102012,6120,Cooking-time,others,Work_days,0,5,0,100
678627-06102012,1120,Cooking-time,others,Week_ends,0,17,0,100
680455-08102012,1900,Office Hours,others,Work_days,0,14,0,100
683223-13102012,1900,Cooking-time,others,Week_ends,0,11,0,100
683838-14102012,6110,Office Hours,house,Week_ends,0,1,0,100
684934-16102012,6110,Night-time,shopping_mall,Work_days,0,15,0,100
685522-16102012,1170,Cooking-time,others,Work_days,0,3,0,100
685785-17102012,1120,Cooking-time,hospital,Work_days,0,7,0,100
685904-17102012,6990,Cooking-time,restaurant,Work_days,0,30,0,100
687975-20102012,6110,Night-time,rest_home,Week_ends,0,5,0,100
689078-21102012,6120,Night-time,others,Week_ends,0,5,0,100
690003-22102012,1900,Office Hours,shopping_mall,Work_days,0,2,0,100
693567-26102012,6110,Cooking-time,house,Work_days,0,11,0,100
693846-27102012,1120,Cooking-time,shopping_mall,Week_ends,0,2,0,100
693965-27102012,6110,Office Hours,industry_facility,Week_ends,0,11,0,100
697576-01112012,1200,Cooking-time,public_facility,Work_days,0,5,0,100
700237-04112012,6200,Office Hours,school,Week_ends,0,19,0,100
701632-06112012,1900,Cooking-time,public_facility,Work_days,0,7,0,100
702563-07112012,6290,Office Hours,school,Work_days,0,4,0,100
703055-08112012,6120,Office Hours,industry_facility,Work_days,0,4,0,100
704379-10112012,6110,Night-time,office,Week_ends,0,23,0,100
704462-10112012,1100,Cooking-time,hospital,Week_ends,0,8,0,100
704497-10112012,1160,Cooking-time,office,Week_ends,0,1,0,100
704582-10112012,6200,Cooking-time,hospital,Week_ends,0,37,0,100
706490-13112012,1120,Cooking-time,hotel,Work_days,0,7,0,100
707465-14112012,6110,Night-time,restaurant,Work_days,0,1,0,100
707561-15112012,1100,Night-time,tansport,Work_days,0,30,0,100
708026-15112012,6600,Cooking-time,apartment,Work_days,0,2,0,100
709634-18112012,1100,Office Hours,rest_home,Week_ends,0,8,0,100
710009-19112012,1120,Night-time,industry_facility,Work_days,0,3,0,100
711088-21112012,1100,Night-time,rest_home,Work_days,0,11,0,100
713869-25112012,7110,Night-time,public_facility,Week_ends,0,8,0,100
714028-25112012,6200,Office Hours,house,Week_ends,0,3,0,100
714070-25112012,1100,Office Hours,industry_facility,Week_ends,0,4,0,100
714238-25112012,1170,Cooking-time,industry_facility,Week_ends,0,2,0,100
714349-25112012,1200,Office Hours,others,Week_ends,0,2,0,100
714421-25112012,6120,Office Hours,industry_facility,Week_ends,0,5,0,100
714900-26112012,6990,Night-time,restaurant,Work_days,0,17,0,100
718944-01122012,6110,Office Hours,hotel,Week_ends,0,14,0,100
719876-03122012,1120,Night-time,office,Work_days,0,7,0,100
719887-03122012,1160,Night-time,office,Work_days,0,1,0,100
721328-04122012,6200,Night-time,house,Work_days,0,16,0,100
723620-07122012,1120,Office Hours,industry_facility,Work_days,0,7,0,100
724698-08122012,6110,Cooking-time,restaurant,Week_ends,0,1,0,100
725494-09122012,1100,Cooking-time,tansport,Week_ends,0,10,0,100
734355-22122012,1160,Night-time,office,Week_ends,0,1,0,100
735408-23122012,1120,Office Hours,others,Week_ends,0,4,0,100
735528-23122012,0,Cooking-time,apartment,Week_ends,0,2,0,100
735819-23122012,7110,Office Hours,public_facility,Week_ends,0,12,0,100
738964-28122012,1900,Night-time,public_facility,Work_days,0,1,0,100
002491-04012013,1120,Night-time,hospital,Work_days,0,5,0,100
004839-06012013,1100,Cooking-time,rest_home,Week_ends,0,18,0,100
005232-07012013,1120,Office Hours,hospital,Work_days,0,3,0,100
012854-13012013,1900,Cooking-time,public_facility,Week_ends,0,3,0,100
014862-15012013,1200,Cooking-time,others,Work_days,0,6,0,100
015210-16012013,1170,Office Hours,industry_facility,Work_days,0,1,0,100
017529-18012013,6110,Cooking-time,restaurant,Work_days,0,1,0,100
019932-20012013,1120,Office Hours,apartment,Week_ends,0,1,0,100
020161-20012013,1200,Cooking-time,public_facility,Week_ends,0,1,0,100
021195-22012013,1900,Cooking-time,shopping_mall,Work_days,0,2,0,100
021862-23012013,0,Night-time,rest_home,Work_days,0,2,0,100
028645-31012013,0,Night-time,school,Work_days,0,2,0,100
030268-02022013,0,Office Hours,apartment,Week_ends,0,4,0,100
035964-12022013,6110,Office Hours,restaurant,Work_days,0,1,0,100
036849-14022013,1120,Cooking-time,industry_facility,Work_days,0,12,0,100
038318-17022013,1100,Night-time,rest_home,Week_ends,0,6,0,100
038354-17022013,6100,Cooking-time,restaurant,Week_ends,0,8,0,100
043027-24022013,1100,Night-time,hospital,Week_ends,0,6,0,100
047561-02032013,1120,Night-time,hotel,Week_ends,0,2,0,100
049969-07032013,1120,Office Hours,office,Work_days,0,14,0,100
050947-09032013,6110,Cooking-time,house,Week_ends,0,6,0,100
051558-10032013,6290,Night-time,school,Week_ends,0,6,0,100
052187-11032013,1200,Office Hours,apartment,Work_days,0,1,0,100
053948-14032013,1900,Office Hours,apartment,Work_days,0,5,0,100
055927-18032013,6100,Night-time,restaurant,Work_days,0,14,0,100
056431-19032013,1200,Night-time,public_facility,Work_days,0,1,0,100
063896-30032013,6210,Cooking-time,office,Week_ends,0,3,0,100
064267-31032013,6210,Night-time,office,Week_ends,0,3,0,100
069245-09042013,6210,Night-time,office,Work_days,0,5,0,100
069314-09042013,6210,Cooking-time,office,Work_days,0,6,0,100
069377-09042013,6200,Office Hours,restaurant,Work_days,0,1,0,100
072210-14042013,0,Night-time,school,Week_ends,0,2,0,100
074096-17042013,0,Office Hours,hotel,Work_days,0,2,0,100
074592-18042013,1170,Night-time,others,Work_days,0,2,0,100
076580-21042013,1120,Night-time,office,Week_ends,0,2,0,100
080516-27042013,6110,Cooking-time,industry_facility,Week_ends,0,8,0,100
083043-01052013,7110,Night-time,public_facility,Work_days,0,5,0,100
086882-08052013,1200,Office Hours,others,Work_days,0,6,0,100
088722-11052013,6210,Office Hours,office,Week_ends,0,2,0,100
113334-24062013,6120,Office Hours,office,Work_days,0,1,0,100
113849-25062013,6210,Office Hours,office,Work_days,0,5,0,100
116205-30062013,0,Night-time,apartment,Week_ends,0,2,0,100
120009-07072013,1120,Cooking-time,hospital,Week_ends,0,3,0,100
121869-10072013,8990,Cooking-time,others,Work_days,0,1,0,100
127967-21072013,1900,Night-time,shopping_mall,Week_ends,0,2,0,100
156073-03092013,1170,Office Hours,others,Work_days,0,2,0,100
165023-13092013,1120,Cooking-time,office,Work_days,0,15,0,100
169021-20092013,1100,Office Hours,restaurant,Work_days,0,4,0,100
169708-21092013,6120,Office Hours,others,Week_ends,0,4,0,100
174879-27092013,1200,Cooking-time,shopping_mall,Work_days,0,1,0,100
182228-05102013,6200,Office Hours,restaurant,Week_ends,0,1,0,100
208853-30102013,1120,Office Hours,apartment,Work_days,0,2,0,100
210826-02112013,6120,Cooking-time,others,Week_ends,0,2,0,100
220396-12112013,1120,Office Hours,public_facility,Work_days,0,1,0,100
222679-16112013,1200,Night-time,others,Week_ends,0,1,0,100
234686-06122013,1200,Cooking-time,hotel,Work_days,0,5,0,100
234780-06122013,1200,Night-time,hotel,Work_days,0,7,0,100
235343-07122013,1200,Cooking-time,hotel,Week_ends,0,3,0,100
243924-20122013,0,Office Hours,school,Work_days,0,1,0,100
011746-18012014,0,Cooking-time,office,Week_ends,0,2,0,100
012714-19012014,6200,Night-time,house,Week_ends,0,1,0,100
