incident_number,season,alarm_type,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
680233-08102012,Spring,6200,2,Office Hours,shopping_mall,Work_days,0,3,0,100
680322-08102012,Spring,6990,3,Cooking-time,hospital,Work_days,0,3,0,100
680455-08102012,Spring,1900,0,Office Hours,others,Work_days,0,5,0,100
680593-08102012,Spring,6990,4,Cooking-time,hospital,Work_days,0,2,0,100
680780-09102012,Spring,6200,3,Cooking-time,shopping_mall,Work_days,0,1,0,100
681103-09102012,Spring,6110,2,Office Hours,school,Work_days,0,2,0,100
681352-10102012,Spring,6990,2,Night-time,apartment,Work_days,0,3,0,100
681404-10102012,Spring,6200,4,Night-time,shopping_mall,Work_days,0,2,0,100
681475-10102012,Spring,6110,3,Cooking-time,school,Work_days,0,3,0,100
681515-10102012,Spring,6900,1,Office Hours,shopping_mall,Work_days,0,10,0,100
681760-10102012,Spring,1100,0,Office Hours,house,Work_days,0,2,0,100
681935-10102012,Spring,6990,2,Cooking-time,hotel,Work_days,0,6,0,100
682355-11102012,Spring,6200,0,Office Hours,hotel,Work_days,0,18,0,100
682898-12102012,Spring,6200,1,Office Hours,apartment,Work_days,0,8,0,100
682949-12102012,Spring,6200,1,Office Hours,others,Work_days,0,7,0,100
682963-12102012,Spring,6900,2,Cooking-time,shopping_mall,Work_days,0,3,0,100
683106-13102012,Spring,1900,0,Night-time,apartment,Week_ends,0,3,0,100
683223-13102012,Spring,1900,0,Cooking-time,others,Week_ends,0,4,0,100
683345-13102012,Spring,6990,2,Cooking-time,house,Week_ends,0,1,0,100
683372-13102012,Spring,6100,1,Cooking-time,apartment,Week_ends,0,13,0,100
683592-13102012,Spring,7110,0,Cooking-time,others,Week_ends,0,2,0,100
683780-14102012,Spring,6100,2,Night-time,others,Week_ends,0,3,0,100
683838-14102012,Spring,6110,0,Office Hours,house,Week_ends,0,1,0,100
683991-14102012,Spring,6110,1,Office Hours,rest_home,Week_ends,0,1,0,100
684230-14102012,Spring,6100,1,Night-time,shopping_mall,Week_ends,0,5,0,100
684231-14102012,Spring,6900,1,Night-time,school,Week_ends,0,4,0,100
684270-14102012,Spring,1100,1,Night-time,shopping_mall,Week_ends,0,3,0,100
684284-15102012,Spring,1100,1,Night-time,apartment,Work_days,0,3,0,100
684564-15102012,Spring,1100,1,Cooking-time,school,Work_days,0,6,0,100
684628-15102012,Spring,6200,1,Office Hours,school,Work_days,0,6,0,100
684629-15102012,Spring,6200,2,Office Hours,school,Work_days,0,1,0,100
684927-16102012,Spring,6200,2,Night-time,others,Work_days,0,1,0,100
684928-16102012,Spring,1900,1,Night-time,apartment,Work_days,0,1,0,100
684934-16102012,Spring,6110,0,Night-time,shopping_mall,Work_days,0,6,0,100
684949-16102012,Spring,6200,3,Night-time,others,Work_days,0,1,0,100
685488-16102012,Spring,6900,0,Cooking-time,restaurant,Work_days,0,9,0,100
685522-16102012,Spring,1170,0,Cooking-time,others,Work_days,0,1,0,100
685572-16102012,Spring,6900,1,Cooking-time,restaurant,Work_days,0,4,0,100
685686-17102012,Spring,6110,0,Night-time,hospital,Work_days,0,5,0,100
685785-17102012,Spring,1120,0,Cooking-time,hospital,Work_days,0,2,0,100
685904-17102012,Spring,6990,0,Cooking-time,restaurant,Work_days,0,5,0,100
686381-17102012,Spring,7110,0,Night-time,others,Work_days,0,3,0,100
686399-17102012,Spring,6100,1,Night-time,rest_home,Work_days,0,7,0,100
686713-18102012,Spring,6100,3,Office Hours,others,Work_days,0,2,0,100
686725-18102012,Spring,6100,2,Office Hours,rest_home,Work_days,0,3,0,100
687235-19102012,Spring,6100,0,Office Hours,restaurant,Work_days,0,4,0,100
687975-20102012,Spring,6110,0,Night-time,rest_home,Week_ends,0,2,0,100
688175-20102012,Spring,6100,1,Office Hours,school,Week_ends,0,1,0,100
688588-20102012,Spring,1100,1,Cooking-time,shopping_mall,Week_ends,0,1,0,100
688709-20102012,Spring,1100,2,Office Hours,shopping_mall,Week_ends,0,1,0,100
688730-20102012,Spring,6990,0,Office Hours,hospital,Week_ends,0,33,0,100
688756-20102012,Spring,6900,0,Office Hours,house,Week_ends,0,4,0,100
689003-20102012,Spring,6990,1,Night-time,shopping_mall,Week_ends,0,7,0,100
689043-21102012,Spring,6990,2,Night-time,shopping_mall,Week_ends,0,1,0,100
689078-21102012,Spring,6120,0,Night-time,others,Week_ends,0,5,0,100
689128-21102012,Spring,6900,1,Cooking-time,industry_facility,Week_ends,0,5,0,100
689133-21102012,Spring,6900,3,Cooking-time,others,Week_ends,0,3,0,100
689149-21102012,Spring,1900,0,Cooking-time,apartment,Week_ends,0,1,0,100
689340-21102012,Spring,6200,0,Cooking-time,hotel,Week_ends,0,12,0,100
689619-21102012,Spring,6110,1,Cooking-time,school,Week_ends,0,7,0,100
689845-22102012,Spring,6900,4,Night-time,others,Work_days,0,2,0,100
689862-22102012,Spring,6110,2,Night-time,school,Work_days,0,5,0,100
689869-22102012,Spring,6110,3,Night-time,school,Work_days,0,1,0,100
689881-22102012,Spring,6110,4,Night-time,school,Work_days,0,1,0,100
690003-22102012,Spring,1900,0,Office Hours,shopping_mall,Work_days,0,1,0,100
690018-22102012,Spring,6100,2,Office Hours,hospital,Work_days,0,2,0,100
690496-22102012,Spring,6900,1,Cooking-time,tansport,Work_days,0,3,0,100
690583-22102012,Spring,6100,0,Night-time,house,Work_days,0,9,0,100
690716-23102012,Spring,6990,4,Cooking-time,others,Work_days,0,2,0,100
690949-23102012,Spring,6110,0,Cooking-time,rest_home,Work_days,0,6,0,100
692058-25102012,Spring,1100,2,Night-time,others,Work_days,0,8,0,100
692088-25102012,Spring,6900,1,Night-time,restaurant,Work_days,0,2,0,100
692093-25102012,Spring,1100,3,Night-time,others,Work_days,0,7,0,100
692118-25102012,Spring,1100,4,Cooking-time,others,Work_days,0,2,0,100
692968-26102012,Spring,6990,3,Night-time,public_facility,Work_days,0,2,0,100
693256-26102012,Spring,6110,2,Cooking-time,others,Work_days,0,3,0,100
693272-26102012,Spring,6200,0,Cooking-time,industry_facility,Work_days,0,7,0,100
693566-26102012,Spring,6100,2,Cooking-time,apartment,Work_days,0,10,0,100
693567-26102012,Spring,6110,0,Cooking-time,house,Work_days,0,1,0,100
693757-27102012,Spring,6100,3,Night-time,rest_home,Week_ends,0,1,0,100
693846-27102012,Spring,1120,0,Cooking-time,shopping_mall,Week_ends,0,1,0,100
693882-27102012,Spring,6110,0,Office Hours,school,Week_ends,0,14,0,100
693929-27102012,Spring,6990,1,Office Hours,hospital,Week_ends,0,7,0,100
693965-27102012,Spring,6110,0,Office Hours,industry_facility,Week_ends,0,3,0,100
694159-27102012,Spring,6990,1,Office Hours,public_facility,Week_ends,0,7,0,100
694276-27102012,Spring,6100,1,Office Hours,hospital,Week_ends,0,7,0,100
694307-27102012,Spring,6900,1,Office Hours,shopping_mall,Week_ends,0,2,0,100
694704-28102012,Spring,6100,1,Cooking-time,rest_home,Week_ends,0,5,0,100
694783-28102012,Spring,6200,0,Office Hours,rest_home,Week_ends,0,4,0,100
694959-28102012,Spring,6200,1,Office Hours,public_facility,Week_ends,0,3,0,100
695061-28102012,Spring,6100,2,Office Hours,rest_home,Week_ends,0,2,0,100
695157-28102012,Spring,6990,2,Cooking-time,hotel,Week_ends,0,4,0,100
695353-29102012,Spring,6990,1,Night-time,office,Work_days,0,7,0,100
695373-29102012,Spring,6990,2,Night-time,office,Work_days,0,2,0,100
695499-29102012,Spring,6200,1,Office Hours,office,Work_days,0,1,0,100
695517-29102012,Spring,6200,2,Office Hours,others,Work_days,0,1,0,100
695967-29102012,Spring,6110,0,Night-time,industry_facility,Work_days,0,3,0,100
696550-30102012,Spring,6200,2,Cooking-time,office,Work_days,0,1,0,100
697453-01112012,Spring,6200,0,Night-time,school,Work_days,0,15,0,100
697484-01112012,Spring,0,0,Night-time,public_facility,Work_days,0,1,0,100
697576-01112012,Spring,1200,0,Cooking-time,public_facility,Work_days,0,1,0,100
697988-01112012,Spring,6110,0,Office Hours,public_facility,Work_days,0,9,0,100
698754-02112012,Spring,1100,0,Cooking-time,rest_home,Work_days,0,10,0,100
698907-02112012,Spring,1900,0,Office Hours,public_facility,Work_days,0,3,0,100
699063-02112012,Spring,6100,0,Cooking-time,house,Work_days,0,18,0,100
699255-03112012,Spring,6200,1,Night-time,hospital,Week_ends,0,1,0,100
699346-03112012,Spring,6100,1,Night-time,others,Week_ends,0,14,0,100
699372-03112012,Spring,6200,0,Night-time,rest_home,Week_ends,0,5,0,100
699373-03112012,Spring,6990,3,Night-time,others,Week_ends,0,2,0,100
699408-03112012,Spring,6900,3,Night-time,school,Week_ends,0,1,0,100
699445-03112012,Spring,6990,2,Cooking-time,office,Week_ends,0,1,0,100
699560-03112012,Spring,6990,1,Office Hours,school,Week_ends,0,4,0,100
699603-03112012,Spring,6200,0,Cooking-time,office,Week_ends,0,7,0,100
699715-03112012,Spring,6990,1,Office Hours,office,Week_ends,0,4,0,100
699951-03112012,Spring,6110,1,Night-time,others,Week_ends,0,2,0,100
700053-04112012,Spring,6900,1,Night-time,public_facility,Week_ends,0,1,0,100
700095-04112012,Spring,6100,1,Night-time,public_facility,Week_ends,0,4,0,100
700182-04112012,Spring,6200,0,Cooking-time,school,Week_ends,0,3,0,100
700237-04112012,Spring,6200,1,Office Hours,school,Week_ends,0,1,0,100
700720-04112012,Spring,7110,0,Cooking-time,public_facility,Week_ends,0,4,0,100
700756-04112012,Spring,6110,0,Night-time,public_facility,Week_ends,0,3,0,100
700893-05112012,Spring,6100,2,Night-time,rest_home,Work_days,0,1,0,100
700948-05112012,Spring,6110,1,Cooking-time,rest_home,Work_days,0,3,0,100
701056-05112012,Spring,6990,1,Office Hours,school,Work_days,0,11,0,100
701167-05112012,Spring,6990,1,Office Hours,hospital,Work_days,0,15,0,100
701518-06112012,Spring,1100,0,Night-time,hospital,Work_days,0,3,0,100
701556-06112012,Spring,6100,1,Night-time,house,Work_days,0,3,0,100
701628-06112012,Spring,6200,1,Cooking-time,school,Work_days,0,7,0,100
701632-06112012,Spring,1900,0,Cooking-time,public_facility,Work_days,0,2,0,100
701774-06112012,Spring,1100,2,Cooking-time,apartment,Work_days,0,1,0,100
701933-06112012,Spring,6100,1,Office Hours,office,Work_days,0,4,0,100
701977-06112012,Spring,1100,1,Cooking-time,hospital,Work_days,0,1,0,100
702255-07112012,Spring,6990,3,Night-time,shopping_mall,Work_days,0,2,0,100
702272-07112012,Spring,6900,1,Night-time,tansport,Work_days,0,3,0,100
702297-07112012,Spring,7110,0,Cooking-time,others,Work_days,0,2,0,100
702303-07112012,Spring,6200,2,Cooking-time,shopping_mall,Work_days,0,4,0,100
702556-07112012,Spring,6900,1,Office Hours,hotel,Work_days,0,8,0,100
702563-07112012,Spring,6290,1,Office Hours,school,Work_days,0,1,0,100
702712-07112012,Spring,6110,1,Cooking-time,public_facility,Work_days,0,5,0,100
702879-07112012,Spring,6110,0,Night-time,office,Work_days,0,8,0,100
703054-08112012,Spring,1900,1,Office Hours,public_facility,Work_days,0,1,0,100
703055-08112012,Spring,6120,0,Office Hours,industry_facility,Work_days,0,2,0,100
703152-08112012,Spring,1900,2,Cooking-time,public_facility,Work_days,0,1,0,100
703171-08112012,Spring,1900,3,Cooking-time,public_facility,Work_days,0,1,0,100
703305-08112012,Spring,6110,2,Office Hours,public_facility,Work_days,0,1,0,100
703649-08112012,Spring,1100,0,Night-time,house,Work_days,0,2,0,100
703678-09112012,Spring,1100,1,Night-time,house,Work_days,0,1,0,100
703748-09112012,Spring,6110,0,Night-time,rest_home,Work_days,0,4,0,100
704127-09112012,Spring,6990,3,Office Hours,others,Work_days,0,5,0,100
704161-09112012,Spring,1100,2,Office Hours,others,Work_days,0,2,0,100
704178-09112012,Spring,6990,4,Office Hours,others,Work_days,0,3,0,100
704286-09112012,Spring,6110,1,Cooking-time,office,Work_days,0,4,0,100
704379-10112012,Spring,6110,2,Night-time,office,Week_ends,0,1,0,100
704428-10112012,Spring,6200,1,Night-time,others,Week_ends,0,4,0,100
704462-10112012,Spring,1100,0,Cooking-time,hospital,Week_ends,0,1,0,100
704476-10112012,Spring,6990,2,Cooking-time,hospital,Week_ends,0,4,0,100
704497-10112012,Spring,1160,0,Cooking-time,office,Week_ends,0,1,0,100
704503-10112012,Spring,6100,0,Cooking-time,house,Week_ends,0,1,0,100
704560-10112012,Spring,6200,1,Office Hours,apartment,Week_ends,0,3,0,100
704574-10112012,Spring,6110,3,Cooking-time,office,Week_ends,0,1,0,100
704582-10112012,Spring,6200,0,Cooking-time,hospital,Week_ends,0,5,0,100
704705-10112012,Spring,6100,0,Office Hours,restaurant,Week_ends,0,2,0,100
704985-11112012,Spring,6100,1,Night-time,rest_home,Week_ends,0,4,0,100
705245-11112012,Spring,6100,1,Office Hours,office,Week_ends,0,1,0,100
705530-12112012,Spring,1100,2,Night-time,shopping_mall,Work_days,0,1,0,100
705565-12112012,Spring,1100,1,Night-time,shopping_mall,Work_days,0,8,0,100
705641-12112012,Spring,1120,1,Cooking-time,others,Work_days,0,2,0,100
706018-12112012,Spring,1100,0,Office Hours,tansport,Work_days,0,5,0,100
706490-13112012,Spring,1120,0,Cooking-time,hotel,Work_days,0,1,0,100
706520-13112012,Spring,1120,1,Cooking-time,hotel,Work_days,0,1,0,100
706774-13112012,Spring,1100,1,Cooking-time,apartment,Work_days,0,5,0,100
706931-14112012,Spring,1100,2,Night-time,apartment,Work_days,0,1,0,100
707284-14112012,Spring,6100,1,Office Hours,hotel,Work_days,0,7,0,100
707424-14112012,Spring,6110,1,Cooking-time,industry_facility,Work_days,0,3,0,100
707465-14112012,Spring,6110,0,Night-time,restaurant,Work_days,0,1,0,100
707467-14112012,Spring,6110,1,Night-time,rest_home,Work_days,0,2,0,100
707478-14112012,Spring,6900,1,Night-time,rest_home,Work_days,0,8,0,100
707498-15112012,Spring,6110,2,Night-time,industry_facility,Work_days,0,1,0,100
707561-15112012,Spring,1100,0,Night-time,tansport,Work_days,0,5,0,100
708026-15112012,Spring,6600,0,Cooking-time,apartment,Work_days,0,2,0,100
708220-16112012,Spring,6990,1,Night-time,industry_facility,Work_days,0,4,0,100
708555-16112012,Spring,1120,0,Office Hours,others,Work_days,0,7,0,100
708871-17112012,Spring,6990,0,Night-time,house,Week_ends,0,2,0,100
708947-17112012,Spring,6100,1,Cooking-time,shopping_mall,Week_ends,0,2,0,100
709364-17112012,Spring,1100,0,Night-time,school,Week_ends,0,7,0,100
709432-18112012,Spring,1100,1,Night-time,hotel,Week_ends,0,1,0,100
709493-18112012,Spring,6900,2,Cooking-time,public_facility,Week_ends,0,2,0,100
709634-18112012,Spring,1100,0,Office Hours,rest_home,Week_ends,0,1,0,100
709690-18112012,Spring,6990,2,Office Hours,public_facility,Week_ends,0,1,0,100
709715-18112012,Spring,6990,2,Office Hours,others,Week_ends,0,6,0,100
709998-19112012,Spring,6990,4,Night-time,public_facility,Work_days,0,1,0,100
710009-19112012,Spring,1120,0,Night-time,industry_facility,Work_days,0,2,0,100
710318-19112012,Spring,6900,2,Office Hours,others,Work_days,0,10,0,100
710594-20112012,Spring,6900,3,Cooking-time,others,Work_days,0,8,0,100
711067-21112012,Spring,6200,3,Night-time,shopping_mall,Work_days,0,1,0,100
711088-21112012,Spring,1100,0,Night-time,rest_home,Work_days,0,3,0,100
711233-21112012,Spring,6110,0,Office Hours,rest_home,Work_days,0,2,0,100
711282-21112012,Spring,1100,2,Cooking-time,shopping_mall,Work_days,0,2,0,100
711287-21112012,Spring,1100,3,Cooking-time,shopping_mall,Work_days,0,1,0,100
712895-24112012,Spring,6110,0,Night-time,industry_facility,Week_ends,0,1,0,100
713087-24112012,Spring,6900,1,Office Hours,rest_home,Week_ends,0,3,0,100
713121-24112012,Spring,6100,0,Office Hours,house,Week_ends,0,4,0,100
713294-24112012,Spring,7110,1,Cooking-time,public_facility,Week_ends,0,1,0,100
713390-24112012,Spring,6990,1,Office Hours,industry_facility,Week_ends,0,2,0,100
713414-24112012,Spring,6100,2,Office Hours,tansport,Week_ends,0,1,0,100
713478-24112012,Spring,6110,1,Office Hours,school,Week_ends,0,3,0,100
713667-24112012,Spring,6100,3,Cooking-time,tansport,Week_ends,0,1,0,100
713869-25112012,Spring,7110,2,Night-time,public_facility,Week_ends,0,1,0,100
713917-25112012,Spring,1100,2,Night-time,others,Week_ends,0,1,0,100
713929-25112012,Spring,6110,2,Cooking-time,school,Week_ends,0,1,0,100
714028-25112012,Spring,6200,0,Office Hours,house,Week_ends,0,2,0,100
714070-25112012,Spring,1100,0,Office Hours,industry_facility,Week_ends,0,1,0,100
714238-25112012,Spring,1170,0,Cooking-time,industry_facility,Week_ends,0,1,0,100
714280-25112012,Spring,6100,0,Office Hours,tansport,Week_ends,0,2,0,100
714290-25112012,Spring,6100,1,Office Hours,apartment,Week_ends,0,6,0,100
714349-25112012,Spring,1200,0,Office Hours,others,Week_ends,0,1,0,100
714421-25112012,Spring,6120,0,Office Hours,industry_facility,Week_ends,0,2,0,100
714900-26112012,Spring,6990,0,Night-time,restaurant,Work_days,0,3,0,100
715137-26112012,Spring,6900,2,Cooking-time,apartment,Work_days,0,6,0,100
715355-26112012,Spring,6900,3,Cooking-time,apartment,Work_days,0,1,0,100
716275-27112012,Spring,6110,2,Night-time,others,Work_days,0,1,0,100
716564-28112012,Spring,6110,1,Cooking-time,shopping_mall,Work_days,0,1,0,100
716631-28112012,Spring,6110,2,Office Hours,others,Work_days,0,2,0,100
717092-29112012,Spring,6100,3,Office Hours,hospital,Work_days,0,1,0,100
717352-29112012,Spring,6100,1,Cooking-time,tansport,Work_days,0,4,0,100
717563-29112012,Spring,0,0,Night-time,house,Work_days,0,1,0,100
717777-30112012,Spring,6900,2,Cooking-time,others,Work_days,0,20,0,100
717868-30112012,Spring,6900,3,Office Hours,others,Work_days,0,3,0,100
718046-30112012,Spring,1100,1,Cooking-time,industry_facility,Work_days,0,1,0,100
718325-30112012,Spring,6990,2,Cooking-time,hospital,Work_days,0,6,0,100
718377-30112012,Spring,6100,2,Night-time,public_facility,Work_days,0,3,0,100
718454-01122012,Summer,6990,1,Night-time,others,Week_ends,0,50,0,100
718460-01122012,Summer,6990,1,Night-time,apartment,Week_ends,0,25,0,100
718465-01122012,Summer,6100,0,Night-time,shopping_mall,Week_ends,0,26,0,100
718474-01122012,Summer,6990,0,Night-time,house,Week_ends,0,4,0,100
718486-01122012,Summer,6990,0,Night-time,school,Week_ends,0,33,0,100
718524-01122012,Summer,6200,0,Night-time,hotel,Week_ends,0,10,0,100
718527-01122012,Summer,6990,2,Night-time,others,Week_ends,0,13,0,100
718528-01122012,Summer,6100,1,Night-time,apartment,Week_ends,0,21,0,100
718529-01122012,Summer,6900,0,Night-time,office,Week_ends,0,20,0,100
718555-01122012,Summer,6990,0,Night-time,office,Week_ends,0,37,0,100
718560-01122012,Summer,6900,0,Night-time,rest_home,Week_ends,0,46,0,100
718563-01122012,Summer,6100,0,Night-time,school,Week_ends,0,39,0,100
718582-01122012,Summer,1100,0,Night-time,others,Week_ends,0,59,0,100
718590-01122012,Summer,6200,0,Night-time,industry_facility,Week_ends,0,2,0,100
718593-01122012,Summer,6110,1,Night-time,school,Week_ends,0,5,0,100
718621-01122012,Summer,6990,0,Night-time,industry_facility,Week_ends,0,22,0,100
718631-01122012,Summer,6100,0,Cooking-time,public_facility,Week_ends,0,49,0,100
718634-01122012,Summer,6900,1,Cooking-time,school,Week_ends,0,19,0,100
718668-01122012,Summer,6100,1,Cooking-time,others,Week_ends,0,55,0,100
718671-01122012,Summer,6900,4,Cooking-time,others,Week_ends,0,4,0,100
718680-01122012,Summer,6100,1,Cooking-time,school,Week_ends,0,14,0,100
718701-01122012,Summer,6100,0,Cooking-time,rest_home,Week_ends,0,67,0,100
718704-01122012,Summer,6900,1,Cooking-time,others,Week_ends,0,56,0,100
718705-01122012,Summer,6200,0,Cooking-time,shopping_mall,Week_ends,0,18,0,100
718722-01122012,Summer,6990,0,Office Hours,school,Week_ends,0,33,0,100
718729-01122012,Summer,6100,2,Office Hours,public_facility,Week_ends,0,2,0,100
718733-01122012,Summer,6100,0,Office Hours,rest_home,Week_ends,0,40,0,100
718734-01122012,Summer,6900,1,Office Hours,school,Week_ends,0,13,0,100
718744-01122012,Summer,6100,0,Office Hours,hotel,Week_ends,0,39,0,100
718763-01122012,Summer,6900,0,Office Hours,rest_home,Week_ends,0,50,0,100
718764-01122012,Summer,6100,1,Office Hours,hospital,Week_ends,0,11,0,100
718772-01122012,Summer,6100,0,Office Hours,public_facility,Week_ends,0,25,0,100
718789-01122012,Summer,6900,0,Cooking-time,hotel,Week_ends,0,74,0,100
718832-01122012,Summer,6990,1,Cooking-time,hospital,Week_ends,0,18,0,100
718864-01122012,Summer,6100,0,Cooking-time,industry_facility,Week_ends,0,6,0,100
718878-01122012,Summer,6990,1,Cooking-time,public_facility,Week_ends,0,11,0,100
718883-01122012,Summer,6900,2,Cooking-time,others,Week_ends,0,16,0,100
718885-01122012,Summer,6990,1,Cooking-time,office,Week_ends,0,10,0,100
718899-01122012,Summer,6990,1,Cooking-time,others,Week_ends,0,49,0,100
718924-01122012,Summer,6200,0,Office Hours,others,Week_ends,0,32,0,100
718925-01122012,Summer,6990,2,Office Hours,hotel,Week_ends,0,1,0,100
718927-01122012,Summer,6100,1,Office Hours,others,Week_ends,0,18,0,100
718944-01122012,Summer,6110,0,Office Hours,hotel,Week_ends,0,5,0,100
718959-01122012,Summer,6990,1,Office Hours,others,Week_ends,0,25,0,100
718984-01122012,Summer,6900,1,Office Hours,others,Week_ends,0,28,0,100
718990-01122012,Summer,6110,1,Office Hours,hotel,Week_ends,0,1,0,100
718994-01122012,Summer,6100,0,Office Hours,office,Week_ends,0,16,0,100
719022-01122012,Summer,1100,0,Office Hours,industry_facility,Week_ends,0,2,0,100
719024-01122012,Summer,6990,0,Office Hours,industry_facility,Week_ends,0,13,0,100
719030-01122012,Summer,1100,0,Office Hours,shopping_mall,Week_ends,0,5,0,100
719063-01122012,Summer,6100,0,Cooking-time,hotel,Week_ends,0,58,0,100
719078-01122012,Summer,6110,2,Cooking-time,hotel,Week_ends,0,1,0,100
719127-01122012,Summer,6200,0,Cooking-time,hospital,Week_ends,0,10,0,100
719134-01122012,Summer,6900,0,Cooking-time,industry_facility,Week_ends,0,15,0,100
719213-01122012,Summer,6100,0,Night-time,hospital,Week_ends,0,63,0,100
719305-02122012,Summer,6200,1,Night-time,hotel,Week_ends,0,2,0,100
719309-02122012,Summer,1100,1,Night-time,others,Week_ends,0,6,0,100
719352-02122012,Summer,6990,1,Night-time,shopping_mall,Week_ends,0,8,0,100
719353-02122012,Summer,6100,2,Night-time,apartment,Week_ends,0,2,0,100
719408-02122012,Summer,6900,0,Night-time,industry_facility,Week_ends,0,20,0,100
719445-02122012,Summer,6900,1,Cooking-time,office,Week_ends,0,7,0,100
719464-02122012,Summer,6900,1,Cooking-time,hotel,Week_ends,0,9,0,100
719479-02122012,Summer,6990,1,Office Hours,shopping_mall,Week_ends,0,11,0,100
719508-02122012,Summer,6990,0,Office Hours,public_facility,Week_ends,0,37,0,100
719515-02122012,Summer,6100,0,Cooking-time,office,Week_ends,0,20,0,100
719563-02122012,Summer,6100,1,Cooking-time,apartment,Week_ends,0,16,0,100
719567-02122012,Summer,6900,0,Cooking-time,office,Week_ends,0,41,0,100
719601-02122012,Summer,1100,0,Office Hours,office,Week_ends,0,4,0,100
719620-02122012,Summer,6200,0,Office Hours,shopping_mall,Week_ends,0,11,0,100
719665-02122012,Summer,6110,0,Office Hours,school,Week_ends,0,18,0,100
719744-02122012,Summer,1100,0,Cooking-time,public_facility,Week_ends,0,8,0,100
719869-03122012,Summer,6110,0,Night-time,school,Work_days,0,40,0,100
719876-03122012,Summer,1120,0,Night-time,office,Work_days,0,1,0,100
719887-03122012,Summer,1160,0,Night-time,office,Work_days,0,1,0,100
719904-03122012,Summer,6110,1,Night-time,others,Work_days,0,8,0,100
719923-03122012,Summer,6990,0,Night-time,school,Work_days,0,99,0,100
719927-03122012,Summer,1100,0,Night-time,apartment,Work_days,0,18,0,100
719943-03122012,Summer,6900,1,Cooking-time,industry_facility,Work_days,0,4,0,100
719987-03122012,Summer,6100,1,Cooking-time,rest_home,Work_days,0,16,0,100
720009-03122012,Summer,6990,0,Cooking-time,industry_facility,Work_days,0,98,0,100
720025-03122012,Summer,6200,0,Office Hours,school,Work_days,0,10,0,100
720037-03122012,Summer,6200,1,Office Hours,shopping_mall,Work_days,0,4,0,100
720047-03122012,Summer,6900,2,Office Hours,others,Work_days,0,15,0,100
720052-03122012,Summer,6200,2,Office Hours,shopping_mall,Work_days,0,1,0,100
720080-03122012,Summer,6990,1,Office Hours,school,Work_days,0,11,0,100
720103-03122012,Summer,6900,1,Cooking-time,hotel,Work_days,0,14,0,100
720125-03122012,Summer,6990,1,Cooking-time,hospital,Work_days,0,39,0,100
720133-03122012,Summer,6900,2,Cooking-time,hotel,Work_days,0,4,0,100
720210-03122012,Summer,1100,0,Office Hours,public_facility,Work_days,0,10,0,100
720273-03122012,Summer,6990,1,Office Hours,shopping_mall,Work_days,0,19,0,100
720329-03122012,Summer,6990,1,Cooking-time,hotel,Work_days,0,33,0,100
720384-03122012,Summer,6200,0,Cooking-time,office,Work_days,0,22,0,100
720452-03122012,Summer,6900,1,Night-time,office,Work_days,0,9,0,100
720482-04122012,Summer,6100,0,Night-time,tansport,Work_days,0,28,0,100
720486-04122012,Summer,6900,2,Night-time,office,Work_days,0,1,0,100
720491-04122012,Summer,6200,0,Night-time,rest_home,Work_days,0,12,0,100
720506-04122012,Summer,6100,1,Night-time,others,Work_days,0,66,0,100
720509-04122012,Summer,6100,0,Night-time,shopping_mall,Work_days,0,51,0,100
720523-04122012,Summer,6990,1,Night-time,hotel,Work_days,0,13,0,100
720533-04122012,Summer,6110,0,Night-time,apartment,Work_days,0,24,0,100
720537-04122012,Summer,6900,1,Night-time,shopping_mall,Work_days,0,14,0,100
720540-04122012,Summer,6100,0,Night-time,hotel,Work_days,0,80,0,100
720562-04122012,Summer,6990,1,Cooking-time,shopping_mall,Work_days,0,40,0,100
720644-04122012,Summer,6200,0,Office Hours,apartment,Work_days,0,37,0,100
720978-04122012,Summer,6990,0,Office Hours,hospital,Work_days,0,91,0,100
721328-04122012,Summer,6200,0,Night-time,house,Work_days,0,6,0,100
721370-05122012,Summer,6100,2,Night-time,others,Work_days,0,12,0,100
721396-05122012,Summer,1100,1,Night-time,others,Work_days,0,17,0,100
721415-05122012,Summer,6100,3,Night-time,others,Work_days,0,6,0,100
721428-05122012,Summer,1170,0,Night-time,industry_facility,Work_days,0,2,0,100
721427-05122012,Summer,6120,0,Night-time,industry_facility,Work_days,0,2,0,100
721465-05122012,Summer,1100,0,Cooking-time,apartment,Work_days,0,50,0,100
721476-05122012,Summer,1100,0,Cooking-time,hotel,Work_days,0,19,0,100
721590-05122012,Summer,6900,2,Office Hours,hospital,Work_days,0,4,0,100
721595-05122012,Summer,6200,0,Office Hours,hotel,Work_days,0,23,0,100
721607-05122012,Summer,6900,0,Office Hours,rest_home,Work_days,0,129,0,100
721698-05122012,Summer,6900,3,Cooking-time,others,Work_days,0,8,0,100
721770-05122012,Summer,6200,0,Cooking-time,public_facility,Work_days,0,35,0,100
721800-05122012,Summer,6200,1,Cooking-time,hotel,Work_days,0,9,0,100
721949-05122012,Summer,6990,1,Cooking-time,public_facility,Work_days,0,32,0,100
722007-05122012,Summer,6990,2,Cooking-time,others,Work_days,0,43,0,100
722011-05122012,Summer,6990,1,Cooking-time,school,Work_days,0,36,0,100
722125-05122012,Summer,6110,0,Office Hours,school,Work_days,0,65,0,100
