incident_number,season,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602324-16062012,Winter,1,Office Hours,school,Week_ends,0,18,0,100
602491-16062012,Winter,1,Office Hours,public_facility,Week_ends,0,17,0,100
602600-16062012,Winter,0,Cooking-time,restaurant,Week_ends,0,12,0,100
602686-17062012,Winter,1,Night-time,school,Week_ends,0,22,0,100
602804-17062012,Winter,1,Office Hours,hotel,Week_ends,0,13,0,100
602822-17062012,Winter,1,Cooking-time,shopping_mall,Week_ends,0,34,0,100
602906-17062012,Winter,1,Office Hours,shopping_mall,Week_ends,0,17,0,100
602989-17062012,Winter,2,Cooking-time,apartment,Week_ends,0,16,0,100
603033-17062012,Winter,3,Cooking-time,apartment,Week_ends,0,3,0,100
603190-18062012,Winter,2,Cooking-time,hospital,Work_days,0,33,0,100
603236-18062012,Winter,1,Cooking-time,hotel,Work_days,0,65,0,100
603309-18062012,Winter,1,Office Hours,office,Work_days,0,35,0,100
603477-18062012,Winter,1,Office Hours,industry_facility,Work_days,0,8,0,100
603491-18062012,Winter,1,Office Hours,apartment,Work_days,0,70,0,100
603754-19062012,Winter,1,Office Hours,shopping_mall,Work_days,0,52,0,100
603785-19062012,Winter,1,Office Hours,public_facility,Work_days,0,33,0,100
603972-19062012,Winter,0,Cooking-time,restaurant,Work_days,0,29,0,100
604097-20062012,Winter,2,Night-time,hospital,Work_days,0,17,0,100
604103-20062012,Winter,1,Night-time,office,Work_days,0,43,0,100
604132-20062012,Winter,1,Cooking-time,industry_facility,Work_days,0,17,0,100
604602-20062012,Winter,1,Night-time,public_facility,Work_days,0,51,0,100
604813-21062012,Winter,1,Office Hours,rest_home,Work_days,0,39,0,100
605302-22062012,Winter,2,Cooking-time,apartment,Work_days,0,19,0,100
605730-23062012,Winter,0,Night-time,house,Week_ends,0,11,0,100
605734-23062012,Winter,1,Night-time,shopping_mall,Week_ends,0,23,0,100
606038-23062012,Winter,0,Office Hours,house,Week_ends,0,20,0,100
606039-23062012,Winter,1,Office Hours,house,Week_ends,0,2,0,100
606399-24062012,Winter,1,Night-time,hotel,Week_ends,0,21,0,100
606401-24062012,Winter,1,Night-time,apartment,Week_ends,0,31,0,100
606455-24062012,Winter,1,Night-time,hospital,Week_ends,0,20,0,100
606459-24062012,Winter,1,Night-time,office,Week_ends,0,15,0,100
606521-24062012,Winter,1,Cooking-time,industry_facility,Week_ends,0,9,0,100
606531-24062012,Winter,2,Cooking-time,hotel,Week_ends,0,5,0,100
606885-25062012,Winter,2,Night-time,industry_facility,Work_days,0,6,0,100
606917-25062012,Winter,2,Night-time,school,Work_days,0,14,0,100
607032-25062012,Winter,2,Office Hours,shopping_mall,Work_days,0,7,0,100
607197-25062012,Winter,2,Office Hours,apartment,Work_days,0,13,0,100
607437-26062012,Winter,1,Night-time,industry_facility,Work_days,0,27,0,100
608469-27062012,Winter,1,Cooking-time,rest_home,Work_days,0,54,0,100
609265-29062012,Winter,2,Office Hours,others,Work_days,0,33,0,100
609765-30062012,Winter,2,Night-time,apartment,Week_ends,0,5,0,100
609882-30062012,Winter,2,Office Hours,apartment,Week_ends,0,5,0,100
609899-30062012,Winter,1,Office Hours,office,Week_ends,0,13,0,100
610292-30062012,Winter,3,Night-time,apartment,Week_ends,0,2,0,100
610320-01072012,Winter,0,Night-time,tansport,Week_ends,0,30,0,100
610434-01072012,Winter,4,Cooking-time,apartment,Week_ends,0,2,0,100
610471-01072012,Winter,2,Office Hours,school,Week_ends,0,7,0,100
610836-01072012,Winter,1,Night-time,industry_facility,Week_ends,0,5,0,100
611309-02072012,Winter,2,Cooking-time,office,Work_days,0,9,0,100
611403-03072012,Winter,3,Night-time,apartment,Work_days,0,7,0,100
611562-03072012,Winter,3,Office Hours,office,Work_days,0,1,0,100
611653-03072012,Winter,2,Cooking-time,hotel,Work_days,0,10,0,100
611808-03072012,Winter,3,Cooking-time,shopping_mall,Work_days,0,8,0,100
611828-03072012,Winter,4,Cooking-time,shopping_mall,Work_days,0,2,0,100
611912-03072012,Winter,4,Night-time,apartment,Work_days,0,2,0,100
611946-04072012,Winter,3,Night-time,others,Work_days,0,26,0,100
612022-04072012,Winter,5,Cooking-time,apartment,Work_days,0,3,0,100
612378-04072012,Winter,2,Cooking-time,school,Work_days,0,25,0,100
612533-05072012,Winter,4,Night-time,others,Work_days,0,13,0,100
612694-05072012,Winter,3,Office Hours,school,Work_days,0,5,0,100
613070-05072012,Winter,2,Night-time,apartment,Work_days,0,23,0,100
613265-06072012,Winter,3,Office Hours,hospital,Work_days,0,7,0,100
613957-07072012,Winter,2,Office Hours,shopping_mall,Week_ends,0,5,0,100
614907-09072012,Winter,0,Office Hours,restaurant,Work_days,0,15,0,100
615138-09072012,Winter,3,Cooking-time,office,Work_days,0,1,0,100
615413-10072012,Winter,3,Office Hours,apartment,Work_days,0,3,0,100
615449-10072012,Winter,2,Office Hours,school,Work_days,0,14,0,100
616304-12072012,Winter,2,Night-time,hotel,Work_days,0,5,0,100
616364-12072012,Winter,1,Cooking-time,house,Work_days,0,14,0,100
616677-12072012,Winter,2,Night-time,office,Work_days,0,8,0,100
616708-13072012,Winter,1,Night-time,rest_home,Work_days,0,26,0,100
616729-13072012,Winter,3,Night-time,office,Work_days,0,4,0,100
616956-13072012,Winter,2,Cooking-time,industry_facility,Work_days,0,2,0,100
617019-13072012,Winter,4,Office Hours,office,Work_days,0,1,0,100
617374-14072012,Winter,2,Night-time,hospital,Week_ends,0,10,0,100
617472-14072012,Winter,3,Cooking-time,school,Week_ends,0,2,0,100
617531-14072012,Winter,3,Cooking-time,others,Week_ends,0,16,0,100
617744-14072012,Winter,2,Office Hours,public_facility,Week_ends,0,1,0,100
617797-14072012,Winter,1,Cooking-time,rest_home,Week_ends,0,15,0,100
617814-14072012,Winter,0,Cooking-time,industry_facility,Week_ends,0,47,0,100
619240-17072012,Winter,2,Office Hours,rest_home,Work_days,0,5,0,100
619332-17072012,Winter,4,Office Hours,apartment,Work_days,0,3,0,100
619336-17072012,Winter,6,Cooking-time,apartment,Work_days,0,2,0,100
619344-17072012,Winter,7,Cooking-time,apartment,Work_days,0,2,0,100
619610-18072012,Winter,8,Cooking-time,apartment,Work_days,0,1,0,100
620418-19072012,Winter,3,Cooking-time,school,Work_days,0,9,0,100
621509-21072012,Winter,1,Night-time,public_facility,Week_ends,0,22,0,100
621790-22072012,Winter,2,Cooking-time,hospital,Week_ends,0,5,0,100
622656-24072012,Winter,3,Office Hours,rest_home,Work_days,0,2,0,100
622802-24072012,Winter,2,Office Hours,office,Work_days,0,3,0,100
623059-25072012,Winter,2,Cooking-time,rest_home,Work_days,0,6,0,100
624537-28072012,Winter,2,Night-time,office,Week_ends,0,5,0,100
624582-28072012,Winter,3,Night-time,office,Week_ends,0,2,0,100
624621-28072012,Winter,4,Night-time,office,Week_ends,0,2,0,100
625734-30072012,Winter,2,Cooking-time,public_facility,Work_days,0,10,0,100
626426-31072012,Winter,3,Cooking-time,hospital,Work_days,0,9,0,100
626544-31072012,Winter,3,Office Hours,others,Work_days,0,7,0,100
626716-31072012,Winter,4,Cooking-time,others,Work_days,0,6,0,100
626786-01082012,Winter,5,Night-time,others,Work_days,0,5,0,100
627325-02082012,Winter,6,Night-time,others,Work_days,0,2,0,100
627652-02082012,Winter,7,Office Hours,others,Work_days,0,3,0,100
627694-02082012,Winter,3,Office Hours,shopping_mall,Work_days,0,2,0,100
627812-02082012,Winter,4,Cooking-time,office,Work_days,0,2,0,100
627881-03082012,Winter,2,Night-time,public_facility,Work_days,0,4,0,100
627895-03082012,Winter,8,Night-time,others,Work_days,0,3,0,100
627919-03082012,Winter,3,Night-time,public_facility,Work_days,0,2,0,100
629238-04082012,Winter,3,Cooking-time,shopping_mall,Week_ends,0,3,0,100
629438-05082012,Winter,4,Night-time,shopping_mall,Week_ends,0,2,0,100
629467-05082012,Winter,5,Cooking-time,shopping_mall,Week_ends,0,1,0,100
632091-09082012,Winter,2,Night-time,shopping_mall,Work_days,0,13,0,100
632818-10082012,Winter,4,Night-time,shopping_mall,Work_days,0,4,0,100
632839-10082012,Winter,5,Night-time,shopping_mall,Work_days,0,2,0,100
634101-11082012,Winter,1,Night-time,rest_home,Week_ends,0,6,0,100
634103-11082012,Winter,2,Night-time,rest_home,Week_ends,0,2,0,100
634684-11082012,Winter,1,Cooking-time,restaurant,Week_ends,0,1,0,100
634868-12082012,Winter,3,Night-time,others,Week_ends,0,2,0,100
634883-12082012,Winter,2,Night-time,shopping_mall,Week_ends,0,3,0,100
635379-12082012,Winter,4,Cooking-time,others,Week_ends,0,3,0,100
635857-13082012,Winter,2,Office Hours,hospital,Work_days,0,6,0,100
639005-18082012,Winter,4,Night-time,public_facility,Week_ends,0,1,0,100
639073-18082012,Winter,1,Cooking-time,office,Week_ends,0,22,0,100
639490-18082012,Winter,1,Office Hours,rest_home,Week_ends,0,6,0,100
642430-22082012,Winter,4,Cooking-time,hospital,Work_days,0,4,0,100
643451-23082012,Winter,3,Cooking-time,rest_home,Work_days,0,4,0,100
644864-25082012,Winter,2,Cooking-time,public_facility,Week_ends,0,7,0,100
645095-26082012,Winter,1,Office Hours,industry_facility,Week_ends,0,4,0,100
645140-26082012,Winter,2,Office Hours,industry_facility,Week_ends,0,1,0,100
646614-28082012,Winter,4,Office Hours,others,Work_days,0,6,0,100
646972-29082012,Winter,6,Cooking-time,others,Work_days,0,7,0,100
649184-01092012,Spring,1,Night-time,others,Week_ends,0,86,0,100
649298-01092012,Spring,2,Night-time,others,Week_ends,0,21,0,100
649314-01092012,Spring,0,Cooking-time,restaurant,Week_ends,0,10,0,100
649324-01092012,Spring,1,Cooking-time,rest_home,Week_ends,0,18,0,100
649480-01092012,Spring,3,Office Hours,others,Week_ends,0,4,0,100
649485-01092012,Spring,0,Office Hours,hospital,Week_ends,0,120,0,100
649591-01092012,Spring,1,Cooking-time,apartment,Week_ends,0,45,0,100
649607-01092012,Spring,2,Cooking-time,apartment,Week_ends,0,8,0,100
649653-01092012,Spring,1,Office Hours,hospital,Week_ends,0,22,0,100
649774-01092012,Spring,4,Office Hours,others,Week_ends,0,2,0,100
649891-01092012,Spring,2,Cooking-time,others,Week_ends,0,17,0,100
649951-01092012,Spring,1,Cooking-time,shopping_mall,Week_ends,0,30,0,100
650236-02092012,Spring,1,Night-time,hospital,Week_ends,0,18,0,100
650581-02092012,Spring,1,Office Hours,tansport,Week_ends,0,7,0,100
650651-02092012,Spring,0,Office Hours,tansport,Week_ends,0,13,0,100
650655-02092012,Spring,0,Office Hours,industry_facility,Week_ends,0,35,0,100
650912-03092012,Spring,2,Night-time,hospital,Work_days,0,16,0,100
650965-03092012,Spring,1,Cooking-time,industry_facility,Work_days,0,20,0,100
651118-03092012,Spring,1,Office Hours,office,Work_days,0,29,0,100
651257-03092012,Spring,2,Cooking-time,apartment,Work_days,0,24,0,100
651354-03092012,Spring,1,Office Hours,hospital,Work_days,0,63,0,100
651617-03092012,Spring,1,Cooking-time,house,Work_days,0,7,0,100
651687-03092012,Spring,2,Night-time,others,Work_days,0,57,0,100
652087-04092012,Spring,2,Office Hours,house,Work_days,0,1,0,100
652106-04092012,Spring,2,Office Hours,office,Work_days,0,7,0,100
652277-04092012,Spring,2,Cooking-time,others,Work_days,0,72,0,100
652835-05092012,Spring,1,Night-time,hospital,Work_days,0,72,0,100
653267-05092012,Spring,1,Cooking-time,hotel,Work_days,0,76,0,100
653376-05092012,Spring,3,Cooking-time,others,Work_days,0,24,0,100
653511-05092012,Spring,2,Office Hours,apartment,Work_days,0,10,0,100
653741-05092012,Spring,2,Cooking-time,hotel,Work_days,0,12,0,100
653814-05092012,Spring,3,Cooking-time,apartment,Work_days,0,4,0,100
653868-05092012,Spring,3,Cooking-time,hotel,Work_days,0,5,0,100
653912-05092012,Spring,2,Night-time,public_facility,Work_days,0,13,0,100
653976-06092012,Spring,4,Night-time,apartment,Work_days,0,2,0,100
654129-06092012,Spring,1,Cooking-time,rest_home,Work_days,0,74,0,100
654282-06092012,Spring,2,Office Hours,others,Work_days,0,38,0,100
654301-06092012,Spring,1,Office Hours,industry_facility,Work_days,0,18,0,100
654527-06092012,Spring,1,Cooking-time,shopping_mall,Work_days,0,85,0,100
655309-07092012,Spring,1,Office Hours,rest_home,Work_days,0,48,0,100
656291-08092012,Spring,2,Night-time,office,Week_ends,0,4,0,100
657167-08092012,Spring,1,Cooking-time,tansport,Week_ends,0,3,0,100
657419-09092012,Spring,2,Night-time,tansport,Week_ends,0,1,0,100
657429-09092012,Spring,1,Night-time,shopping_mall,Week_ends,0,24,0,100
657446-09092012,Spring,3,Night-time,tansport,Week_ends,0,1,0,100
657539-09092012,Spring,1,Office Hours,shopping_mall,Week_ends,0,16,0,100
657544-09092012,Spring,4,Office Hours,tansport,Week_ends,0,1,0,100
657626-09092012,Spring,0,Office Hours,house,Week_ends,0,15,0,100
658217-09092012,Spring,1,Cooking-time,office,Week_ends,0,12,0,100
658451-10092012,Spring,1,Night-time,apartment,Work_days,0,69,0,100
659379-11092012,Spring,2,Cooking-time,shopping_mall,Work_days,0,21,0,100
659927-12092012,Spring,3,Night-time,school,Work_days,0,5,0,100
660022-12092012,Spring,4,Cooking-time,school,Work_days,0,1,0,100
660523-12092012,Spring,2,Cooking-time,industry_facility,Work_days,0,2,0,100
660603-12092012,Spring,1,Night-time,rest_home,Work_days,0,31,0,100
660675-13092012,Spring,2,Night-time,apartment,Work_days,0,10,0,100
660822-13092012,Spring,3,Office Hours,apartment,Work_days,0,4,0,100
661099-13092012,Spring,2,Office Hours,rest_home,Work_days,0,8,0,100
661275-14092012,Spring,2,Night-time,hotel,Work_days,0,11,0,100
661276-14092012,Spring,3,Night-time,hotel,Work_days,0,3,0,100
661282-14092012,Spring,4,Night-time,hotel,Work_days,0,1,0,100
661297-14092012,Spring,1,Night-time,office,Work_days,0,23,0,100
661375-14092012,Spring,1,Office Hours,hotel,Work_days,0,39,0,100
661490-14092012,Spring,2,Cooking-time,office,Work_days,0,11,0,100
661528-14092012,Spring,3,Cooking-time,office,Work_days,0,3,0,100
661785-14092012,Spring,4,Cooking-time,office,Work_days,0,3,0,100
661790-14092012,Spring,5,Cooking-time,office,Work_days,0,1,0,100
661917-15092012,Spring,2,Night-time,rest_home,Week_ends,0,1,0,100
661987-15092012,Spring,6,Night-time,office,Week_ends,0,1,0,100
662003-15092012,Spring,7,Cooking-time,office,Week_ends,0,1,0,100
662162-15092012,Spring,8,Office Hours,office,Week_ends,0,1,0,100
662422-15092012,Spring,1,Office Hours,school,Week_ends,0,13,0,100
662531-15092012,Spring,9,Cooking-time,office,Week_ends,0,1,0,100
662616-15092012,Spring,1,Night-time,hotel,Week_ends,0,21,0,100
662625-15092012,Spring,0,Night-time,house,Week_ends,0,10,0,100
662862-16092012,Spring,1,Office Hours,hotel,Week_ends,0,13,0,100
663214-16092012,Spring,0,Office Hours,restaurant,Week_ends,0,7,0,100
664089-18092012,Spring,0,Night-time,restaurant,Work_days,0,18,0,100
664209-18092012,Spring,1,Office Hours,public_facility,Work_days,0,42,0,100
664716-19092012,Spring,3,Night-time,public_facility,Work_days,0,4,0,100
665808-20092012,Spring,2,Office Hours,industry_facility,Work_days,0,4,0,100
667404-22092012,Spring,2,Cooking-time,hospital,Week_ends,0,10,0,100
667489-22092012,Spring,1,Night-time,rest_home,Week_ends,0,15,0,100
668093-23092012,Spring,2,Cooking-time,hotel,Week_ends,0,9,0,100
668416-24092012,Spring,4,Cooking-time,hotel,Work_days,0,2,0,100
669899-26092012,Spring,2,Cooking-time,rest_home,Work_days,0,7,0,100
669917-26092012,Spring,3,Cooking-time,rest_home,Work_days,0,2,0,100
669921-26092012,Spring,4,Cooking-time,rest_home,Work_days,0,1,0,100
670891-27092012,Spring,5,Cooking-time,apartment,Work_days,0,1,0,100
671347-27092012,Spring,3,Night-time,rest_home,Work_days,0,2,0,100
671444-28092012,Spring,3,Night-time,hospital,Work_days,0,2,0,100
671454-28092012,Spring,4,Night-time,hospital,Work_days,0,1,0,100
671463-28092012,Spring,5,Night-time,hospital,Work_days,0,1,0,100
671475-28092012,Spring,6,Night-time,hospital,Work_days,0,2,0,100
671480-28092012,Spring,7,Night-time,hospital,Work_days,0,2,0,100
671483-28092012,Spring,8,Night-time,hospital,Work_days,0,1,0,100
671487-28092012,Spring,9,Night-time,hospital,Work_days,0,1,0,100
671909-28092012,Spring,10,Cooking-time,hospital,Work_days,0,1,0,100
671932-28092012,Spring,11,Cooking-time,hospital,Work_days,0,1,0,100
671958-28092012,Spring,3,Office Hours,rest_home,Work_days,0,1,0,100
672308-28092012,Spring,2,Cooking-time,hospital,Work_days,0,27,0,100
672555-29092012,Spring,2,Cooking-time,rest_home,Week_ends,0,4,0,100
672600-29092012,Spring,1,Office Hours,apartment,Week_ends,0,20,0,100
672607-29092012,Spring,2,Office Hours,others,Week_ends,0,13,0,100
672670-29092012,Spring,1,Cooking-time,school,Week_ends,0,30,0,100
673558-30092012,Spring,3,Cooking-time,school,Week_ends,0,2,0,100
673559-30092012,Spring,4,Cooking-time,school,Week_ends,0,1,0,100
673560-30092012,Spring,5,Cooking-time,school,Week_ends,0,1,0,100
673936-30092012,Spring,1,Cooking-time,house,Week_ends,0,3,0,100
674164-01102012,Spring,1,Night-time,industry_facility,Work_days,0,17,0,100
674358-01102012,Spring,2,Office Hours,public_facility,Work_days,0,5,0,100
675980-03102012,Spring,1,Office Hours,house,Work_days,0,6,0,100
676303-04102012,Spring,3,Night-time,shopping_mall,Work_days,0,5,0,100
676365-04102012,Spring,4,Night-time,shopping_mall,Work_days,0,3,0,100
679159-06102012,Spring,2,Cooking-time,shopping_mall,Week_ends,0,8,0,100
679312-06102012,Spring,3,Night-time,hospital,Week_ends,0,2,0,100
679370-07102012,Spring,1,Night-time,public_facility,Week_ends,0,12,0,100
680593-08102012,Spring,4,Cooking-time,hospital,Work_days,0,2,0,100
680780-09102012,Spring,3,Cooking-time,shopping_mall,Work_days,0,6,0,100
681475-10102012,Spring,3,Cooking-time,school,Work_days,0,4,0,100
683345-13102012,Spring,2,Cooking-time,house,Week_ends,0,1,0,100
683991-14102012,Spring,1,Office Hours,rest_home,Week_ends,0,7,0,100
684231-14102012,Spring,1,Night-time,school,Week_ends,0,14,0,100
684949-16102012,Spring,3,Night-time,others,Work_days,0,16,0,100
685572-16102012,Spring,1,Cooking-time,restaurant,Work_days,0,5,0,100
686713-18102012,Spring,3,Office Hours,others,Work_days,0,11,0,100
688709-20102012,Spring,2,Office Hours,shopping_mall,Week_ends,0,4,0,100
689043-21102012,Spring,2,Night-time,shopping_mall,Week_ends,0,2,0,100
689128-21102012,Spring,1,Cooking-time,industry_facility,Week_ends,0,10,0,100
689133-21102012,Spring,3,Cooking-time,others,Week_ends,0,4,0,100
689845-22102012,Spring,4,Night-time,others,Work_days,0,8,0,100
689881-22102012,Spring,4,Night-time,school,Work_days,0,1,0,100
690496-22102012,Spring,1,Cooking-time,tansport,Work_days,0,9,0,100
690716-23102012,Spring,4,Cooking-time,others,Work_days,0,7,0,100
692088-25102012,Spring,1,Night-time,restaurant,Work_days,0,3,0,100
693757-27102012,Spring,3,Night-time,rest_home,Week_ends,0,1,0,100
694159-27102012,Spring,1,Office Hours,public_facility,Week_ends,0,15,0,100
695061-28102012,Spring,2,Office Hours,rest_home,Week_ends,0,2,0,100
695373-29102012,Spring,2,Night-time,office,Work_days,0,5,0,100
699373-03112012,Spring,3,Night-time,others,Week_ends,0,2,0,100
699408-03112012,Spring,3,Night-time,school,Week_ends,0,1,0,100
699445-03112012,Spring,2,Cooking-time,office,Week_ends,0,2,0,100
700893-05112012,Spring,2,Night-time,rest_home,Work_days,0,6,0,100
701556-06112012,Spring,1,Night-time,house,Work_days,0,6,0,100
702272-07112012,Spring,1,Night-time,tansport,Work_days,0,12,0,100
703171-08112012,Spring,3,Cooking-time,public_facility,Work_days,0,6,0,100
704178-09112012,Spring,4,Office Hours,others,Work_days,0,5,0,100
704574-10112012,Spring,3,Cooking-time,office,Week_ends,0,2,0,100
707498-15112012,Spring,2,Night-time,industry_facility,Work_days,0,1,0,100
709493-18112012,Spring,2,Cooking-time,public_facility,Week_ends,0,5,0,100
709690-18112012,Spring,2,Office Hours,public_facility,Week_ends,0,2,0,100
709998-19112012,Spring,4,Night-time,public_facility,Work_days,0,1,0,100
713390-24112012,Spring,1,Office Hours,industry_facility,Week_ends,0,7,0,100
713414-24112012,Spring,2,Office Hours,tansport,Week_ends,0,2,0,100
713667-24112012,Spring,3,Cooking-time,tansport,Week_ends,0,1,0,100
713869-25112012,Spring,2,Night-time,public_facility,Week_ends,0,6,0,100
717092-29112012,Spring,3,Office Hours,hospital,Work_days,0,4,0,100
718460-01122012,Summer,1,Night-time,apartment,Week_ends,0,55,0,100
718527-01122012,Summer,2,Night-time,others,Week_ends,0,26,0,100
718560-01122012,Summer,0,Night-time,rest_home,Week_ends,0,122,0,100
718590-01122012,Summer,0,Night-time,industry_facility,Week_ends,0,51,0,100
718593-01122012,Summer,1,Night-time,school,Week_ends,0,36,0,100
718634-01122012,Summer,1,Cooking-time,school,Week_ends,0,51,0,100
718668-01122012,Summer,1,Cooking-time,others,Week_ends,0,178,0,100
718671-01122012,Summer,4,Cooking-time,others,Week_ends,0,6,0,100
718729-01122012,Summer,2,Office Hours,public_facility,Week_ends,0,3,0,100
718764-01122012,Summer,1,Office Hours,hospital,Week_ends,0,26,0,100
718832-01122012,Summer,1,Cooking-time,hospital,Week_ends,0,70,0,100
718864-01122012,Summer,0,Cooking-time,industry_facility,Week_ends,0,49,0,100
718878-01122012,Summer,1,Cooking-time,public_facility,Week_ends,0,30,0,100
718883-01122012,Summer,2,Cooking-time,others,Week_ends,0,38,0,100
