incident_number,season,alarm_type,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
067683-06042013,Autumn,6200,Night-time,tansport,0,3,0,100
067689-06042013,Autumn,1900,Night-time,others,0,3,0,100
067782-06042013,Autumn,6100,Office Hours,house,0,23,0,100
068109-06042013,Autumn,6990,Night-time,restaurant,0,6,0,100
069377-09042013,Autumn,6200,Office Hours,restaurant,0,1,0,100
070295-11042013,Autumn,1100,Night-time,industry_facility,0,4,0,100
072210-14042013,Autumn,0,Night-time,school,0,1,0,100
074030-17042013,Autumn,0,Cooking-time,others,0,5,0,100
074076-17042013,Autumn,0,Cooking-time,house,0,1,0,100
074096-17042013,Autumn,0,Office Hours,hotel,0,1,0,100
074592-18042013,Autumn,1170,Night-time,others,0,2,0,100
075895-20042013,Autumn,6110,Night-time,hotel,0,19,0,100
078264-24042013,Autumn,1100,Office Hours,hospital,0,10,0,100
079365-26042013,Autumn,1120,Night-time,hospital,0,1,0,100
079702-26042013,Autumn,1900,Office Hours,others,0,2,0,100
080516-27042013,Autumn,6110,Cooking-time,industry_facility,0,14,0,100
081688-29042013,Autumn,6110,Office Hours,rest_home,0,13,0,100
082675-01052013,Autumn,6100,Cooking-time,restaurant,0,8,0,100
082702-01052013,Autumn,0,Cooking-time,public_facility,0,1,0,100
083043-01052013,Autumn,7110,Night-time,public_facility,0,4,0,100
083597-03052013,Autumn,0,Night-time,apartment,0,1,0,100
085498-05052013,Autumn,0,Night-time,public_facility,0,1,0,100
086141-07052013,Autumn,1100,Office Hours,hotel,0,11,0,100
086882-08052013,Autumn,1200,Office Hours,others,0,4,0,100
088350-10052013,Autumn,6990,Cooking-time,tansport,0,22,0,100
088722-11052013,Autumn,6210,Office Hours,office,0,4,0,100
091935-16052013,Autumn,1120,Cooking-time,industry_facility,0,5,0,100
096809-24052013,Autumn,0,Cooking-time,hospital,0,1,0,100
097259-25052013,Autumn,6110,Night-time,shopping_mall,0,4,0,100
098541-27052013,Autumn,0,Office Hours,apartment,0,2,0,100
102114-03062013,Winter,1200,Cooking-time,public_facility,0,4,0,100
102819-05062013,Winter,1100,Night-time,rest_home,0,4,0,100
103029-05062013,Winter,6110,Cooking-time,house,0,4,0,100
104010-07062013,Winter,1170,Cooking-time,others,0,1,0,100
105798-10062013,Winter,1100,Cooking-time,tansport,0,11,0,100
107254-13062013,Winter,1120,Night-time,office,0,2,0,100
108790-16062013,Winter,6290,Night-time,school,0,3,0,100
108877-16062013,Winter,6290,Office Hours,school,0,2,0,100
109160-17062013,Winter,7110,Night-time,public_facility,0,3,0,100
109183-17062013,Winter,6900,Night-time,restaurant,0,8,0,100
112763-23062013,Winter,7110,Office Hours,public_facility,0,8,0,100
113334-24062013,Winter,6120,Office Hours,office,0,1,0,100
113849-25062013,Winter,6210,Office Hours,office,0,1,0,100
114162-26062013,Winter,6200,Night-time,public_facility,0,18,0,100
119192-05072013,Winter,6120,Office Hours,industry_facility,0,1,0,100
120009-07072013,Winter,1120,Cooking-time,hospital,0,3,0,100
120523-08072013,Winter,6200,Night-time,tansport,0,2,0,100
120525-08072013,Winter,6200,Night-time,house,0,7,0,100
121869-10072013,Winter,8990,Cooking-time,others,0,1,0,100
124615-15072013,Winter,1900,Office Hours,apartment,0,1,0,100
127118-20072013,Winter,1900,Office Hours,others,0,3,0,100
127967-21072013,Winter,1900,Night-time,shopping_mall,0,1,0,100
129390-24072013,Winter,1120,Office Hours,office,0,2,0,100
130237-26072013,Winter,1120,Cooking-time,industry_facility,0,2,0,100
138761-10082013,Winter,1200,Office Hours,others,0,2,0,100
139205-10082013,Winter,1100,Night-time,tansport,0,11,0,100
142503-15082013,Winter,6990,Cooking-time,restaurant,0,10,0,100
156073-03092013,Spring,1170,Office Hours,others,0,1,0,100
158691-07092013,Spring,1100,Night-time,restaurant,0,5,0,100
162869-11092013,Spring,6210,Cooking-time,office,0,3,0,100
163603-12092013,Spring,1120,Cooking-time,apartment,0,1,0,100
165023-13092013,Spring,1120,Cooking-time,office,0,2,0,100
165212-14092013,Spring,6100,Night-time,restaurant,0,6,0,100
169021-20092013,Spring,1100,Office Hours,restaurant,0,1,0,100
169048-20092013,Spring,1120,Office Hours,industry_facility,0,2,0,100
171327-23092013,Spring,0,Office Hours,office,0,2,0,100
174879-27092013,Spring,1200,Cooking-time,shopping_mall,0,2,0,100
180029-02102013,Spring,6200,Night-time,house,0,2,0,100
182228-05102013,Spring,6200,Office Hours,restaurant,0,1,0,100
187864-11102013,Spring,6120,Cooking-time,industry_facility,0,4,0,100
191731-15102013,Spring,1120,Night-time,hospital,0,2,0,100
191902-15102013,Spring,1120,Office Hours,shopping_mall,0,2,0,100
200090-21102013,Spring,1200,Cooking-time,others,0,2,0,100
208469-29102013,Spring,6200,Office Hours,industry_facility,0,5,0,100
208853-30102013,Spring,1120,Office Hours,apartment,0,2,0,100
214279-05112013,Spring,0,Office Hours,hotel,0,1,0,100
220396-12112013,Spring,1120,Office Hours,public_facility,0,1,0,100
221442-14112013,Spring,1120,Cooking-time,industry_facility,0,1,0,100
221466-14112013,Spring,1120,Office Hours,office,0,3,0,100
222679-16112013,Spring,1200,Night-time,others,0,1,0,100
227416-24112013,Spring,0,Night-time,apartment,0,1,0,100
230719-30112013,Spring,7110,Office Hours,others,0,3,0,100
232472-03122013,Summer,6290,Office Hours,school,0,1,0,100
234686-06122013,Summer,1200,Cooking-time,hotel,0,5,0,100
234780-06122013,Summer,1200,Night-time,hotel,0,2,0,100
236166-09122013,Summer,6120,Night-time,others,0,1,0,100
236247-09122013,Summer,1120,Cooking-time,office,0,7,0,100
241556-17122013,Summer,6120,Cooking-time,office,0,1,0,100
243924-20122013,Summer,0,Office Hours,school,0,1,0,100
245269-22122013,Summer,6110,Night-time,shopping_mall,0,4,0,100
246616-24122013,Summer,1200,Night-time,others,0,3,0,100
249281-28122013,Summer,1900,Night-time,shopping_mall,0,1,0,100
000238-01012014,Summer,6200,Night-time,tansport,0,3,0,100
007277-12012014,Summer,0,Cooking-time,school,0,1,0,100
009964-16012014,Summer,6210,Office Hours,office,0,1,0,100
013590-20012014,Summer,1900,Office Hours,shopping_mall,0,1,0,100
015777-23012014,Summer,1120,Office Hours,office,0,5,0,100
016486-24012014,Summer,0,Night-time,apartment,0,4,0,100
022764-03022014,Summer,0,Night-time,hotel,0,2,0,100
025120-06022014,Summer,0,Cooking-time,industry_facility,0,1,0,100
028073-10022014,Summer,7110,Office Hours,others,0,1,0,100
031006-15022014,Summer,7110,Night-time,others,0,2,0,100
031535-15022014,Summer,0,Cooking-time,shopping_mall,0,1,0,100
033050-18022014,Summer,1900,Office Hours,apartment,0,1,0,100
034206-20022014,Summer,6110,Night-time,house,0,1,0,100
036693-24022014,Summer,1120,Cooking-time,apartment,0,2,0,100
037114-25022014,Summer,2270,Office Hours,others,0,1,0,100
037290-26022014,Summer,6210,Night-time,office,0,1,0,100
037864-27022014,Summer,0,Night-time,public_facility,0,1,0,100
038064-27022014,Summer,7110,Cooking-time,others,0,2,0,100
040684-04032014,Autumn,6110,Office Hours,shopping_mall,0,8,0,100
040715-04032014,Autumn,1120,Cooking-time,office,0,5,0,100
041396-05032014,Autumn,1100,Office Hours,industry_facility,0,4,0,100
041803-06032014,Autumn,0,Cooking-time,school,0,1,0,100
043487-09032014,Autumn,1120,Night-time,apartment,0,1,0,100
043624-09032014,Autumn,0,Office Hours,public_facility,0,1,0,100
048329-17032014,Autumn,1200,Night-time,others,0,5,0,100
048676-17032014,Autumn,0,Cooking-time,rest_home,0,2,0,100
049093-18032014,Autumn,6120,Office Hours,others,0,2,0,100
049238-18032014,Autumn,6120,Cooking-time,industry_facility,0,2,0,100
053013-25032014,Autumn,1900,Office Hours,public_facility,0,1,0,100
056109-30032014,Autumn,6120,Night-time,industry_facility,0,1,0,100
056136-31032014,Autumn,1900,Night-time,apartment,0,3,0,100
057040-01042014,Autumn,1100,Cooking-time,restaurant,0,4,0,100
059234-05042014,Autumn,1900,Cooking-time,apartment,0,4,0,100
060118-07042014,Autumn,1200,Cooking-time,others,0,3,0,100
062375-12042014,Autumn,1110,Night-time,others,0,1,0,100
062897-13042014,Autumn,1120,Night-time,shopping_mall,0,1,0,100
071650-29042014,Autumn,0,Cooking-time,shopping_mall,0,1,0,100
078215-12052014,Autumn,1900,Cooking-time,public_facility,0,1,0,100
085232-24052014,Autumn,6110,Cooking-time,shopping_mall,0,6,0,100
089083-30052014,Autumn,1120,Cooking-time,apartment,0,1,0,100
090425-02062014,Winter,1200,Office Hours,hotel,0,1,0,100
097958-18062014,Winter,1120,Office Hours,industry_facility,0,1,0,100
098362-19062014,Winter,6110,Office Hours,house,0,2,0,100
101594-25062014,Winter,1170,Office Hours,others,0,1,0,100
105216-01072014,Winter,2270,Cooking-time,others,0,2,0,100
110903-10072014,Winter,1120,Office Hours,hotel,0,1,0,100
115038-16072014,Winter,1200,Night-time,hotel,0,4,0,100
115841-18072014,Winter,1130,Cooking-time,shopping_mall,0,1,0,100
127208-04082014,Winter,0,Night-time,school,0,1,0,100
132075-12082014,Winter,6210,Night-time,office,0,1,0,100
144724-04092014,Spring,1200,Cooking-time,hotel,0,3,0,100
144797-05092014,Spring,1200,Night-time,hotel,0,1,0,100
146570-08092014,Spring,1900,Cooking-time,shopping_mall,0,1,0,100
147436-10092014,Spring,1200,Office Hours,hotel,0,1,0,100
151235-17092014,Spring,0,Cooking-time,office,0,2,0,100
154851-23092014,Spring,1900,Office Hours,apartment,0,1,0,100
155137-24092014,Spring,6210,Night-time,office,0,2,0,100
159914-01102014,Spring,0,Office Hours,rest_home,0,4,0,100
160665-02102014,Spring,0,Office Hours,apartment,0,3,0,100
162400-04102014,Spring,6210,Office Hours,office,0,1,0,100
165807-09102014,Spring,0,Cooking-time,hotel,0,4,0,100
168014-12102014,Spring,1170,Office Hours,industry_facility,0,1,0,100
170676-15102014,Spring,1110,Cooking-time,others,0,2,0,100
176281-25102014,Spring,2350,Office Hours,others,0,1,0,100
176293-25102014,Spring,1100,Office Hours,hospital,0,2,0,100
177540-26102014,Spring,0,Night-time,school,0,1,0,100
178439-27102014,Spring,0,Night-time,office,0,1,0,100
180477-31102014,Spring,0,Night-time,hospital,0,1,0,100
184204-03112014,Spring,0,Office Hours,shopping_mall,0,1,0,100
186698-07112014,Spring,1200,Cooking-time,office,0,1,0,100
187634-08112014,Spring,2350,Cooking-time,others,0,1,0,100
205666-03122014,Summer,1100,Night-time,restaurant,0,3,0,100
205828-03122014,Summer,1900,Cooking-time,school,0,1,0,100
213596-14122014,Summer,4310,Office Hours,others,0,1,0,100
223401-30122014,Summer,2270,Office Hours,office,0,1,0,100
224308-31122014,Summer,1100,Office Hours,restaurant,0,2,0,100
000798-02012015,Summer,7110,Night-time,public_facility,0,1,0,100
004434-08012015,Summer,1200,Cooking-time,office,0,1,0,100
004514-08012015,Summer,1200,Office Hours,others,0,1,0,100
009606-17012015,Summer,0,Cooking-time,tansport,0,1,0,100
013576-24012015,Summer,6120,Office Hours,industry_facility,0,1,0,100
015301-27012015,Summer,2270,Cooking-time,office,0,1,0,100
038272-10032015,Autumn,1100,Night-time,restaurant,0,1,0,100
038318-10032015,Autumn,6200,Night-time,house,0,1,0,100
038453-10032015,Autumn,1200,Office Hours,office,0,1,0,100
043180-18032015,Autumn,6110,Office Hours,house,0,1,0,100
046509-24032015,Autumn,2350,Night-time,others,0,1,0,100
051840-02042015,Autumn,1120,Cooking-time,hotel,0,2,0,100
052016-02042015,Autumn,1120,Cooking-time,hospital,0,1,0,100
058408-15042015,Autumn,1140,Cooking-time,apartment,0,2,0,100
058444-15042015,Autumn,0,Office Hours,tansport,0,1,0,100
058468-15042015,Autumn,6200,Office Hours,house,0,2,0,100
062373-21042015,Autumn,1120,Night-time,industry_facility,0,1,0,100
068161-22042015,Autumn,4110,Night-time,others,0,1,0,100
070286-25042015,Autumn,2270,Office Hours,office,0,1,0,100
070514-25042015,Autumn,7110,Office Hours,others,0,1,0,100
071655-27042015,Autumn,2270,Cooking-time,office,0,1,0,100
074820-02052015,Autumn,1120,Office Hours,hotel,0,1,0,100
084653-20052015,Autumn,1200,Cooking-time,office,0,1,0,100
090033-30052015,Autumn,0,Cooking-time,apartment,0,1,0,100
102413-24062015,Winter,2270,Cooking-time,office,0,2,0,100
102689-24062015,Winter,1120,Cooking-time,office,0,3,0,100
103021-25062015,Winter,6120,Office Hours,others,0,2,0,100
103128-25062015,Winter,6120,Cooking-time,others,0,3,0,100
113320-15072015,Winter,0,Office Hours,hospital,0,2,0,100
115527-19072015,Winter,1120,Cooking-time,shopping_mall,0,1,0,100
