incident_number,season,alarm_type,repeat_count,time_of_day2,true_alarm,false_alarm,true_percentage,false_percentage
713869-25112012,Spring,7110,2,Night-time,0,1,0,100
714349-25112012,Spring,1200,0,Office Hours,0,1,0,100
718527-01122012,Summer,6990,2,Night-time,0,78,0,100
718593-01122012,Summer,6110,1,Night-time,0,46,0,100
718729-01122012,Summer,6100,2,Office Hours,0,33,0,100
719305-02122012,Summer,6200,1,Night-time,0,49,0,100
719353-02122012,Summer,6100,2,Night-time,0,50,0,100
719876-03122012,Summer,1120,0,Night-time,0,13,0,100
719887-03122012,Summer,1160,0,Night-time,0,2,0,100
720047-03122012,Summer,6900,2,Office Hours,0,56,0,100
721415-05122012,Summer,6100,3,Night-time,0,18,0,100
721428-05122012,Summer,1170,0,Night-time,0,2,0,100
721427-05122012,Summer,6120,0,Night-time,0,3,0,100
722229-05122012,Summer,1100,1,Office Hours,0,27,0,100
722516-05122012,Summer,6900,5,Night-time,0,2,0,100
722592-06122012,Summer,6900,6,Night-time,0,2,0,100
722656-06122012,Summer,6900,7,Cooking-time,0,2,0,100
722684-06122012,Summer,6900,8,Cooking-time,0,2,0,100
722982-06122012,Summer,6990,3,Office Hours,0,14,0,100
723610-07122012,Summer,7110,0,Office Hours,0,8,0,100
723620-07122012,Summer,1120,0,Office Hours,0,18,0,100
724300-08122012,Summer,1100,1,Cooking-time,0,83,0,100
724558-08122012,Summer,1100,2,Cooking-time,0,17,0,100
724713-08122012,Summer,6200,2,Cooking-time,0,8,0,100
725036-09122012,Summer,1100,2,Night-time,0,20,0,100
726281-11122012,Summer,1900,0,Night-time,0,24,0,100
727617-13122012,Summer,6110,1,Cooking-time,0,86,0,100
728327-14122012,Summer,6990,3,Night-time,0,19,0,100
729004-15122012,Summer,6200,2,Night-time,0,8,0,100
729061-15122012,Summer,6900,3,Night-time,0,23,0,100
732112-19122012,Summer,6110,2,Office Hours,0,12,0,100
732427-19122012,Summer,1100,3,Office Hours,0,1,0,100
732434-19122012,Summer,1100,4,Office Hours,0,2,0,100
732621-19122012,Summer,6100,3,Cooking-time,0,19,0,100
732716-19122012,Summer,6100,4,Night-time,0,5,0,100
732764-20122012,Summer,1100,5,Night-time,0,2,0,100
732820-20122012,Summer,6110,2,Night-time,0,8,0,100
733094-20122012,Summer,6110,3,Cooking-time,0,9,0,100
733651-21122012,Summer,6110,4,Night-time,0,2,0,100
733666-21122012,Summer,6110,5,Night-time,0,2,0,100
733749-21122012,Summer,6110,6,Cooking-time,0,1,0,100
734218-21122012,Summer,6110,7,Cooking-time,0,1,0,100
734416-22122012,Summer,1100,3,Night-time,0,3,0,100
735050-22122012,Summer,6120,0,Cooking-time,0,6,0,100
735051-22122012,Summer,1170,0,Cooking-time,0,2,0,100
735869-23122012,Summer,1120,1,Office Hours,0,1,0,100
738200-26122012,Summer,6100,4,Office Hours,0,2,0,100
738391-27122012,Summer,6100,5,Night-time,0,2,0,100
738432-27122012,Summer,6100,6,Night-time,0,2,0,100
738598-27122012,Summer,1900,1,Cooking-time,0,5,0,100
738765-27122012,Summer,6100,7,Cooking-time,0,2,0,100
738964-28122012,Summer,1900,2,Night-time,0,1,0,100
739340-28122012,Summer,6100,8,Office Hours,0,1,0,100
740438-30122012,Summer,6900,4,Office Hours,0,4,0,100
740864-30122012,Summer,6900,5,Cooking-time,0,5,0,100
001792-03012013,Summer,1100,3,Cooking-time,0,6,0,100
003165-04012013,Summer,0,0,Night-time,0,15,0,100
003198-04012013,Summer,1120,1,Night-time,0,1,0,100
006861-08012013,Summer,6900,3,Office Hours,0,11,0,100
007210-08012013,Summer,6100,3,Office Hours,0,7,0,100
008018-09012013,Summer,6900,4,Night-time,0,4,0,100
008147-09012013,Summer,6990,3,Cooking-time,0,39,0,100
008296-09012013,Summer,1900,0,Office Hours,0,8,0,100
008835-09012013,Summer,6900,6,Cooking-time,0,2,0,100
010988-11012013,Summer,1900,2,Cooking-time,0,2,0,100
013636-13012013,Summer,1100,4,Night-time,0,1,0,100
013764-14012013,Summer,1100,6,Cooking-time,0,1,0,100
013782-14012013,Summer,1100,7,Cooking-time,0,1,0,100
014862-15012013,Summer,1200,0,Cooking-time,0,6,0,100
015150-16012013,Summer,6990,4,Cooking-time,0,9,0,100
015208-16012013,Summer,6120,0,Office Hours,0,7,0,100
015210-16012013,Summer,1170,0,Office Hours,0,1,0,100
017474-18012013,Summer,6110,4,Cooking-time,0,2,0,100
019579-19012013,Summer,1120,1,Cooking-time,0,4,0,100
023776-25012013,Summer,0,0,Office Hours,0,8,0,100
026282-28012013,Summer,6990,5,Night-time,0,1,0,100
026475-28012013,Summer,6990,6,Cooking-time,0,3,0,100
026598-28012013,Summer,6990,7,Cooking-time,0,1,0,100
026631-28012013,Summer,1100,2,Office Hours,0,5,0,100
026854-28012013,Summer,1100,4,Cooking-time,0,1,0,100
026943-28012013,Summer,1100,5,Cooking-time,0,2,0,100
027209-29012013,Summer,6990,8,Night-time,0,2,0,100
027216-29012013,Summer,6990,9,Night-time,0,1,0,100
027414-29012013,Summer,6110,6,Night-time,0,2,0,100
027807-29012013,Summer,6100,4,Cooking-time,0,8,0,100
030071-02022013,Summer,6110,4,Office Hours,0,1,0,100
030238-02022013,Summer,6990,4,Office Hours,0,6,0,100
030247-02022013,Summer,6990,5,Office Hours,0,3,0,100
030431-02022013,Summer,6990,7,Night-time,0,2,0,100
035262-11022013,Summer,6200,3,Office Hours,0,1,0,100
043640-24022013,Summer,6110,3,Office Hours,0,2,0,100
043898-24022013,Summer,6110,5,Office Hours,0,1,0,100
044191-25022013,Summer,1900,1,Night-time,0,4,0,100
044456-25022013,Summer,6100,5,Cooking-time,0,7,0,100
044498-25022013,Summer,6290,0,Cooking-time,0,1,0,100
046048-28022013,Summer,6110,3,Night-time,0,1,0,100
046503-01032013,Autumn,6900,2,Night-time,0,66,0,100
046535-01032013,Autumn,6100,2,Night-time,0,66,0,100
046596-01032013,Autumn,6200,1,Cooking-time,0,83,0,100
046732-01032013,Autumn,6110,1,Cooking-time,0,87,0,100
046973-01032013,Autumn,1100,1,Cooking-time,0,65,0,100
047193-02032013,Autumn,6100,3,Cooking-time,0,27,0,100
047238-02032013,Autumn,6900,2,Office Hours,0,49,0,100
047380-02032013,Autumn,6200,1,Office Hours,0,44,0,100
047509-02032013,Autumn,6100,2,Cooking-time,0,84,0,100
047574-02032013,Autumn,1120,1,Night-time,0,4,0,100
047655-03032013,Autumn,6200,1,Night-time,0,49,0,100
047658-03032013,Autumn,6990,3,Night-time,0,14,0,100
048078-03032013,Autumn,1100,1,Night-time,0,52,0,100
048677-05032013,Autumn,6200,2,Night-time,0,10,0,100
049002-05032013,Autumn,6200,3,Cooking-time,0,3,0,100
049154-06032013,Autumn,1100,2,Night-time,0,14,0,100
049181-06032013,Autumn,1100,3,Night-time,0,4,0,100
049480-06032013,Autumn,6100,2,Office Hours,0,42,0,100
050658-08032013,Autumn,1100,2,Cooking-time,0,18,0,100
051037-09032013,Autumn,6110,1,Office Hours,0,40,0,100
051549-10032013,Autumn,6110,2,Night-time,0,14,0,100
051558-10032013,Autumn,6290,0,Night-time,0,2,0,100
051667-10032013,Autumn,6100,3,Office Hours,0,14,0,100
051740-10032013,Autumn,6200,2,Cooking-time,0,12,0,100
052167-11032013,Autumn,7110,0,Office Hours,0,11,0,100
052187-11032013,Autumn,1200,0,Office Hours,0,7,0,100
052683-12032013,Autumn,6290,0,Cooking-time,0,5,0,100
053948-14032013,Autumn,1900,0,Office Hours,0,6,0,100
054025-14032013,Autumn,6990,3,Cooking-time,0,34,0,100
054130-15032013,Autumn,6990,4,Night-time,0,3,0,100
054698-16032013,Autumn,6990,5,Night-time,0,2,0,100
054702-16032013,Autumn,6990,6,Night-time,0,1,0,100
054713-16032013,Autumn,6990,7,Night-time,0,1,0,100
054727-16032013,Autumn,6990,8,Night-time,0,2,0,100
054752-16032013,Autumn,6990,9,Night-time,0,1,0,100
054928-16032013,Autumn,6990,10,Cooking-time,0,1,0,100
054988-16032013,Autumn,6990,11,Cooking-time,0,1,0,100
055001-16032013,Autumn,6990,12,Office Hours,0,1,0,100
055016-16032013,Autumn,6990,13,Office Hours,0,1,0,100
055058-16032013,Autumn,6990,14,Office Hours,0,1,0,100
055073-16032013,Autumn,6990,15,Office Hours,0,1,0,100
055942-18032013,Autumn,0,0,Night-time,0,7,0,100
056431-19032013,Autumn,1200,0,Night-time,0,6,0,100
056469-19032013,Autumn,6110,2,Cooking-time,0,22,0,100
056478-19032013,Autumn,6110,3,Cooking-time,0,4,0,100
056616-19032013,Autumn,6110,4,Cooking-time,0,2,0,100
056702-19032013,Autumn,6110,5,Office Hours,0,2,0,100
057285-20032013,Autumn,6110,6,Office Hours,0,2,0,100
059079-23032013,Autumn,6110,3,Office Hours,0,1,0,100
059125-23032013,Autumn,6110,4,Office Hours,0,1,0,100
059181-23032013,Autumn,6110,5,Cooking-time,0,2,0,100
059239-23032013,Autumn,6110,6,Cooking-time,0,2,0,100
059360-23032013,Autumn,6110,7,Office Hours,0,2,0,100
059625-24032013,Autumn,6110,8,Night-time,0,1,0,100
061389-26032013,Autumn,6120,0,Office Hours,0,5,0,100
062819-28032013,Autumn,6990,3,Office Hours,0,9,0,100
063896-30032013,Autumn,6210,0,Cooking-time,0,5,0,100
063962-30032013,Autumn,6100,4,Office Hours,0,5,0,100
064267-31032013,Autumn,6210,1,Night-time,0,1,0,100
064340-31032013,Autumn,6210,2,Night-time,0,1,0,100
064759-31032013,Autumn,6900,3,Night-time,0,15,0,100
064850-01042013,Autumn,6900,5,Night-time,0,6,0,100
066096-03042013,Autumn,6110,2,Office Hours,0,12,0,100
066970-04042013,Autumn,1100,3,Cooking-time,0,2,0,100
066998-04042013,Autumn,1100,4,Cooking-time,0,1,0,100
067018-04042013,Autumn,1100,5,Night-time,0,3,0,100
067048-05042013,Autumn,1100,6,Night-time,0,2,0,100
067362-05042013,Autumn,1100,7,Office Hours,0,1,0,100
067689-06042013,Autumn,1900,0,Night-time,0,6,0,100
067780-06042013,Autumn,1100,8,Office Hours,0,1,0,100
068914-08042013,Autumn,6900,3,Cooking-time,0,29,0,100
069245-09042013,Autumn,6210,0,Night-time,0,2,0,100
069314-09042013,Autumn,6210,1,Cooking-time,0,1,0,100
069342-09042013,Autumn,6900,4,Office Hours,0,8,0,100
069435-09042013,Autumn,1120,1,Cooking-time,0,2,0,100
070076-10042013,Autumn,6200,2,Office Hours,0,2,0,100
070935-12042013,Autumn,6990,4,Cooking-time,0,10,0,100
072666-14042013,Autumn,6100,4,Cooking-time,0,9,0,100
074030-17042013,Autumn,0,0,Cooking-time,0,13,0,100
074592-18042013,Autumn,1170,0,Night-time,0,2,0,100
075307-19042013,Autumn,6100,3,Night-time,0,14,0,100
075831-19042013,Autumn,6200,3,Night-time,0,5,0,100
076107-20042013,Autumn,6900,3,Office Hours,0,10,0,100
078958-25042013,Autumn,6200,3,Office Hours,0,2,0,100
082588-01052013,Autumn,6110,3,Night-time,0,6,0,100
083043-01052013,Autumn,7110,0,Night-time,0,4,0,100
083785-03052013,Autumn,1900,1,Cooking-time,0,3,0,100
088722-11052013,Autumn,6210,0,Office Hours,0,3,0,100
089442-12052013,Autumn,1100,2,Office Hours,0,7,0,100
094368-20052013,Autumn,6900,5,Cooking-time,0,9,0,100
094407-20052013,Autumn,6900,6,Cooking-time,0,3,0,100
095050-21052013,Autumn,6200,4,Office Hours,0,1,0,100
096086-22052013,Autumn,6900,4,Cooking-time,0,12,0,100
096688-24052013,Autumn,6900,6,Night-time,0,3,0,100
096952-24052013,Autumn,6900,7,Cooking-time,0,2,0,100
097298-25052013,Autumn,6900,8,Night-time,0,1,0,100
099348-28052013,Autumn,7110,1,Cooking-time,0,1,0,100
101974-03062013,Winter,6990,4,Cooking-time,0,7,0,100
107115-12062013,Winter,7110,1,Cooking-time,0,3,0,100
107282-13062013,Winter,6900,4,Cooking-time,0,6,0,100
108226-15062013,Winter,1100,4,Night-time,0,5,0,100
108790-16062013,Winter,6290,0,Night-time,0,3,0,100
108877-16062013,Winter,6290,1,Office Hours,0,1,0,100
111802-22062013,Winter,1100,5,Night-time,0,1,0,100
112924-23062013,Winter,7110,1,Night-time,0,1,0,100
113307-24062013,Winter,6290,0,Office Hours,0,1,0,100
113334-24062013,Winter,6120,0,Office Hours,0,4,0,100
113480-25062013,Winter,6110,2,Night-time,0,7,0,100
113849-25062013,Winter,6210,0,Office Hours,0,1,0,100
114006-25062013,Winter,6110,4,Cooking-time,0,2,0,100
114037-25062013,Winter,6110,5,Night-time,0,1,0,100
116149-29062013,Winter,1100,3,Cooking-time,0,6,0,100
118045-03072013,Winter,6990,6,Office Hours,0,1,0,100
118101-03072013,Winter,6990,7,Office Hours,0,1,0,100
118369-04072013,Winter,6990,8,Night-time,0,2,0,100
118473-04072013,Winter,6990,9,Cooking-time,0,1,0,100
121869-10072013,Winter,8990,0,Cooking-time,0,1,0,100
137991-09082013,Winter,1170,0,Night-time,0,2,0,100
151885-28082013,Winter,1120,1,Cooking-time,0,2,0,100
156073-03092013,Spring,1170,0,Office Hours,0,2,0,100
162869-11092013,Spring,6210,0,Cooking-time,0,2,0,100
172401-25092013,Spring,6200,4,Cooking-time,0,1,0,100
186135-10102013,Spring,1100,3,Office Hours,0,2,0,100
202740-23102013,Spring,6990,5,Cooking-time,0,4,0,100
203013-23102013,Spring,6990,6,Office Hours,0,1,0,100
203398-24102013,Spring,6990,7,Night-time,0,1,0,100
209014-30102013,Spring,1100,5,Cooking-time,0,1,0,100
209016-30102013,Spring,1100,6,Cooking-time,0,1,0,100
209018-30102013,Spring,1100,7,Cooking-time,0,1,0,100
209019-30102013,Spring,1100,8,Cooking-time,0,1,0,100
209020-30102013,Spring,1100,9,Cooking-time,0,1,0,100
209021-30102013,Spring,1100,10,Cooking-time,0,1,0,100
209022-30102013,Spring,1100,11,Cooking-time,0,1,0,100
209023-30102013,Spring,1100,12,Cooking-time,0,1,0,100
209024-30102013,Spring,1100,13,Cooking-time,0,1,0,100
209025-30102013,Spring,1100,14,Cooking-time,0,1,0,100
209026-30102013,Spring,1100,15,Cooking-time,0,1,0,100
209027-30102013,Spring,1100,16,Cooking-time,0,1,0,100
209028-30102013,Spring,1100,17,Cooking-time,0,1,0,100
209029-30102013,Spring,1100,18,Cooking-time,0,1,0,100
209030-30102013,Spring,1100,19,Cooking-time,0,1,0,100
209031-30102013,Spring,1100,20,Cooking-time,0,1,0,100
209032-30102013,Spring,1100,21,Cooking-time,0,1,0,100
209033-30102013,Spring,1100,22,Cooking-time,0,1,0,100
209034-30102013,Spring,1100,23,Cooking-time,0,1,0,100
209035-30102013,Spring,1100,24,Cooking-time,0,1,0,100
209036-30102013,Spring,1100,25,Cooking-time,0,1,0,100
209037-30102013,Spring,1100,26,Cooking-time,0,1,0,100
209038-30102013,Spring,1100,27,Cooking-time,0,1,0,100
209039-30102013,Spring,1100,28,Cooking-time,0,1,0,100
209040-30102013,Spring,1100,29,Cooking-time,0,1,0,100
209041-30102013,Spring,1100,30,Cooking-time,0,1,0,100
209042-30102013,Spring,1100,31,Cooking-time,0,1,0,100
209043-30102013,Spring,1100,32,Cooking-time,0,1,0,100
209044-30102013,Spring,1100,33,Cooking-time,0,1,0,100
209045-30102013,Spring,1100,34,Cooking-time,0,1,0,100
209046-30102013,Spring,1100,35,Cooking-time,0,1,0,100
209047-30102013,Spring,1100,36,Cooking-time,0,1,0,100
209048-30102013,Spring,1100,37,Cooking-time,0,1,0,100
209049-30102013,Spring,1100,38,Cooking-time,0,1,0,100
209050-30102013,Spring,1100,39,Cooking-time,0,1,0,100
209051-30102013,Spring,1100,40,Cooking-time,0,1,0,100
209052-30102013,Spring,1100,41,Cooking-time,0,1,0,100
209053-30102013,Spring,1100,42,Office Hours,0,1,0,100
209054-30102013,Spring,1100,43,Office Hours,0,1,0,100
209064-30102013,Spring,1100,44,Office Hours,0,1,0,100
209067-30102013,Spring,1100,45,Office Hours,0,1,0,100
209536-31102013,Spring,6900,4,Office Hours,0,2,0,100
209564-31102013,Spring,1900,4,Cooking-time,0,1,0,100
209565-31102013,Spring,1900,5,Cooking-time,0,1,0,100
209566-31102013,Spring,1900,6,Cooking-time,0,1,0,100
209567-31102013,Spring,1900,7,Cooking-time,0,1,0,100
209568-31102013,Spring,1900,8,Cooking-time,0,1,0,100
209569-31102013,Spring,1900,9,Cooking-time,0,1,0,100
209570-31102013,Spring,1900,10,Cooking-time,0,1,0,100
209608-31102013,Spring,6900,6,Cooking-time,0,3,0,100
209615-31102013,Spring,6900,8,Cooking-time,0,1,0,100
210965-02112013,Spring,6120,1,Office Hours,0,1,0,100
212178-03112013,Spring,6990,6,Cooking-time,0,1,0,100
217456-09112013,Spring,7110,1,Night-time,0,1,0,100
222679-16112013,Spring,1200,0,Night-time,0,1,0,100
224753-19112013,Spring,7110,1,Office Hours,0,2,0,100
232472-03122013,Summer,6290,0,Office Hours,0,1,0,100
234780-06122013,Summer,1200,1,Night-time,0,1,0,100
235343-07122013,Summer,1200,2,Cooking-time,0,1,0,100
235854-08122013,Summer,1200,3,Cooking-time,0,1,0,100
236069-08122013,Summer,1200,4,Cooking-time,0,1,0,100
236726-09122013,Summer,1200,5,Cooking-time,0,1,0,100
236786-09122013,Summer,1200,6,Night-time,0,1,0,100
237520-10122013,Summer,6990,5,Cooking-time,0,4,0,100
237821-11122013,Summer,6990,6,Office Hours,0,1,0,100
237822-11122013,Summer,6990,7,Office Hours,0,1,0,100
237823-11122013,Summer,6990,8,Office Hours,0,2,0,100
242627-19122013,Summer,6990,4,Night-time,0,5,0,100
246616-24122013,Summer,1200,0,Night-time,0,3,0,100
009964-16012014,Summer,6210,0,Office Hours,0,1,0,100
031006-15022014,Summer,7110,0,Night-time,0,3,0,100
032701-17022014,Summer,7110,1,Office Hours,0,2,0,100
034196-20022014,Summer,6900,7,Night-time,0,1,0,100
034641-20022014,Summer,6900,9,Night-time,0,1,0,100
035151-21022014,Summer,6900,10,Cooking-time,0,1,0,100
037114-25022014,Summer,2270,0,Office Hours,0,2,0,100
037290-26022014,Summer,6210,0,Night-time,0,1,0,100
038323-27022014,Summer,7110,1,Cooking-time,0,1,0,100
038821-28022014,Summer,6200,3,Cooking-time,0,1,0,100
