incident_number,alarm_type,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
003327-05012013,6900,1,Night-time,house,0,11,0,100
003673-05012013,6990,1,Office Hours,restaurant,0,3,0,100
004383-06012013,6990,2,Cooking-time,restaurant,0,1,0,100
004839-06012013,1100,1,Cooking-time,rest_home,0,7,0,100
005232-07012013,1120,0,Office Hours,hospital,0,3,0,100
006861-08012013,6900,3,Office Hours,school,0,8,0,100
008018-09012013,6900,4,Night-time,school,0,2,0,100
008337-09012013,6900,4,Cooking-time,rest_home,0,1,0,100
008706-09012013,6900,5,Cooking-time,rest_home,0,2,0,100
008835-09012013,6900,6,Cooking-time,rest_home,0,1,0,100
009098-10012013,6900,2,Night-time,house,0,1,0,100
010585-11012013,6110,1,Cooking-time,house,0,1,0,100
010988-11012013,1900,2,Cooking-time,others,0,3,0,100
011268-12012013,6100,3,Night-time,hospital,0,8,0,100
013696-14012013,1100,5,Night-time,hotel,0,1,0,100
013764-14012013,1100,6,Cooking-time,hotel,0,1,0,100
013782-14012013,1100,7,Cooking-time,hotel,0,1,0,100
014862-15012013,1200,0,Cooking-time,others,0,8,0,100
015121-16012013,6990,3,Cooking-time,hotel,0,10,0,100
015150-16012013,6990,4,Cooking-time,hotel,0,4,0,100
015166-16012013,6900,2,Cooking-time,tansport,0,4,0,100
015210-16012013,1170,0,Office Hours,industry_facility,0,2,0,100
015529-16012013,6110,1,Cooking-time,hotel,0,4,0,100
017402-18012013,6100,3,Cooking-time,apartment,0,5,0,100
017474-18012013,6110,4,Cooking-time,apartment,0,1,0,100
019108-19012013,6200,1,Cooking-time,tansport,0,1,0,100
019932-20012013,1120,0,Office Hours,apartment,0,3,0,100
021862-23012013,0,0,Night-time,rest_home,0,2,0,100
021875-23012013,1100,1,Night-time,industry_facility,0,1,0,100
023637-25012013,6200,2,Cooking-time,school,0,4,0,100
024385-26012013,6900,4,Office Hours,apartment,0,3,0,100
025864-27012013,1100,1,Office Hours,hotel,0,3,0,100
026116-27012013,6900,2,Night-time,hotel,0,11,0,100
026282-28012013,6990,5,Night-time,others,0,4,0,100
026598-28012013,6990,7,Cooking-time,others,0,3,0,100
026631-28012013,1100,2,Office Hours,hotel,0,2,0,100
026751-28012013,1100,2,Office Hours,apartment,0,2,0,100
026828-28012013,1100,3,Cooking-time,apartment,0,2,0,100
026854-28012013,1100,4,Cooking-time,apartment,0,2,0,100
026928-28012013,6110,3,Cooking-time,others,0,5,0,100
026943-28012013,1100,5,Cooking-time,apartment,0,2,0,100
027075-28012013,6110,4,Night-time,others,0,2,0,100
027209-29012013,6990,8,Night-time,others,0,4,0,100
027216-29012013,6990,9,Night-time,others,0,2,0,100
027344-29012013,6100,3,Night-time,school,0,2,0,100
027349-29012013,6110,5,Night-time,others,0,1,0,100
027365-29012013,1100,1,Night-time,hospital,0,4,0,100
027414-29012013,6110,6,Night-time,others,0,1,0,100
027432-29012013,6900,2,Cooking-time,house,0,4,0,100
027507-29012013,6900,3,Cooking-time,house,0,2,0,100
027804-29012013,6200,2,Cooking-time,hotel,0,2,0,100
028066-29012013,6900,2,Night-time,restaurant,0,1,0,100
028093-30012013,6200,2,Night-time,shopping_mall,0,10,0,100
028617-31012013,6110,1,Night-time,apartment,0,10,0,100
028645-31012013,0,0,Night-time,school,0,4,0,100
030071-02022013,6110,4,Office Hours,others,0,1,0,100
030247-02022013,6990,5,Office Hours,apartment,0,2,0,100
030431-02022013,6990,7,Night-time,apartment,0,1,0,100
030460-03022013,6990,8,Night-time,apartment,0,1,0,100
030596-03022013,6900,2,Office Hours,industry_facility,0,4,0,100
032213-06022013,1100,1,Cooking-time,tansport,0,4,0,100
032291-06022013,6110,1,Office Hours,hospital,0,2,0,100
034632-10022013,6200,1,Office Hours,hotel,0,8,0,100
035262-11022013,6200,3,Office Hours,hotel,0,1,0,100
035613-12022013,6100,3,Night-time,industry_facility,0,2,0,100
035964-12022013,6110,0,Office Hours,restaurant,0,1,0,100
036749-14022013,6200,2,Night-time,office,0,2,0,100
036849-14022013,1120,0,Cooking-time,industry_facility,0,13,0,100
038318-17022013,1100,1,Night-time,rest_home,0,3,0,100
038900-18022013,6990,4,Office Hours,shopping_mall,0,3,0,100
040419-21022013,6100,2,Night-time,office,0,5,0,100
040800-21022013,6900,2,Office Hours,tansport,0,6,0,100
040834-21022013,6900,3,Office Hours,tansport,0,2,0,100
040956-21022013,6900,4,Cooking-time,tansport,0,1,0,100
041081-22022013,6900,5,Night-time,tansport,0,1,0,100
041085-22022013,6900,6,Night-time,tansport,0,1,0,100
041680-22022013,6900,7,Cooking-time,tansport,0,1,0,100
042393-23022013,6900,4,Office Hours,rest_home,0,1,0,100
042480-23022013,6100,2,Office Hours,school,0,18,0,100
042696-23022013,6200,2,Cooking-time,public_facility,0,4,0,100
043696-24022013,6110,4,Cooking-time,others,0,2,0,100
043898-24022013,6110,5,Office Hours,school,0,3,0,100
044057-24022013,6900,2,Cooking-time,restaurant,0,3,0,100
044087-24022013,6900,3,Cooking-time,restaurant,0,1,0,100
044171-25022013,6110,6,Night-time,school,0,1,0,100
044405-25022013,6900,3,Office Hours,hotel,0,2,0,100
044456-25022013,6100,5,Cooking-time,hospital,0,2,0,100
045430-27022013,6100,3,Night-time,public_facility,0,3,0,100
046402-28022013,6900,4,Cooking-time,hospital,0,5,0,100
046419-28022013,6990,3,Cooking-time,office,0,4,0,100
047380-02032013,6200,1,Office Hours,rest_home,0,17,0,100
047513-02032013,6990,1,Cooking-time,restaurant,0,5,0,100
047658-03032013,6990,3,Night-time,hotel,0,4,0,100
048662-05032013,6990,3,Night-time,hospital,0,3,0,100
049002-05032013,6200,3,Cooking-time,industry_facility,0,1,0,100
049154-06032013,1100,2,Night-time,hospital,0,2,0,100
049181-06032013,1100,3,Night-time,hospital,0,1,0,100
049671-07032013,6200,2,Night-time,hotel,0,1,0,100
049969-07032013,1120,0,Office Hours,office,0,14,0,100
052187-11032013,1200,0,Office Hours,apartment,0,2,0,100
053752-14032013,1100,1,Office Hours,house,0,1,0,100
053948-14032013,1900,0,Office Hours,apartment,0,6,0,100
054130-15032013,6990,4,Night-time,others,0,14,0,100
054702-16032013,6990,6,Night-time,others,0,1,0,100
054713-16032013,6990,7,Night-time,others,0,2,0,100
054928-16032013,6990,10,Cooking-time,others,0,1,0,100
054988-16032013,6990,11,Cooking-time,others,0,1,0,100
055001-16032013,6990,12,Office Hours,others,0,1,0,100
055016-16032013,6990,13,Office Hours,others,0,1,0,100
055058-16032013,6990,14,Office Hours,others,0,1,0,100
055073-16032013,6990,15,Office Hours,others,0,1,0,100
056431-19032013,1200,0,Night-time,public_facility,0,1,0,100
056616-19032013,6110,4,Cooking-time,school,0,3,0,100
057285-20032013,6110,6,Office Hours,school,0,2,0,100
059125-23032013,6110,4,Office Hours,school,0,2,0,100
059181-23032013,6110,5,Cooking-time,school,0,2,0,100
059360-23032013,6110,7,Office Hours,school,0,2,0,100
059625-24032013,6110,8,Night-time,others,0,1,0,100
063896-30032013,6210,0,Cooking-time,office,0,7,0,100
063962-30032013,6100,4,Office Hours,others,0,3,0,100
064267-31032013,6210,1,Night-time,office,0,1,0,100
064340-31032013,6210,2,Night-time,office,0,1,0,100
064759-31032013,6900,3,Night-time,hotel,0,3,0,100
064806-01042013,6900,4,Night-time,hotel,0,1,0,100
064850-01042013,6900,5,Night-time,hotel,0,1,0,100
066157-03042013,6110,2,Cooking-time,office,0,4,0,100
066581-04042013,1100,2,Cooking-time,school,0,7,0,100
066970-04042013,1100,3,Cooking-time,school,0,3,0,100
066998-04042013,1100,4,Cooking-time,school,0,1,0,100
067018-04042013,1100,5,Night-time,school,0,1,0,100
067048-05042013,1100,6,Night-time,school,0,1,0,100
067362-05042013,1100,7,Office Hours,school,0,1,0,100
067780-06042013,1100,8,Office Hours,school,0,1,0,100
069245-09042013,6210,0,Night-time,office,0,6,0,100
069314-09042013,6210,1,Cooking-time,office,0,2,0,100
069342-09042013,6900,4,Office Hours,others,0,8,0,100
069377-09042013,6200,0,Office Hours,restaurant,0,2,0,100
069958-10042013,1100,2,Cooking-time,hospital,0,1,0,100
070076-10042013,6200,2,Office Hours,office,0,1,0,100
072219-14042013,6900,5,Night-time,school,0,1,0,100
072459-14042013,6100,2,Office Hours,shopping_mall,0,10,0,100
072657-14042013,6100,3,Cooking-time,shopping_mall,0,5,0,100
072666-14042013,6100,4,Cooking-time,shopping_mall,0,1,0,100
074096-17042013,0,0,Office Hours,hotel,0,2,0,100
074592-18042013,1170,0,Night-time,others,0,2,0,100
075612-19042013,6110,1,Office Hours,public_facility,0,10,0,100
075831-19042013,6200,3,Night-time,public_facility,0,1,0,100
077761-23042013,6900,2,Office Hours,public_facility,0,6,0,100
078958-25042013,6200,3,Office Hours,school,0,1,0,100
080646-28042013,6110,1,Night-time,industry_facility,0,6,0,100
081856-29042013,6110,2,Cooking-time,industry_facility,0,2,0,100
082320-30042013,6110,2,Office Hours,rest_home,0,1,0,100
082588-01052013,6110,3,Night-time,rest_home,0,1,0,100
083043-01052013,7110,0,Night-time,public_facility,0,10,0,100
086046-07052013,6990,3,Night-time,apartment,0,6,0,100
086380-07052013,6990,3,Office Hours,hospital,0,6,0,100
087607-09052013,6100,2,Cooking-time,tansport,0,3,0,100
088423-10052013,6900,2,Night-time,tansport,0,5,0,100
088722-11052013,6210,0,Office Hours,office,0,6,0,100
089902-12052013,6990,1,Night-time,tansport,0,10,0,100
094407-20052013,6900,6,Cooking-time,apartment,0,3,0,100
095050-21052013,6200,4,Office Hours,shopping_mall,0,1,0,100
095754-22052013,6100,1,Office Hours,restaurant,0,2,0,100
096086-22052013,6900,4,Cooking-time,apartment,0,4,0,100
096688-24052013,6900,6,Night-time,apartment,0,1,0,100
096875-24052013,6200,3,Office Hours,shopping_mall,0,2,0,100
096952-24052013,6900,7,Cooking-time,apartment,0,2,0,100
097031-24052013,6990,2,Office Hours,school,0,5,0,100
097298-25052013,6900,8,Night-time,apartment,0,1,0,100
099143-28052013,6990,1,Cooking-time,tansport,0,7,0,100
099605-29052013,6900,1,Office Hours,house,0,6,0,100
100689-31052013,6990,1,Office Hours,tansport,0,5,0,100
100692-31052013,6990,2,Office Hours,tansport,0,3,0,100
101012-31052013,6900,3,Night-time,office,0,3,0,100
101032-01062013,6900,4,Night-time,office,0,2,0,100
101194-01062013,6110,3,Office Hours,others,0,1,0,100
101974-03062013,6990,4,Cooking-time,shopping_mall,0,3,0,100
102451-04062013,1200,1,Cooking-time,public_facility,0,1,0,100
102762-04062013,1200,2,Cooking-time,public_facility,0,1,0,100
107714-14062013,6990,3,Night-time,school,0,2,0,100
108205-15062013,1100,3,Night-time,apartment,0,3,0,100
108226-15062013,1100,4,Night-time,apartment,0,3,0,100
109962-18062013,6200,2,Office Hours,hotel,0,2,0,100
110364-19062013,6200,3,Cooking-time,hotel,0,1,0,100
111672-21062013,6990,3,Night-time,industry_facility,0,1,0,100
111802-22062013,1100,5,Night-time,apartment,0,2,0,100
112816-23062013,6990,4,Cooking-time,office,0,4,0,100
112924-23062013,7110,1,Night-time,public_facility,0,2,0,100
113008-24062013,6990,5,Night-time,office,0,2,0,100
113334-24062013,6120,0,Office Hours,office,0,1,0,100
113564-25062013,6100,1,Night-time,restaurant,0,4,0,100
115124-27062013,6900,3,Night-time,tansport,0,3,0,100
116200-30062013,1100,4,Night-time,school,0,1,0,100
117201-02072013,1200,0,Night-time,others,0,10,0,100
118045-03072013,6990,6,Office Hours,others,0,1,0,100
118101-03072013,6990,7,Office Hours,others,0,1,0,100
118473-04072013,6990,9,Cooking-time,others,0,1,0,100
121869-10072013,8990,0,Cooking-time,others,0,1,0,100
122234-11072013,1100,4,Night-time,office,0,1,0,100
123496-13072013,6200,2,Cooking-time,apartment,0,7,0,100
126420-18072013,6110,3,Night-time,others,0,2,0,100
127325-20072013,1100,3,Cooking-time,others,0,5,0,100
127967-21072013,1900,0,Night-time,shopping_mall,0,2,0,100
128512-23072013,6200,1,Night-time,house,0,2,0,100
132959-30072013,6900,2,Night-time,industry_facility,0,10,0,100
144984-19082013,6990,2,Night-time,house,0,2,0,100
147571-23082013,6990,4,Night-time,hospital,0,2,0,100
147889-23082013,6990,5,Cooking-time,hospital,0,3,0,100
152761-30082013,6110,2,Night-time,shopping_mall,0,1,0,100
156073-03092013,1170,0,Office Hours,others,0,2,0,100
158707-07092013,1100,1,Night-time,restaurant,0,2,0,100
165023-13092013,1120,0,Cooking-time,office,0,14,0,100
168101-19092013,6900,3,Cooking-time,shopping_mall,0,6,0,100
168692-20092013,6990,2,Cooking-time,tansport,0,1,0,100
172341-25092013,6200,3,Night-time,apartment,0,1,0,100
172401-25092013,6200,4,Cooking-time,apartment,0,1,0,100
174879-27092013,1200,0,Cooking-time,shopping_mall,0,2,0,100
180067-02102013,1100,4,Cooking-time,office,0,1,0,100
186135-10102013,1100,3,Office Hours,others,0,3,0,100
192616-16102013,6900,3,Cooking-time,public_facility,0,7,0,100
199063-20102013,6200,2,Night-time,public_facility,0,1,0,100
199300-20102013,6200,2,Cooking-time,rest_home,0,2,0,100
201483-22102013,6100,1,Office Hours,house,0,5,0,100
203013-23102013,6990,6,Office Hours,hospital,0,1,0,100
203398-24102013,6990,7,Night-time,hospital,0,1,0,100
208469-29102013,6200,2,Office Hours,industry_facility,0,1,0,100
209011-30102013,1100,3,Cooking-time,public_facility,0,1,0,100
209013-30102013,1100,4,Cooking-time,public_facility,0,1,0,100
209014-30102013,1100,5,Cooking-time,public_facility,0,1,0,100
209016-30102013,1100,6,Cooking-time,public_facility,0,1,0,100
209018-30102013,1100,7,Cooking-time,public_facility,0,1,0,100
209019-30102013,1100,8,Cooking-time,public_facility,0,1,0,100
209020-30102013,1100,9,Cooking-time,public_facility,0,1,0,100
209021-30102013,1100,10,Cooking-time,public_facility,0,1,0,100
209022-30102013,1100,11,Cooking-time,public_facility,0,1,0,100
209023-30102013,1100,12,Cooking-time,public_facility,0,1,0,100
209024-30102013,1100,13,Cooking-time,public_facility,0,1,0,100
209025-30102013,1100,14,Cooking-time,public_facility,0,1,0,100
209026-30102013,1100,15,Cooking-time,public_facility,0,1,0,100
209027-30102013,1100,16,Cooking-time,public_facility,0,1,0,100
209028-30102013,1100,17,Cooking-time,public_facility,0,1,0,100
209029-30102013,1100,18,Cooking-time,public_facility,0,1,0,100
209030-30102013,1100,19,Cooking-time,public_facility,0,1,0,100
209031-30102013,1100,20,Cooking-time,public_facility,0,1,0,100
209032-30102013,1100,21,Cooking-time,public_facility,0,1,0,100
209033-30102013,1100,22,Cooking-time,public_facility,0,1,0,100
209034-30102013,1100,23,Cooking-time,public_facility,0,1,0,100
209035-30102013,1100,24,Cooking-time,public_facility,0,1,0,100
209036-30102013,1100,25,Cooking-time,public_facility,0,1,0,100
209037-30102013,1100,26,Cooking-time,public_facility,0,1,0,100
209038-30102013,1100,27,Cooking-time,public_facility,0,1,0,100
209039-30102013,1100,28,Cooking-time,public_facility,0,1,0,100
209040-30102013,1100,29,Cooking-time,public_facility,0,1,0,100
209041-30102013,1100,30,Cooking-time,public_facility,0,1,0,100
209042-30102013,1100,31,Cooking-time,public_facility,0,1,0,100
209043-30102013,1100,32,Cooking-time,public_facility,0,1,0,100
209044-30102013,1100,33,Cooking-time,public_facility,0,1,0,100
209045-30102013,1100,34,Cooking-time,public_facility,0,1,0,100
209046-30102013,1100,35,Cooking-time,public_facility,0,1,0,100
209047-30102013,1100,36,Cooking-time,public_facility,0,1,0,100
209048-30102013,1100,37,Cooking-time,public_facility,0,1,0,100
209049-30102013,1100,38,Cooking-time,public_facility,0,1,0,100
209050-30102013,1100,39,Cooking-time,public_facility,0,1,0,100
209051-30102013,1100,40,Cooking-time,public_facility,0,1,0,100
209052-30102013,1100,41,Cooking-time,public_facility,0,1,0,100
209053-30102013,1100,42,Office Hours,public_facility,0,1,0,100
209054-30102013,1100,43,Office Hours,public_facility,0,1,0,100
209064-30102013,1100,44,Office Hours,public_facility,0,1,0,100
209067-30102013,1100,45,Office Hours,public_facility,0,1,0,100
209563-31102013,1900,3,Cooking-time,others,0,1,0,100
209564-31102013,1900,4,Cooking-time,others,0,1,0,100
209565-31102013,1900,5,Cooking-time,others,0,1,0,100
209566-31102013,1900,6,Cooking-time,others,0,1,0,100
209567-31102013,1900,7,Cooking-time,others,0,1,0,100
209568-31102013,1900,8,Cooking-time,others,0,1,0,100
209569-31102013,1900,9,Cooking-time,others,0,1,0,100
209570-31102013,1900,10,Cooking-time,others,0,1,0,100
209606-31102013,6900,5,Cooking-time,others,0,8,0,100
209608-31102013,6900,6,Cooking-time,others,0,4,0,100
210200-01112013,6900,4,Office Hours,hospital,0,2,0,100
210965-02112013,6120,1,Office Hours,others,0,1,0,100
211330-02112013,1100,3,Office Hours,apartment,0,1,0,100
215985-07112013,6110,1,Office Hours,industry_facility,0,5,0,100
216887-08112013,6900,2,Office Hours,office,0,4,0,100
217065-08112013,6100,3,Cooking-time,office,0,2,0,100
220396-12112013,1120,0,Office Hours,public_facility,0,1,0,100
224159-18112013,6100,2,Office Hours,hotel,0,4,0,100
224428-19112013,6100,3,Night-time,hotel,0,2,0,100
224753-19112013,7110,1,Office Hours,public_facility,0,4,0,100
229066-27112013,6100,3,Cooking-time,public_facility,0,3,0,100
231794-02122013,6990,3,Office Hours,public_facility,0,2,0,100
232548-03122013,6990,3,Office Hours,hotel,0,2,0,100
232699-03122013,1100,2,Night-time,tansport,0,3,0,100
232710-03122013,6110,2,Night-time,rest_home,0,2,0,100
234686-06122013,1200,0,Cooking-time,hotel,0,4,0,100
234780-06122013,1200,1,Night-time,hotel,0,4,0,100
235343-07122013,1200,2,Cooking-time,hotel,0,1,0,100
235854-08122013,1200,3,Cooking-time,hotel,0,1,0,100
236069-08122013,1200,4,Cooking-time,hotel,0,1,0,100
236159-09122013,6100,2,Night-time,hotel,0,7,0,100
236726-09122013,1200,5,Cooking-time,hotel,0,1,0,100
236786-09122013,1200,6,Night-time,hotel,0,1,0,100
237821-11122013,6990,6,Office Hours,apartment,0,2,0,100
237822-11122013,6990,7,Office Hours,apartment,0,2,0,100
237823-11122013,6990,8,Office Hours,apartment,0,1,0,100
243924-20122013,0,0,Office Hours,school,0,1,0,100
247567-25122013,6100,3,Office Hours,shopping_mall,0,2,0,100
002112-03012014,6110,1,Night-time,hospital,0,3,0,100
003453-06012014,6100,5,Night-time,hospital,0,1,0,100
004629-07012014,6990,3,Office Hours,office,0,2,0,100
006032-10012014,1100,1,Night-time,tansport,0,1,0,100
006193-10012014,1100,2,Cooking-time,tansport,0,1,0,100
008699-14012014,6110,2,Office Hours,industry_facility,0,2,0,100
009261-15012014,6110,3,Cooking-time,industry_facility,0,2,0,100
009785-16012014,6100,3,Night-time,apartment,0,2,0,100
009812-16012014,6100,4,Night-time,apartment,0,2,0,100
022421-02022014,6200,2,Office Hours,apartment,0,1,0,100
028266-11022014,6990,2,Night-time,tansport,0,2,0,100
034196-20022014,6900,7,Night-time,others,0,3,0,100
034641-20022014,6900,9,Night-time,others,0,1,0,100
035151-21022014,6900,10,Cooking-time,others,0,1,0,100
036305-24022014,1120,1,Cooking-time,office,0,3,0,100
036693-24022014,1120,1,Cooking-time,apartment,0,1,0,100
037114-25022014,2270,0,Office Hours,others,0,1,0,100
038323-27022014,7110,1,Cooking-time,others,0,1,0,100
038821-28022014,6200,3,Cooking-time,others,0,2,0,100
040190-03032014,6210,1,Office Hours,office,0,1,0,100
040676-04032014,6990,5,Office Hours,others,0,2,0,100
043487-09032014,1120,0,Night-time,apartment,0,1,0,100
045242-12032014,6990,3,Cooking-time,tansport,0,1,0,100
045647-13032014,6200,2,Night-time,apartment,0,1,0,100
046229-14032014,6100,4,Office Hours,rest_home,0,2,0,100
052991-25032014,6900,1,Office Hours,restaurant,0,3,0,100
053661-26032014,6990,3,Cooking-time,house,0,1,0,100
053866-26032014,6900,3,Cooking-time,rest_home,0,3,0,100
062375-12042014,1110,0,Night-time,others,0,1,0,100
062897-13042014,1120,0,Night-time,shopping_mall,0,1,0,100
063942-15042014,6900,5,Office Hours,apartment,0,1,0,100
064479-16042014,6100,3,Office Hours,public_facility,0,3,0,100
064669-16042014,6100,4,Cooking-time,public_facility,0,3,0,100
066263-19042014,6100,2,Office Hours,office,0,2,0,100
067583-22042014,6200,4,Night-time,others,0,2,0,100
068080-23042014,6200,5,Night-time,others,0,1,0,100
068559-23042014,1900,1,Cooking-time,apartment,0,1,0,100
073908-04052014,1100,3,Night-time,shopping_mall,0,2,0,100
074339-05052014,1100,4,Night-time,shopping_mall,0,2,0,100
074369-05052014,1100,5,Night-time,shopping_mall,0,1,0,100
074689-05052014,1100,6,Office Hours,shopping_mall,0,1,0,100
074858-05052014,6900,4,Cooking-time,public_facility,0,3,0,100
074953-06052014,6200,3,Night-time,rest_home,0,1,0,100
074962-06052014,1100,7,Night-time,shopping_mall,0,1,0,100
074972-06052014,6900,5,Night-time,public_facility,0,1,0,100
074995-06052014,6900,6,Cooking-time,public_facility,0,1,0,100
075007-06052014,6900,7,Cooking-time,public_facility,0,1,0,100
075421-06052014,1100,8,Night-time,shopping_mall,0,1,0,100
075447-07052014,1100,9,Night-time,shopping_mall,0,1,0,100
075454-07052014,1100,10,Night-time,shopping_mall,0,1,0,100
075565-07052014,1100,11,Office Hours,shopping_mall,0,1,0,100
080964-17052014,1100,6,Night-time,apartment,0,1,0,100
080982-17052014,1100,7,Night-time,apartment,0,1,0,100
080995-17052014,1100,8,Night-time,apartment,0,1,0,100
090425-02062014,1200,0,Office Hours,hotel,0,1,0,100
099374-21062014,1100,3,Office Hours,shopping_mall,0,1,0,100
101062-24062014,6110,2,Office Hours,office,0,1,0,100
105123-01072014,6990,3,Night-time,house,0,1,0,100
105216-01072014,2270,0,Cooking-time,others,0,2,0,100
105257-01072014,6200,3,Office Hours,public_facility,0,1,0,100
108425-06072014,6990,3,Cooking-time,public_facility,0,5,0,100
108550-06072014,6990,4,Office Hours,public_facility,0,1,0,100
109629-08072014,6900,8,Office Hours,apartment,0,1,0,100
115038-16072014,1200,0,Night-time,hotel,0,2,0,100
115841-18072014,1130,0,Cooking-time,shopping_mall,0,1,0,100
117523-21072014,6900,4,Office Hours,hotel,0,1,0,100
118220-22072014,6200,1,Office Hours,tansport,0,2,0,100
118229-22072014,6200,2,Office Hours,tansport,0,1,0,100
119853-25072014,6900,6,Cooking-time,school,0,1,0,100
120042-25072014,6900,7,Office Hours,others,0,1,0,100
122146-29072014,6990,8,Cooking-time,others,0,1,0,100
122314-29072014,1900,1,Office Hours,others,0,2,0,100
125284-02082014,1100,3,Office Hours,hotel,0,1,0,100
125320-02082014,1100,4,Cooking-time,hotel,0,1,0,100
136194-18082014,6900,8,Night-time,others,0,1,0,100
137788-22082014,6100,4,Night-time,shopping_mall,0,1,0,100
139016-24082014,6990,2,Office Hours,house,0,1,0,100
140311-26082014,6200,2,Night-time,school,0,1,0,100
144514-04092014,6100,4,Cooking-time,apartment,0,1,0,100
146772-09092014,6100,2,Cooking-time,restaurant,0,1,0,100
146835-09092014,1100,3,Cooking-time,office,0,2,0,100
147262-10092014,1100,4,Night-time,others,0,2,0,100
147270-10092014,1100,5,Night-time,others,0,1,0,100
147275-10092014,1100,6,Night-time,others,0,1,0,100
147280-10092014,1100,7,Night-time,others,0,1,0,100
147436-10092014,1200,1,Office Hours,hotel,0,1,0,100
151613-18092014,6200,1,Night-time,tansport,0,1,0,100
157817-28092014,6900,5,Cooking-time,hospital,0,2,0,100
158736-30092014,1100,3,Night-time,school,0,1,0,100
170601-15102014,6900,6,Office Hours,others,0,1,0,100
170676-15102014,1110,0,Cooking-time,others,0,1,0,100
170973-16102014,1110,1,Cooking-time,others,0,1,0,100
171530-17102014,1100,4,Office Hours,others,0,3,0,100
178439-27102014,0,0,Night-time,office,0,1,0,100
180236-30102014,1100,1,Office Hours,tansport,0,2,0,100
180430-30102014,1100,3,Night-time,tansport,0,1,0,100
186496-06112014,6100,4,Cooking-time,hotel,0,1,0,100
186504-06112014,6100,5,Cooking-time,hotel,0,1,0,100
186509-06112014,6100,6,Cooking-time,hotel,0,1,0,100
186698-07112014,1200,0,Cooking-time,office,0,4,0,100
187634-08112014,2350,0,Cooking-time,others,0,1,0,100
188108-09112014,6200,3,Office Hours,apartment,0,1,0,100
188140-09112014,6200,4,Office Hours,apartment,0,1,0,100
188291-09112014,6200,5,Cooking-time,apartment,0,1,0,100
188498-09112014,6200,6,Cooking-time,apartment,0,1,0,100
194493-18112014,6100,3,Office Hours,industry_facility,0,1,0,100
198763-23112014,7110,1,Office Hours,others,0,1,0,100
204113-30112014,6900,4,Cooking-time,shopping_mall,0,1,0,100
204117-30112014,6900,5,Cooking-time,shopping_mall,0,1,0,100
204121-30112014,6900,6,Cooking-time,shopping_mall,0,1,0,100
205828-03122014,1900,0,Cooking-time,school,0,1,0,100
208112-06122014,6200,2,Night-time,rest_home,0,1,0,100
208213-06122014,6100,5,Cooking-time,others,0,1,0,100
208284-06122014,6990,4,Office Hours,office,0,2,0,100
209232-07122014,6990,5,Office Hours,shopping_mall,0,1,0,100
209535-07122014,6990,6,Cooking-time,shopping_mall,0,1,0,100
209704-07122014,6990,7,Night-time,shopping_mall,0,1,0,100
209905-08122014,6990,8,Office Hours,shopping_mall,0,1,0,100
211041-10122014,6100,2,Cooking-time,house,0,2,0,100
211074-10122014,6100,5,Office Hours,others,0,1,0,100
211367-10122014,6100,6,Cooking-time,others,0,1,0,100
213377-14122014,6990,5,Office Hours,hotel,0,1,0,100
213596-14122014,4310,0,Office Hours,others,0,1,0,100
218190-21122014,6900,5,Office Hours,others,0,1,0,100
218379-22122014,1100,2,Night-time,rest_home,0,1,0,100
223401-30122014,2270,0,Office Hours,office,0,2,0,100
013317-23012015,6990,5,Cooking-time,office,0,1,0,100
015301-27012015,2270,0,Cooking-time,office,0,4,0,100
016380-29012015,6900,2,Office Hours,restaurant,0,2,0,100
021145-07022015,6100,6,Cooking-time,school,0,4,0,100
022409-09022015,1100,5,Cooking-time,others,0,1,0,100
022556-10022015,6900,3,Cooking-time,tansport,0,1,0,100
025925-16022015,6100,3,Office Hours,school,0,6,0,100
028260-20022015,6100,4,Office Hours,school,0,3,0,100
028675-21022015,6100,6,Office Hours,school,0,2,0,100
028784-21022015,6100,7,Cooking-time,school,0,1,0,100
028954-21022015,6100,8,Cooking-time,school,0,3,0,100
029430-22022015,6100,9,Cooking-time,school,0,3,0,100
030365-24022015,6900,3,Office Hours,industry_facility,0,1,0,100
031722-27022015,6100,7,Office Hours,school,0,2,0,100
032817-01032015,6110,2,Night-time,apartment,0,1,0,100
032879-01032015,6110,3,Night-time,apartment,0,1,0,100
032992-01032015,6900,3,Office Hours,public_facility,0,1,0,100
033018-01032015,6100,10,Cooking-time,school,0,1,0,100
033231-01032015,6900,5,Office Hours,public_facility,0,1,0,100
033292-01032015,6990,4,Office Hours,hospital,0,1,0,100
033329-01032015,6900,6,Office Hours,public_facility,0,1,0,100
033344-01032015,6900,7,Office Hours,public_facility,0,1,0,100
033458-01032015,6100,11,Cooking-time,school,0,1,0,100
034120-03032015,6900,5,Cooking-time,public_facility,0,1,0,100
034429-03032015,6990,6,Cooking-time,office,0,1,0,100
034682-04032015,6990,7,Cooking-time,office,0,1,0,100
035162-05032015,6990,8,Night-time,office,0,1,0,100
035778-06032015,6990,1,Night-time,restaurant,0,1,0,100
036854-07032015,1100,5,Office Hours,others,0,1,0,100
037027-08032015,6110,3,Night-time,office,0,1,0,100
038734-10032015,1100,1,Cooking-time,restaurant,0,1,0,100
046509-24032015,2350,0,Night-time,others,0,1,0,100
050931-31032015,6100,5,Office Hours,school,0,1,0,100
