incident_number,alarm_type,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
611828-03072012,6200,4,Cooking-time,shopping_mall,0,1,0,100
611912-03072012,6900,4,Night-time,apartment,0,6,0,100
611946-04072012,6100,3,Night-time,others,0,18,0,100
612022-04072012,6900,5,Cooking-time,apartment,0,7,0,100
612533-05072012,6100,4,Night-time,others,0,7,0,100
612591-05072012,6990,0,Night-time,house,0,48,0,100
612694-05072012,6110,3,Office Hours,school,0,4,0,100
613070-05072012,6990,2,Night-time,apartment,0,25,0,100
613265-06072012,6100,3,Office Hours,hospital,0,10,0,100
613591-07072012,6110,0,Night-time,shopping_mall,0,22,0,100
613761-07072012,7110,0,Office Hours,others,0,7,0,100
613957-07072012,6990,2,Office Hours,shopping_mall,0,25,0,100
614414-08072012,6990,1,Cooking-time,hospital,0,179,0,100
614644-08072012,1900,0,Cooking-time,shopping_mall,0,4,0,100
614882-09072012,6100,1,Office Hours,office,0,29,0,100
615138-09072012,6900,3,Cooking-time,office,0,5,0,100
615231-09072012,6900,2,Night-time,apartment,0,21,0,100
615322-10072012,6900,3,Night-time,others,0,24,0,100
615413-10072012,6900,3,Office Hours,apartment,0,4,0,100
615668-10072012,6100,1,Cooking-time,hotel,0,98,0,100
615681-10072012,6120,0,Cooking-time,office,0,2,0,100
615972-11072012,6110,2,Office Hours,others,0,6,0,100
616304-12072012,6990,2,Night-time,hotel,0,20,0,100
616364-12072012,6990,1,Cooking-time,house,0,19,0,100
616597-12072012,1100,1,Cooking-time,office,0,17,0,100
616653-12072012,6110,0,Cooking-time,shopping_mall,0,28,0,100
616677-12072012,1100,2,Night-time,office,0,10,0,100
616708-13072012,6900,1,Night-time,rest_home,0,83,0,100
616729-13072012,1100,3,Night-time,office,0,4,0,100
616747-13072012,6200,1,Night-time,industry_facility,0,4,0,100
616750-13072012,6110,1,Night-time,hotel,0,5,0,100
616766-13072012,1100,1,Night-time,shopping_mall,0,30,0,100
616870-13072012,1900,0,Office Hours,public_facility,0,5,0,100
616949-13072012,6200,1,Cooking-time,school,0,24,0,100
616956-13072012,6990,2,Cooking-time,industry_facility,0,6,0,100
617019-13072012,1100,4,Office Hours,office,0,1,0,100
617036-13072012,6100,1,Office Hours,rest_home,0,67,0,100
617136-13072012,6200,1,Cooking-time,apartment,0,63,0,100
617193-13072012,6100,1,Cooking-time,rest_home,0,114,0,100
617472-14072012,6110,3,Cooking-time,school,0,14,0,100
617531-14072012,6990,3,Cooking-time,others,0,47,0,100
617688-14072012,1100,1,Office Hours,public_facility,0,9,0,100
617744-14072012,1100,2,Office Hours,public_facility,0,2,0,100
617837-14072012,6100,1,Night-time,industry_facility,0,13,0,100
618411-16072012,6200,0,Night-time,office,0,54,0,100
618505-16072012,6200,0,Cooking-time,industry_facility,0,35,0,100
618730-16072012,6200,1,Office Hours,industry_facility,0,2,0,100
618960-17072012,6200,2,Night-time,industry_facility,0,2,0,100
618963-17072012,6200,1,Night-time,apartment,0,32,0,100
618980-17072012,6110,1,Night-time,public_facility,0,6,0,100
619240-17072012,6100,2,Office Hours,rest_home,0,12,0,100
619329-17072012,6990,3,Office Hours,apartment,0,10,0,100
619332-17072012,6990,4,Office Hours,apartment,0,5,0,100
619334-17072012,6990,5,Cooking-time,apartment,0,2,0,100
619336-17072012,6990,6,Cooking-time,apartment,0,2,0,100
619344-17072012,6990,7,Cooking-time,apartment,0,1,0,100
619378-17072012,1100,1,Cooking-time,shopping_mall,0,30,0,100
619610-18072012,6990,8,Cooking-time,apartment,0,1,0,100
620110-19072012,1100,0,Office Hours,hotel,0,34,0,100
620336-19072012,6990,2,Cooking-time,school,0,7,0,100
620418-19072012,6990,3,Cooking-time,school,0,2,0,100
620475-20072012,1100,1,Night-time,office,0,18,0,100
620889-20072012,1100,0,Cooking-time,restaurant,0,14,0,100
620945-20072012,6900,2,Cooking-time,hospital,0,46,0,100
621079-21072012,6200,1,Night-time,office,0,14,0,100
621302-21072012,6110,2,Office Hours,school,0,24,0,100
621628-22072012,1200,0,Night-time,apartment,0,1,0,100
621642-22072012,1200,1,Cooking-time,apartment,0,1,0,100
622349-23072012,6990,1,Office Hours,office,0,92,0,100
622375-23072012,1100,0,Office Hours,tansport,0,25,0,100
622533-24072012,1900,0,Night-time,others,0,26,0,100
622650-24072012,6110,0,Office Hours,shopping_mall,0,25,0,100
622656-24072012,6100,3,Office Hours,rest_home,0,2,0,100
622802-24072012,6990,2,Office Hours,office,0,16,0,100
623010-25072012,1100,1,Night-time,school,0,27,0,100
623059-25072012,6900,2,Cooking-time,rest_home,0,26,0,100
623214-25072012,1370,0,Cooking-time,others,0,1,0,100
624042-27072012,1120,1,Night-time,others,0,9,0,100
624151-27072012,1120,2,Cooking-time,others,0,1,0,100
624312-27072012,6200,0,Office Hours,house,0,19,0,100
624537-28072012,6990,2,Night-time,office,0,18,0,100
624540-28072012,6100,0,Night-time,house,0,56,0,100
624582-28072012,6990,3,Night-time,office,0,7,0,100
624621-28072012,6990,4,Night-time,office,0,2,0,100
624901-28072012,6200,1,Office Hours,shopping_mall,0,27,0,100
625161-29072012,6900,2,Night-time,office,0,5,0,100
625663-30072012,6200,1,Night-time,hotel,0,16,0,100
625668-30072012,0,0,Night-time,hospital,0,3,0,100
626267-31072012,1120,0,Night-time,hotel,0,4,0,100
626340-31072012,6100,1,Cooking-time,shopping_mall,0,77,0,100
626364-31072012,6110,0,Office Hours,industry_facility,0,35,0,100
626426-31072012,6990,3,Cooking-time,hospital,0,21,0,100
626544-31072012,6100,3,Office Hours,others,0,12,0,100
626716-31072012,6100,4,Cooking-time,others,0,7,0,100
626786-01082012,6100,5,Night-time,others,0,3,0,100
627055-01082012,1200,0,Office Hours,office,0,2,0,100
627197-01082012,1200,1,Cooking-time,office,0,1,0,100
627205-01082012,6110,1,Cooking-time,industry_facility,0,10,0,100
627266-01082012,1200,2,Cooking-time,office,0,1,0,100
627308-02082012,1200,3,Night-time,others,0,1,0,100
627325-02082012,6100,6,Night-time,others,0,2,0,100
627383-02082012,6100,0,Cooking-time,restaurant,0,30,0,100
627652-02082012,6100,7,Office Hours,others,0,1,0,100
627694-02082012,6990,3,Office Hours,shopping_mall,0,5,0,100
627812-02082012,1200,4,Cooking-time,office,0,1,0,100
627881-03082012,6990,2,Night-time,public_facility,0,18,0,100
627895-03082012,6100,8,Night-time,others,0,1,0,100
627919-03082012,6990,3,Night-time,public_facility,0,4,0,100
628745-04082012,6200,1,Office Hours,hospital,0,9,0,100
629238-04082012,6990,3,Cooking-time,shopping_mall,0,18,0,100
629438-05082012,6990,4,Night-time,shopping_mall,0,4,0,100
629467-05082012,6990,5,Cooking-time,shopping_mall,0,2,0,100
632051-09082012,6900,1,Night-time,public_facility,0,58,0,100
632694-09082012,6990,2,Cooking-time,office,0,21,0,100
632812-10082012,6200,1,Night-time,rest_home,0,13,0,100
632839-10082012,6990,5,Night-time,shopping_mall,0,1,0,100
633098-10082012,6110,1,Cooking-time,public_facility,0,33,0,100
634103-11082012,6900,2,Night-time,rest_home,0,12,0,100
634199-11082012,6100,2,Office Hours,apartment,0,13,0,100
634684-11082012,6900,1,Cooking-time,restaurant,0,11,0,100
634746-11082012,6990,0,Night-time,restaurant,0,27,0,100
634777-11082012,1100,2,Night-time,others,0,32,0,100
634868-12082012,1100,3,Night-time,others,0,14,0,100
634883-12082012,6900,2,Night-time,shopping_mall,0,13,0,100
635379-12082012,1100,4,Cooking-time,others,0,4,0,100
635850-13082012,1100,2,Office Hours,others,0,10,0,100
635852-13082012,6100,2,Office Hours,others,0,43,0,100
635857-13082012,6100,2,Office Hours,hospital,0,27,0,100
636182-14082012,6100,1,Cooking-time,house,0,11,0,100
637517-16082012,1190,0,Cooking-time,office,0,1,0,100
638388-17082012,6110,2,Cooking-time,public_facility,0,4,0,100
638961-17082012,6110,3,Night-time,public_facility,0,1,0,100
639005-18082012,6110,4,Night-time,public_facility,0,1,0,100
639817-19082012,1100,0,Night-time,restaurant,0,10,0,100
641206-21082012,6100,1,Night-time,shopping_mall,0,65,0,100
641422-21082012,6110,1,Cooking-time,rest_home,0,7,0,100
641482-21082012,1200,0,Cooking-time,apartment,0,1,0,100
642032-22082012,0,0,Office Hours,apartment,0,9,0,100
642400-22082012,6100,3,Cooking-time,hospital,0,13,0,100
642430-22082012,6100,4,Cooking-time,hospital,0,4,0,100
643386-23082012,6100,2,Cooking-time,rest_home,0,14,0,100
643451-23082012,6100,3,Cooking-time,rest_home,0,7,0,100
643809-24082012,6900,2,Office Hours,rest_home,0,11,0,100
644735-25082012,6100,3,Cooking-time,others,0,27,0,100
645095-26082012,6100,1,Office Hours,industry_facility,0,10,0,100
645140-26082012,6100,2,Office Hours,industry_facility,0,2,0,100
645831-27082012,6990,1,Cooking-time,rest_home,0,106,0,100
645891-27082012,6990,2,Cooking-time,rest_home,0,13,0,100
646591-28082012,6990,3,Office Hours,others,0,19,0,100
646614-28082012,6990,4,Office Hours,others,0,11,0,100
646972-29082012,6990,6,Cooking-time,others,0,9,0,100
648505-30082012,6110,1,Night-time,school,0,59,0,100
648630-31082012,1120,3,Cooking-time,others,0,1,0,100
648702-31082012,6900,3,Office Hours,hospital,0,7,0,100
648870-31082012,6200,2,Cooking-time,others,0,8,0,100
649184-01092012,1900,1,Night-time,others,0,5,0,100
649287-01092012,1900,0,Night-time,industry_facility,0,1,0,100
650022-01092012,6990,0,Cooking-time,restaurant,0,37,0,100
650814-02092012,1120,0,Cooking-time,hotel,0,7,0,100
651617-03092012,6900,1,Cooking-time,house,0,15,0,100
651966-04092012,6200,0,Night-time,public_facility,0,87,0,100
652087-04092012,6900,2,Office Hours,house,0,1,0,100
652093-04092012,1100,1,Office Hours,office,0,7,0,100
652106-04092012,1100,2,Office Hours,office,0,2,0,100
653664-05092012,1100,1,Cooking-time,public_facility,0,19,0,100
653703-05092012,1900,1,Cooking-time,others,0,9,0,100
653741-05092012,6100,2,Cooking-time,hotel,0,14,0,100
653868-05092012,6100,3,Cooking-time,hotel,0,3,0,100
653912-05092012,1100,2,Night-time,public_facility,0,5,0,100
653976-06092012,6990,4,Night-time,apartment,0,1,0,100
654301-06092012,6900,1,Office Hours,industry_facility,0,22,0,100
655154-07092012,0,0,Night-time,hotel,0,6,0,100
655863-07092012,0,1,Cooking-time,public_facility,0,2,0,100
655974-07092012,1100,2,Cooking-time,public_facility,0,3,0,100
657419-09092012,6100,2,Night-time,tansport,0,4,0,100
657446-09092012,6100,3,Night-time,tansport,0,1,0,100
657539-09092012,6110,1,Office Hours,shopping_mall,0,4,0,100
657544-09092012,6100,4,Office Hours,tansport,0,1,0,100
658779-10092012,0,0,Cooking-time,shopping_mall,0,3,0,100
659379-11092012,6100,2,Cooking-time,shopping_mall,0,17,0,100
659927-12092012,6900,3,Night-time,school,0,8,0,100
660022-12092012,6900,4,Cooking-time,school,0,3,0,100
660603-12092012,6990,1,Night-time,rest_home,0,65,0,100
660822-13092012,6100,3,Office Hours,apartment,0,4,0,100
660831-13092012,1100,1,Office Hours,apartment,0,11,0,100
661099-13092012,6990,2,Office Hours,rest_home,0,4,0,100
661263-14092012,1100,1,Night-time,hotel,0,9,0,100
661275-14092012,1100,2,Night-time,hotel,0,4,0,100
661276-14092012,1100,3,Night-time,hotel,0,1,0,100
661282-14092012,1100,4,Night-time,hotel,0,2,0,100
661346-14092012,0,1,Cooking-time,others,0,2,0,100
661785-14092012,6900,4,Cooking-time,office,0,2,0,100
661790-14092012,6900,5,Cooking-time,office,0,1,0,100
661917-15092012,6990,2,Night-time,rest_home,0,17,0,100
661987-15092012,6900,6,Night-time,office,0,1,0,100
662003-15092012,6900,7,Cooking-time,office,0,1,0,100
662162-15092012,6900,8,Office Hours,office,0,1,0,100
662531-15092012,6900,9,Cooking-time,office,0,1,0,100
662889-16092012,0,0,Office Hours,hospital,0,3,0,100
664192-18092012,1120,0,Office Hours,hotel,0,5,0,100
664420-18092012,1120,2,Office Hours,others,0,1,0,100
664511-18092012,1100,2,Cooking-time,office,0,4,0,100
664657-19092012,1120,1,Night-time,hotel,0,2,0,100
664716-19092012,6900,3,Night-time,public_facility,0,2,0,100
665808-20092012,6990,2,Office Hours,industry_facility,0,5,0,100
666062-21092012,6100,1,Night-time,office,0,43,0,100
667445-22092012,1100,1,Cooking-time,hotel,0,10,0,100
668093-23092012,1100,2,Cooking-time,hotel,0,2,0,100
668414-24092012,6900,3,Cooking-time,hotel,0,4,0,100
668416-24092012,6900,4,Cooking-time,hotel,0,2,0,100
669917-26092012,6990,3,Cooking-time,rest_home,0,2,0,100
669921-26092012,6990,4,Cooking-time,rest_home,0,1,0,100
669923-26092012,6200,1,Cooking-time,rest_home,0,13,0,100
669995-26092012,6900,2,Office Hours,apartment,0,17,0,100
671347-27092012,6900,3,Night-time,rest_home,0,6,0,100
671444-28092012,6900,3,Night-time,hospital,0,11,0,100
671454-28092012,6900,4,Night-time,hospital,0,4,0,100
671463-28092012,6900,5,Night-time,hospital,0,2,0,100
671475-28092012,6900,6,Night-time,hospital,0,2,0,100
671480-28092012,6900,7,Night-time,hospital,0,1,0,100
671483-28092012,6900,8,Night-time,hospital,0,1,0,100
671487-28092012,6900,9,Night-time,hospital,0,1,0,100
671909-28092012,6900,10,Cooking-time,hospital,0,1,0,100
671932-28092012,6900,11,Cooking-time,hospital,0,1,0,100
671958-28092012,6900,3,Office Hours,rest_home,0,3,0,100
672864-29092012,6200,2,Office Hours,others,0,3,0,100
672889-29092012,1900,0,Office Hours,others,0,21,0,100
673129-29092012,1100,0,Night-time,tansport,0,37,0,100
673556-30092012,6100,2,Cooking-time,school,0,26,0,100
673558-30092012,6100,3,Cooking-time,school,0,14,0,100
673559-30092012,6100,4,Cooking-time,school,0,8,0,100
673560-30092012,6100,5,Cooking-time,school,0,7,0,100
673893-30092012,6200,1,Cooking-time,public_facility,0,23,0,100
674358-01102012,6990,2,Office Hours,public_facility,0,9,0,100
674655-01102012,6120,0,Cooking-time,others,0,5,0,100
675980-03102012,6200,1,Office Hours,house,0,3,0,100
676303-04102012,6900,3,Night-time,shopping_mall,0,4,0,100
676365-04102012,6900,4,Night-time,shopping_mall,0,2,0,100
677158-04102012,6110,1,Night-time,office,0,5,0,100
679159-06102012,6200,2,Cooking-time,shopping_mall,0,11,0,100
680593-08102012,6990,4,Cooking-time,hospital,0,6,0,100
681404-10102012,6200,4,Night-time,shopping_mall,0,2,0,100
682963-12102012,6900,2,Cooking-time,shopping_mall,0,15,0,100
683345-13102012,6990,2,Cooking-time,house,0,4,0,100
683838-14102012,6110,0,Office Hours,house,0,5,0,100
683991-14102012,6110,1,Office Hours,rest_home,0,2,0,100
684284-15102012,1100,1,Night-time,apartment,0,20,0,100
684628-15102012,6200,1,Office Hours,school,0,19,0,100
684629-15102012,6200,2,Office Hours,school,0,4,0,100
684927-16102012,6200,2,Night-time,others,0,5,0,100
684949-16102012,6200,3,Night-time,others,0,3,0,100
685522-16102012,1170,0,Cooking-time,others,0,3,0,100
685785-17102012,1120,0,Cooking-time,hospital,0,10,0,100
689862-22102012,6110,2,Night-time,school,0,19,0,100
689869-22102012,6110,3,Night-time,school,0,5,0,100
689881-22102012,6110,4,Night-time,school,0,4,0,100
690003-22102012,1900,0,Office Hours,shopping_mall,0,2,0,100
690716-23102012,6990,4,Cooking-time,others,0,11,0,100
692088-25102012,6900,1,Night-time,restaurant,0,5,0,100
693566-26102012,6100,2,Cooking-time,apartment,0,29,0,100
693567-26102012,6110,0,Cooking-time,house,0,16,0,100
693757-27102012,6100,3,Night-time,rest_home,0,5,0,100
693846-27102012,1120,0,Cooking-time,shopping_mall,0,2,0,100
694959-28102012,6200,1,Office Hours,public_facility,0,7,0,100
695499-29102012,6200,1,Office Hours,office,0,5,0,100
696550-30102012,6200,2,Cooking-time,office,0,2,0,100
697576-01112012,1200,0,Cooking-time,public_facility,0,4,0,100
699255-03112012,6200,1,Night-time,hospital,0,9,0,100
699373-03112012,6990,3,Night-time,others,0,33,0,100
700893-05112012,6100,2,Night-time,rest_home,0,12,0,100
701556-06112012,6100,1,Night-time,house,0,13,0,100
701632-06112012,1900,0,Cooking-time,public_facility,0,7,0,100
702255-07112012,6990,3,Night-time,shopping_mall,0,11,0,100
702563-07112012,6290,1,Office Hours,school,0,2,0,100
703054-08112012,1900,1,Office Hours,public_facility,0,1,0,100
703055-08112012,6120,0,Office Hours,industry_facility,0,9,0,100
703152-08112012,1900,2,Cooking-time,public_facility,0,1,0,100
703171-08112012,1900,3,Cooking-time,public_facility,0,1,0,100
703305-08112012,6110,2,Office Hours,public_facility,0,2,0,100
703678-09112012,1100,1,Night-time,house,0,4,0,100
704379-10112012,6110,2,Night-time,office,0,4,0,100
704497-10112012,1160,0,Cooking-time,office,0,1,0,100
704574-10112012,6110,3,Cooking-time,office,0,1,0,100
705530-12112012,1100,2,Night-time,shopping_mall,0,7,0,100
705641-12112012,1120,1,Cooking-time,others,0,6,0,100
706520-13112012,1120,1,Cooking-time,hotel,0,1,0,100
706931-14112012,1100,2,Night-time,apartment,0,5,0,100
707465-14112012,6110,0,Night-time,restaurant,0,1,0,100
707467-14112012,6110,1,Night-time,rest_home,0,6,0,100
707498-15112012,6110,2,Night-time,industry_facility,0,2,0,100
708026-15112012,6600,0,Cooking-time,apartment,0,2,0,100
709998-19112012,6990,4,Night-time,public_facility,0,1,0,100
711067-21112012,6200,3,Night-time,shopping_mall,0,2,0,100
711088-21112012,1100,0,Night-time,rest_home,0,13,0,100
711287-21112012,1100,3,Cooking-time,shopping_mall,0,3,0,100
713294-24112012,7110,1,Cooking-time,public_facility,0,5,0,100
713414-24112012,6100,2,Office Hours,tansport,0,2,0,100
713667-24112012,6100,3,Cooking-time,tansport,0,2,0,100
713869-25112012,7110,2,Night-time,public_facility,0,1,0,100
714349-25112012,1200,0,Office Hours,others,0,8,0,100
716275-27112012,6110,2,Night-time,others,0,7,0,100
716564-28112012,6110,1,Cooking-time,shopping_mall,0,3,0,100
717868-30112012,6900,3,Office Hours,others,0,14,0,100
718046-30112012,1100,1,Cooking-time,industry_facility,0,3,0,100
718377-30112012,6100,2,Night-time,public_facility,0,10,0,100
718729-01122012,6100,2,Office Hours,public_facility,0,5,0,100
718990-01122012,6110,1,Office Hours,hotel,0,3,0,100
719078-01122012,6110,2,Cooking-time,hotel,0,2,0,100
719353-02122012,6100,2,Night-time,apartment,0,16,0,100
719876-03122012,1120,0,Night-time,office,0,9,0,100
719887-03122012,1160,0,Night-time,office,0,2,0,100
721328-04122012,6200,0,Night-time,house,0,15,0,100
721428-05122012,1170,0,Night-time,industry_facility,0,4,0,100
721590-05122012,6900,2,Office Hours,hospital,0,22,0,100
722188-05122012,6100,1,Office Hours,shopping_mall,0,40,0,100
722516-05122012,6900,5,Night-time,others,0,5,0,100
722592-06122012,6900,6,Night-time,others,0,3,0,100
722656-06122012,6900,7,Cooking-time,others,0,2,0,100
722684-06122012,6900,8,Cooking-time,others,0,3,0,100
723620-07122012,1120,0,Office Hours,industry_facility,0,7,0,100
724199-08122012,6200,1,Night-time,school,0,12,0,100
724512-08122012,6200,1,Cooking-time,house,0,7,0,100
724698-08122012,6110,0,Cooking-time,restaurant,0,2,0,100
724707-08122012,6200,1,Cooking-time,hospital,0,14,0,100
724713-08122012,6200,2,Cooking-time,hospital,0,5,0,100
725036-09122012,1100,2,Night-time,school,0,10,0,100
725131-09122012,6100,2,Cooking-time,industry_facility,0,3,0,100
726361-11122012,6100,1,Cooking-time,restaurant,0,3,0,100
726937-12122012,6100,1,Night-time,tansport,0,19,0,100
729004-15122012,6200,2,Night-time,hospital,0,1,0,100
729086-15122012,6200,1,Night-time,public_facility,0,9,0,100
730552-17122012,6990,3,Night-time,rest_home,0,1,0,100
732427-19122012,1100,3,Office Hours,public_facility,0,1,0,100
732434-19122012,1100,4,Office Hours,public_facility,0,1,0,100
732681-19122012,6990,1,Night-time,house,0,7,0,100
732716-19122012,6100,4,Night-time,hospital,0,3,0,100
732764-20122012,1100,5,Night-time,public_facility,0,1,0,100
733666-21122012,6110,5,Night-time,school,0,2,0,100
733749-21122012,6110,6,Cooking-time,school,0,3,0,100
734218-21122012,6110,7,Cooking-time,school,0,1,0,100
737428-25122012,6100,2,Night-time,shopping_mall,0,17,0,100
737925-25122012,6100,3,Night-time,shopping_mall,0,3,0,100
738200-26122012,6100,4,Office Hours,shopping_mall,0,1,0,100
738391-27122012,6100,5,Night-time,shopping_mall,0,2,0,100
738432-27122012,6100,6,Night-time,shopping_mall,0,1,0,100
