incident_number,alarm_type,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
606929-25062012,7100,0,Cooking-time,others,Work_days,0,1,0,100
607026-25062012,6110,1,Office Hours,apartment,Work_days,0,9,0,100
607032-25062012,6900,2,Office Hours,shopping_mall,Work_days,0,5,0,100
607197-25062012,6110,2,Office Hours,apartment,Work_days,0,2,0,100
607384-25062012,6200,0,Night-time,industry_facility,Work_days,0,14,0,100
607437-26062012,6990,1,Night-time,industry_facility,Work_days,0,23,0,100
607460-26062012,6200,0,Cooking-time,tansport,Work_days,0,19,0,100
607669-26062012,0,0,Office Hours,office,Work_days,0,3,0,100
607671-26062012,0,0,Office Hours,rest_home,Work_days,0,5,0,100
607674-26062012,0,0,Cooking-time,tansport,Work_days,0,1,0,100
607692-26062012,0,0,Cooking-time,hotel,Work_days,0,6,0,100
607746-26062012,0,0,Cooking-time,school,Work_days,0,8,0,100
607806-26062012,0,0,Office Hours,public_facility,Work_days,0,2,0,100
607820-26062012,0,0,Office Hours,house,Work_days,0,2,0,100
607849-26062012,0,0,Office Hours,shopping_mall,Work_days,0,2,0,100
607867-26062012,0,0,Cooking-time,house,Work_days,0,6,0,100
607903-26062012,0,0,Cooking-time,industry_facility,Work_days,0,2,0,100
607922-26062012,0,0,Cooking-time,public_facility,Work_days,0,5,0,100
608004-26062012,0,0,Night-time,others,Work_days,0,20,0,100
608021-27062012,0,0,Night-time,public_facility,Work_days,0,5,0,100
608055-27062012,0,0,Night-time,apartment,Work_days,0,8,0,100
608065-27062012,0,0,Night-time,shopping_mall,Work_days,0,1,0,100
608068-27062012,0,0,Night-time,house,Work_days,0,3,0,100
608459-27062012,1100,1,Cooking-time,others,Work_days,0,74,0,100
608469-27062012,6900,1,Cooking-time,rest_home,Work_days,0,102,0,100
608580-28062012,1100,0,Night-time,hotel,Work_days,0,20,0,100
608653-28062012,1100,0,Cooking-time,public_facility,Work_days,0,95,0,100
608892-28062012,6900,1,Office Hours,rest_home,Work_days,0,63,0,100
609122-29062012,6110,0,Night-time,industry_facility,Work_days,0,20,0,100
609167-29062012,6100,1,Night-time,public_facility,Work_days,0,54,0,100
609189-29062012,6900,1,Cooking-time,hotel,Work_days,0,53,0,100
609199-29062012,6110,1,Cooking-time,others,Work_days,0,60,0,100
609265-29062012,6900,2,Office Hours,others,Work_days,0,54,0,100
609288-29062012,6990,1,Office Hours,hospital,Work_days,0,71,0,100
609341-29062012,6990,1,Cooking-time,school,Work_days,0,100,0,100
609368-29062012,7110,0,Cooking-time,others,Work_days,0,9,0,100
609536-29062012,6110,2,Cooking-time,others,Work_days,0,8,0,100
609562-29062012,6100,1,Cooking-time,public_facility,Work_days,0,70,0,100
609610-29062012,1100,1,Cooking-time,apartment,Work_days,0,21,0,100
609712-30062012,1900,0,Night-time,apartment,Week_ends,0,7,0,100
609733-30062012,1100,1,Night-time,others,Week_ends,0,32,0,100
609746-30062012,1900,1,Night-time,apartment,Week_ends,0,2,0,100
609765-30062012,1900,2,Night-time,apartment,Week_ends,0,2,0,100
609767-30062012,6110,0,Night-time,hospital,Week_ends,0,12,0,100
609860-30062012,6990,0,Office Hours,school,Week_ends,0,120,0,100
609882-30062012,6990,2,Office Hours,apartment,Week_ends,0,8,0,100
609922-30062012,6100,2,Cooking-time,others,Week_ends,0,27,0,100
609945-30062012,6200,0,Cooking-time,tansport,Week_ends,0,9,0,100
609974-30062012,1100,2,Cooking-time,apartment,Week_ends,0,3,0,100
610014-30062012,6990,0,Office Hours,industry_facility,Week_ends,0,44,0,100
610283-30062012,6110,0,Night-time,hotel,Week_ends,0,16,0,100
610292-30062012,1900,3,Night-time,apartment,Week_ends,0,1,0,100
610414-01072012,1100,0,Night-time,school,Week_ends,0,28,0,100
610434-01072012,1900,4,Cooking-time,apartment,Week_ends,0,1,0,100
610471-01072012,1100,2,Office Hours,school,Week_ends,0,3,0,100
610517-01072012,6990,1,Cooking-time,school,Week_ends,0,23,0,100
610585-01072012,6110,0,Office Hours,public_facility,Week_ends,0,28,0,100
610836-01072012,0,1,Night-time,industry_facility,Week_ends,0,1,0,100
610861-02072012,7110,0,Night-time,others,Work_days,0,6,0,100
611033-02072012,6110,1,Cooking-time,apartment,Work_days,0,20,0,100
611105-02072012,6900,1,Cooking-time,office,Work_days,0,57,0,100
611237-02072012,6200,1,Office Hours,apartment,Work_days,0,25,0,100
611309-02072012,6900,2,Cooking-time,office,Work_days,0,13,0,100
611320-02072012,6120,0,Cooking-time,industry_facility,Work_days,0,12,0,100
611321-02072012,1170,0,Cooking-time,industry_facility,Work_days,0,1,0,100
611403-03072012,6900,3,Night-time,apartment,Work_days,0,5,0,100
611408-03072012,6120,1,Night-time,industry_facility,Work_days,0,1,0,100
611409-03072012,1170,1,Night-time,industry_facility,Work_days,0,1,0,100
611424-03072012,6110,0,Night-time,office,Work_days,0,31,0,100
611511-03072012,6110,0,Office Hours,rest_home,Work_days,0,23,0,100
611562-03072012,6900,3,Office Hours,office,Work_days,0,1,0,100
611653-03072012,6990,2,Cooking-time,hotel,Work_days,0,23,0,100
611691-03072012,6200,2,Office Hours,shopping_mall,Work_days,0,5,0,100
611808-03072012,6200,3,Cooking-time,shopping_mall,Work_days,0,3,0,100
611828-03072012,6200,4,Cooking-time,shopping_mall,Work_days,0,1,0,100
611912-03072012,6900,4,Night-time,apartment,Work_days,0,5,0,100
611946-04072012,6100,3,Night-time,others,Work_days,0,17,0,100
612022-04072012,6900,5,Cooking-time,apartment,Work_days,0,5,0,100
612279-04072012,6110,1,Office Hours,school,Work_days,0,65,0,100
612533-05072012,6100,4,Night-time,others,Work_days,0,7,0,100
612591-05072012,6990,0,Night-time,house,Work_days,0,33,0,100
612694-05072012,6110,3,Office Hours,school,Work_days,0,1,0,100
612737-05072012,1100,0,Office Hours,public_facility,Work_days,0,62,0,100
613070-05072012,6990,2,Night-time,apartment,Work_days,0,19,0,100
613110-06072012,6110,0,Night-time,hospital,Work_days,0,24,0,100
613119-06072012,1100,1,Night-time,others,Work_days,0,75,0,100
613265-06072012,6100,3,Office Hours,hospital,Work_days,0,8,0,100
613572-07072012,1100,0,Night-time,apartment,Week_ends,0,41,0,100
613591-07072012,6110,0,Night-time,shopping_mall,Week_ends,0,9,0,100
613710-07072012,6900,0,Office Hours,house,Week_ends,0,19,0,100
613761-07072012,7110,0,Office Hours,others,Week_ends,0,4,0,100
613911-07072012,1100,0,Office Hours,apartment,Week_ends,0,34,0,100
613957-07072012,6990,2,Office Hours,shopping_mall,Week_ends,0,12,0,100
614068-07072012,6110,1,Cooking-time,apartment,Week_ends,0,4,0,100
614337-08072012,6900,1,Office Hours,shopping_mall,Week_ends,0,13,0,100
614414-08072012,6990,1,Cooking-time,hospital,Week_ends,0,52,0,100
614545-08072012,6100,0,Office Hours,tansport,Week_ends,0,19,0,100
614644-08072012,1900,0,Cooking-time,shopping_mall,Week_ends,0,2,0,100
614882-09072012,6100,1,Office Hours,office,Work_days,0,22,0,100
615138-09072012,6900,3,Cooking-time,office,Work_days,0,3,0,100
615156-09072012,6900,1,Cooking-time,shopping_mall,Work_days,0,79,0,100
615231-09072012,6900,2,Night-time,apartment,Work_days,0,17,0,100
615322-10072012,6900,3,Night-time,others,Work_days,0,18,0,100
615413-10072012,6900,3,Office Hours,apartment,Work_days,0,3,0,100
615560-10072012,6990,1,Office Hours,hotel,Work_days,0,76,0,100
615668-10072012,6100,1,Cooking-time,hotel,Work_days,0,71,0,100
615681-10072012,6120,0,Cooking-time,office,Work_days,0,2,0,100
615972-11072012,6110,2,Office Hours,others,Work_days,0,5,0,100
616304-12072012,6990,2,Night-time,hotel,Work_days,0,15,0,100
616364-12072012,6990,1,Cooking-time,house,Work_days,0,9,0,100
616597-12072012,1100,1,Cooking-time,office,Work_days,0,14,0,100
616653-12072012,6110,0,Cooking-time,shopping_mall,Work_days,0,22,0,100
616677-12072012,1100,2,Night-time,office,Work_days,0,8,0,100
616708-13072012,6900,1,Night-time,rest_home,Work_days,0,56,0,100
616729-13072012,1100,3,Night-time,office,Work_days,0,4,0,100
616747-13072012,6200,1,Night-time,industry_facility,Work_days,0,2,0,100
616750-13072012,6110,1,Night-time,hotel,Work_days,0,3,0,100
616766-13072012,1100,1,Night-time,shopping_mall,Work_days,0,23,0,100
616870-13072012,1900,0,Office Hours,public_facility,Work_days,0,5,0,100
616949-13072012,6200,1,Cooking-time,school,Work_days,0,19,0,100
616956-13072012,6990,2,Cooking-time,industry_facility,Work_days,0,4,0,100
617019-13072012,1100,4,Office Hours,office,Work_days,0,1,0,100
617036-13072012,6100,1,Office Hours,rest_home,Work_days,0,59,0,100
617136-13072012,6200,1,Cooking-time,apartment,Work_days,0,46,0,100
617193-13072012,6100,1,Cooking-time,rest_home,Work_days,0,83,0,100
617374-14072012,6900,2,Night-time,hospital,Week_ends,0,9,0,100
617390-14072012,6990,2,Night-time,others,Week_ends,0,38,0,100
617472-14072012,6110,3,Cooking-time,school,Week_ends,0,1,0,100
617509-14072012,6100,0,Cooking-time,house,Week_ends,0,30,0,100
617530-14072012,6200,1,Cooking-time,school,Week_ends,0,5,0,100
617531-14072012,6990,3,Cooking-time,others,Week_ends,0,9,0,100
617575-14072012,6200,0,Office Hours,office,Week_ends,0,9,0,100
617688-14072012,1100,1,Office Hours,public_facility,Week_ends,0,3,0,100
617744-14072012,1100,2,Office Hours,public_facility,Week_ends,0,1,0,100
617766-14072012,6110,1,Cooking-time,others,Week_ends,0,12,0,100
617797-14072012,6100,1,Cooking-time,rest_home,Week_ends,0,31,0,100
617837-14072012,6100,1,Night-time,industry_facility,Week_ends,0,5,0,100
618247-15072012,6100,1,Cooking-time,hotel,Week_ends,0,27,0,100
618411-16072012,6200,0,Night-time,office,Work_days,0,38,0,100
618505-16072012,6200,0,Cooking-time,industry_facility,Work_days,0,26,0,100
618730-16072012,6200,1,Office Hours,industry_facility,Work_days,0,2,0,100
618960-17072012,6200,2,Night-time,industry_facility,Work_days,0,2,0,100
618963-17072012,6200,1,Night-time,apartment,Work_days,0,21,0,100
618980-17072012,6110,1,Night-time,public_facility,Work_days,0,5,0,100
619240-17072012,6100,2,Office Hours,rest_home,Work_days,0,9,0,100
619318-17072012,6110,1,Office Hours,others,Work_days,0,24,0,100
619324-17072012,6990,2,Office Hours,apartment,Work_days,0,18,0,100
619329-17072012,6990,3,Office Hours,apartment,Work_days,0,7,0,100
619332-17072012,6990,4,Office Hours,apartment,Work_days,0,3,0,100
619334-17072012,6990,5,Cooking-time,apartment,Work_days,0,2,0,100
619336-17072012,6990,6,Cooking-time,apartment,Work_days,0,1,0,100
619344-17072012,6990,7,Cooking-time,apartment,Work_days,0,1,0,100
619378-17072012,1100,1,Cooking-time,shopping_mall,Work_days,0,22,0,100
619610-18072012,6990,8,Cooking-time,apartment,Work_days,0,1,0,100
620110-19072012,1100,0,Office Hours,hotel,Work_days,0,29,0,100
620336-19072012,6990,2,Cooking-time,school,Work_days,0,5,0,100
620418-19072012,6990,3,Cooking-time,school,Work_days,0,1,0,100
620475-20072012,1100,1,Night-time,office,Work_days,0,13,0,100
620889-20072012,1100,0,Cooking-time,restaurant,Work_days,0,8,0,100
620945-20072012,6900,2,Cooking-time,hospital,Work_days,0,36,0,100
621071-21072012,6200,0,Night-time,office,Week_ends,0,16,0,100
621079-21072012,6200,1,Night-time,office,Week_ends,0,5,0,100
621108-21072012,6990,0,Cooking-time,industry_facility,Week_ends,0,74,0,100
621267-21072012,6110,1,Cooking-time,school,Week_ends,0,30,0,100
621298-21072012,6100,1,Office Hours,office,Week_ends,0,7,0,100
621302-21072012,6110,2,Office Hours,school,Week_ends,0,3,0,100
621388-21072012,7110,0,Cooking-time,others,Week_ends,0,3,0,100
621509-21072012,6990,1,Night-time,public_facility,Week_ends,0,33,0,100
621568-22072012,6110,0,Night-time,public_facility,Week_ends,0,17,0,100
621628-22072012,1200,0,Night-time,apartment,Week_ends,0,1,0,100
621641-22072012,1100,1,Cooking-time,apartment,Week_ends,0,5,0,100
621642-22072012,1200,1,Cooking-time,apartment,Week_ends,0,1,0,100
621790-22072012,6900,2,Cooking-time,hospital,Week_ends,0,10,0,100
621821-22072012,6990,2,Cooking-time,hospital,Week_ends,0,12,0,100
622308-23072012,6100,1,Office Hours,public_facility,Work_days,0,41,0,100
622349-23072012,6990,1,Office Hours,office,Work_days,0,71,0,100
622375-23072012,1100,0,Office Hours,tansport,Work_days,0,19,0,100
622533-24072012,1900,0,Night-time,others,Work_days,0,22,0,100
622650-24072012,6110,0,Office Hours,shopping_mall,Work_days,0,22,0,100
622656-24072012,6100,3,Office Hours,rest_home,Work_days,0,2,0,100
622802-24072012,6990,2,Office Hours,office,Work_days,0,15,0,100
623010-25072012,1100,1,Night-time,school,Work_days,0,21,0,100
623059-25072012,6900,2,Cooking-time,rest_home,Work_days,0,18,0,100
623214-25072012,1370,0,Cooking-time,others,Work_days,0,1,0,100
624042-27072012,1120,1,Night-time,others,Work_days,0,7,0,100
624151-27072012,1120,2,Cooking-time,others,Work_days,0,1,0,100
624312-27072012,6200,0,Office Hours,house,Work_days,0,16,0,100
624492-27072012,6990,1,Night-time,office,Work_days,0,58,0,100
624537-28072012,6990,2,Night-time,office,Week_ends,0,7,0,100
624539-28072012,1100,0,Night-time,house,Week_ends,0,3,0,100
624540-28072012,6100,0,Night-time,house,Week_ends,0,13,0,100
624582-28072012,6990,3,Night-time,office,Week_ends,0,2,0,100
624621-28072012,6990,4,Night-time,office,Week_ends,0,1,0,100
624624-28072012,6900,1,Night-time,shopping_mall,Week_ends,0,27,0,100
624628-28072012,6990,0,Night-time,house,Week_ends,0,15,0,100
624629-28072012,6990,1,Night-time,hotel,Week_ends,0,31,0,100
624717-28072012,6990,2,Office Hours,hotel,Week_ends,0,8,0,100
624876-28072012,6900,1,Office Hours,office,Week_ends,0,9,0,100
624901-28072012,6200,1,Office Hours,shopping_mall,Week_ends,0,13,0,100
624908-28072012,6200,0,Office Hours,tansport,Week_ends,0,5,0,100
624981-28072012,1100,1,Cooking-time,others,Week_ends,0,30,0,100
625028-28072012,1100,2,Cooking-time,others,Week_ends,0,6,0,100
625126-29072012,6900,1,Night-time,school,Week_ends,0,36,0,100
625161-29072012,6900,2,Night-time,office,Week_ends,0,4,0,100
625471-29072012,6990,1,Office Hours,public_facility,Week_ends,0,19,0,100
625663-30072012,6200,1,Night-time,hotel,Work_days,0,12,0,100
625668-30072012,0,0,Night-time,hospital,Work_days,0,3,0,100
625734-30072012,6990,2,Cooking-time,public_facility,Work_days,0,9,0,100
626267-31072012,1120,0,Night-time,hotel,Work_days,0,3,0,100
626340-31072012,6100,1,Cooking-time,shopping_mall,Work_days,0,56,0,100
626364-31072012,6110,0,Office Hours,industry_facility,Work_days,0,24,0,100
626426-31072012,6990,3,Cooking-time,hospital,Work_days,0,17,0,100
626544-31072012,6100,3,Office Hours,others,Work_days,0,5,0,100
626716-31072012,6100,4,Cooking-time,others,Work_days,0,4,0,100
626786-01082012,6100,5,Night-time,others,Work_days,0,3,0,100
627055-01082012,1200,0,Office Hours,office,Work_days,0,2,0,100
627197-01082012,1200,1,Cooking-time,office,Work_days,0,1,0,100
627205-01082012,6110,1,Cooking-time,industry_facility,Work_days,0,9,0,100
627266-01082012,1200,2,Cooking-time,office,Work_days,0,1,0,100
627308-02082012,1200,3,Night-time,others,Work_days,0,1,0,100
627325-02082012,6100,6,Night-time,others,Work_days,0,1,0,100
627383-02082012,6100,0,Cooking-time,restaurant,Work_days,0,23,0,100
627652-02082012,6100,7,Office Hours,others,Work_days,0,1,0,100
627694-02082012,6990,3,Office Hours,shopping_mall,Work_days,0,4,0,100
627812-02082012,1200,4,Cooking-time,office,Work_days,0,1,0,100
627881-03082012,6990,2,Night-time,public_facility,Work_days,0,13,0,100
