incident_number,alarm_type,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
028645-31012013,0,Night-time,school,0,4,0,100
035964-12022013,6110,Office Hours,restaurant,0,1,0,100
036849-14022013,1120,Cooking-time,industry_facility,0,13,0,100
049969-07032013,1120,Office Hours,office,0,14,0,100
052187-11032013,1200,Office Hours,apartment,0,2,0,100
053948-14032013,1900,Office Hours,apartment,0,6,0,100
056431-19032013,1200,Night-time,public_facility,0,1,0,100
063896-30032013,6210,Cooking-time,office,0,9,0,100
064267-31032013,6210,Night-time,office,0,8,0,100
069377-09042013,6200,Office Hours,restaurant,0,2,0,100
074096-17042013,0,Office Hours,hotel,0,2,0,100
074592-18042013,1170,Night-time,others,0,2,0,100
088722-11052013,6210,Office Hours,office,0,7,0,100
113334-24062013,6120,Office Hours,office,0,1,0,100
121869-10072013,8990,Cooking-time,others,0,1,0,100
127967-21072013,1900,Night-time,shopping_mall,0,2,0,100
156073-03092013,1170,Office Hours,others,0,2,0,100
165023-13092013,1120,Cooking-time,office,0,17,0,100
174879-27092013,1200,Cooking-time,shopping_mall,0,2,0,100
220396-12112013,1120,Office Hours,public_facility,0,1,0,100
234686-06122013,1200,Cooking-time,hotel,0,8,0,100
234780-06122013,1200,Night-time,hotel,0,7,0,100
243924-20122013,0,Office Hours,school,0,1,0,100
037114-25022014,2270,Office Hours,others,0,1,0,100
043487-09032014,1120,Night-time,apartment,0,1,0,100
062375-12042014,1110,Night-time,others,0,1,0,100
062897-13042014,1120,Night-time,shopping_mall,0,1,0,100
090425-02062014,1200,Office Hours,hotel,0,2,0,100
105216-01072014,2270,Cooking-time,others,0,2,0,100
115841-18072014,1130,Cooking-time,shopping_mall,0,1,0,100
170676-15102014,1110,Cooking-time,others,0,2,0,100
178439-27102014,0,Night-time,office,0,1,0,100
187634-08112014,2350,Cooking-time,others,0,1,0,100
205828-03122014,1900,Cooking-time,school,0,1,0,100
213596-14122014,4310,Office Hours,others,0,1,0,100
223401-30122014,2270,Office Hours,office,0,2,0,100
015301-27012015,2270,Cooking-time,office,0,4,0,100
046509-24032015,2350,Night-time,others,0,1,0,100
058408-15042015,1140,Cooking-time,apartment,0,2,0,100
058444-15042015,0,Office Hours,tansport,0,1,0,100
068161-22042015,4110,Night-time,others,0,1,0,100
