incident_number,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
035613-12022013,3,Night-time,industry_facility,0,6,0,100
040834-21022013,3,Office Hours,tansport,0,2,0,100
040956-21022013,4,Cooking-time,tansport,0,1,0,100
041081-22022013,5,Night-time,tansport,0,1,0,100
041085-22022013,6,Night-time,tansport,0,1,0,100
041680-22022013,7,Cooking-time,tansport,0,1,0,100
042393-23022013,4,Office Hours,rest_home,0,3,0,100
043898-24022013,5,Office Hours,school,0,4,0,100
044087-24022013,3,Cooking-time,restaurant,0,1,0,100
044171-25022013,6,Night-time,school,0,3,0,100
044456-25022013,5,Cooking-time,hospital,0,7,0,100
054713-16032013,7,Night-time,others,0,6,0,100
054928-16032013,10,Cooking-time,others,0,3,0,100
054988-16032013,11,Cooking-time,others,0,1,0,100
055001-16032013,12,Office Hours,others,0,1,0,100
055016-16032013,13,Office Hours,others,0,1,0,100
055058-16032013,14,Office Hours,others,0,1,0,100
055073-16032013,15,Office Hours,others,0,1,0,100
057285-20032013,6,Office Hours,school,0,4,0,100
059360-23032013,7,Office Hours,school,0,5,0,100
067780-06042013,8,Office Hours,school,0,1,0,100
096688-24052013,6,Night-time,apartment,0,2,0,100
111802-22062013,5,Night-time,apartment,0,3,0,100
113008-24062013,5,Night-time,office,0,2,0,100
118045-03072013,6,Office Hours,others,0,2,0,100
118473-04072013,9,Cooking-time,others,0,2,0,100
203013-23102013,6,Office Hours,hospital,0,1,0,100
209013-30102013,4,Cooking-time,public_facility,0,7,0,100
209014-30102013,5,Cooking-time,public_facility,0,2,0,100
209016-30102013,6,Cooking-time,public_facility,0,2,0,100
209018-30102013,7,Cooking-time,public_facility,0,2,0,100
209019-30102013,8,Cooking-time,public_facility,0,1,0,100
209020-30102013,9,Cooking-time,public_facility,0,1,0,100
209021-30102013,10,Cooking-time,public_facility,0,1,0,100
209022-30102013,11,Cooking-time,public_facility,0,1,0,100
209023-30102013,12,Cooking-time,public_facility,0,1,0,100
209024-30102013,13,Cooking-time,public_facility,0,1,0,100
209025-30102013,14,Cooking-time,public_facility,0,1,0,100
209026-30102013,15,Cooking-time,public_facility,0,1,0,100
209027-30102013,16,Cooking-time,public_facility,0,1,0,100
209028-30102013,17,Cooking-time,public_facility,0,1,0,100
209029-30102013,18,Cooking-time,public_facility,0,1,0,100
209030-30102013,19,Cooking-time,public_facility,0,1,0,100
209031-30102013,20,Cooking-time,public_facility,0,1,0,100
209032-30102013,21,Cooking-time,public_facility,0,1,0,100
209033-30102013,22,Cooking-time,public_facility,0,1,0,100
209034-30102013,23,Cooking-time,public_facility,0,1,0,100
209035-30102013,24,Cooking-time,public_facility,0,1,0,100
209036-30102013,25,Cooking-time,public_facility,0,1,0,100
209037-30102013,26,Cooking-time,public_facility,0,1,0,100
209038-30102013,27,Cooking-time,public_facility,0,1,0,100
209039-30102013,28,Cooking-time,public_facility,0,1,0,100
209040-30102013,29,Cooking-time,public_facility,0,1,0,100
209041-30102013,30,Cooking-time,public_facility,0,1,0,100
209042-30102013,31,Cooking-time,public_facility,0,1,0,100
209043-30102013,32,Cooking-time,public_facility,0,1,0,100
209044-30102013,33,Cooking-time,public_facility,0,1,0,100
209045-30102013,34,Cooking-time,public_facility,0,1,0,100
209046-30102013,35,Cooking-time,public_facility,0,1,0,100
209047-30102013,36,Cooking-time,public_facility,0,1,0,100
209048-30102013,37,Cooking-time,public_facility,0,1,0,100
209049-30102013,38,Cooking-time,public_facility,0,1,0,100
209050-30102013,39,Cooking-time,public_facility,0,1,0,100
209051-30102013,40,Cooking-time,public_facility,0,1,0,100
209052-30102013,41,Cooking-time,public_facility,0,1,0,100
209053-30102013,42,Office Hours,public_facility,0,1,0,100
209054-30102013,43,Office Hours,public_facility,0,1,0,100
209064-30102013,44,Office Hours,public_facility,0,1,0,100
209067-30102013,45,Office Hours,public_facility,0,1,0,100
210200-01112013,4,Office Hours,hospital,0,3,0,100
236726-09122013,5,Cooking-time,hotel,0,3,0,100
236786-09122013,6,Night-time,hotel,0,1,0,100
237821-11122013,6,Office Hours,apartment,0,2,0,100
237822-11122013,7,Office Hours,apartment,0,2,0,100
237823-11122013,8,Office Hours,apartment,0,2,0,100
040676-04032014,5,Office Hours,others,0,5,0,100
074689-05052014,6,Office Hours,shopping_mall,0,1,0,100
074962-06052014,7,Night-time,shopping_mall,0,2,0,100
075421-06052014,8,Night-time,shopping_mall,0,1,0,100
075447-07052014,9,Night-time,shopping_mall,0,1,0,100
075454-07052014,10,Night-time,shopping_mall,0,1,0,100
075565-07052014,11,Office Hours,shopping_mall,0,1,0,100
105123-01072014,3,Night-time,house,0,1,0,100
117523-21072014,4,Office Hours,hotel,0,1,0,100
194493-18112014,3,Office Hours,industry_facility,0,2,0,100
204121-30112014,6,Cooking-time,shopping_mall,0,2,0,100
209232-07122014,5,Office Hours,shopping_mall,0,1,0,100
213377-14122014,5,Office Hours,hotel,0,1,0,100
016380-29012015,2,Office Hours,restaurant,0,2,0,100
028954-21022015,8,Cooking-time,school,0,4,0,100
029430-22022015,9,Cooking-time,school,0,4,0,100
033018-01032015,10,Cooking-time,school,0,2,0,100
033231-01032015,5,Office Hours,public_facility,0,1,0,100
033329-01032015,6,Office Hours,public_facility,0,1,0,100
033344-01032015,7,Office Hours,public_facility,0,1,0,100
033458-01032015,11,Cooking-time,school,0,1,0,100
034429-03032015,6,Cooking-time,office,0,1,0,100
035162-05032015,8,Night-time,office,0,1,0,100
053850-06042015,4,Night-time,industry_facility,0,2,0,100
053858-06042015,5,Night-time,industry_facility,0,1,0,100
056971-12042015,9,Cooking-time,apartment,0,1,0,100
057049-12042015,10,Office Hours,apartment,0,1,0,100
075915-04052015,7,Night-time,school,0,1,0,100
120775-30072015,4,Cooking-time,industry_facility,0,1,0,100
