incident_number,season,alarm_type,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
607725-26062012,Winter,0,Cooking-time,office,Work_days,0,4,0,100
607729-26062012,Winter,0,Cooking-time,hospital,Work_days,0,3,0,100
607746-26062012,Winter,0,Cooking-time,school,Work_days,0,4,0,100
607806-26062012,Winter,0,Office Hours,public_facility,Work_days,0,2,0,100
607820-26062012,Winter,0,Office Hours,house,Work_days,0,1,0,100
607849-26062012,Winter,0,Office Hours,shopping_mall,Work_days,0,1,0,100
607867-26062012,Winter,0,Cooking-time,house,Work_days,0,2,0,100
607903-26062012,Winter,0,Cooking-time,industry_facility,Work_days,0,1,0,100
607922-26062012,Winter,0,Cooking-time,public_facility,Work_days,0,3,0,100
608004-26062012,Winter,0,Night-time,others,Work_days,0,5,0,100
608021-27062012,Winter,0,Night-time,public_facility,Work_days,0,3,0,100
608055-27062012,Winter,0,Night-time,apartment,Work_days,0,3,0,100
608065-27062012,Winter,0,Night-time,shopping_mall,Work_days,0,1,0,100
608068-27062012,Winter,0,Night-time,house,Work_days,0,2,0,100
608439-27062012,Winter,6290,Cooking-time,school,Work_days,0,4,0,100
608580-28062012,Winter,1100,Night-time,hotel,Work_days,0,6,0,100
608653-28062012,Winter,1100,Cooking-time,public_facility,Work_days,0,26,0,100
608772-28062012,Winter,6900,Office Hours,tansport,Work_days,0,41,0,100
608990-28062012,Winter,6900,Cooking-time,house,Work_days,0,42,0,100
609122-29062012,Winter,6110,Night-time,industry_facility,Work_days,0,12,0,100
609368-29062012,Winter,7110,Cooking-time,others,Work_days,0,6,0,100
609712-30062012,Winter,1900,Night-time,apartment,Week_ends,0,4,0,100
609747-30062012,Winter,6900,Night-time,hospital,Week_ends,0,29,0,100
609767-30062012,Winter,6110,Night-time,hospital,Week_ends,0,3,0,100
609793-30062012,Winter,1100,Cooking-time,hotel,Week_ends,0,8,0,100
609860-30062012,Winter,6990,Office Hours,school,Week_ends,0,31,0,100
609899-30062012,Winter,6110,Office Hours,office,Week_ends,0,4,0,100
609945-30062012,Winter,6200,Cooking-time,tansport,Week_ends,0,4,0,100
610014-30062012,Winter,6990,Office Hours,industry_facility,Week_ends,0,12,0,100
610283-30062012,Winter,6110,Night-time,hotel,Week_ends,0,3,0,100
610320-01072012,Winter,6990,Night-time,tansport,Week_ends,0,6,0,100
610414-01072012,Winter,1100,Night-time,school,Week_ends,0,8,0,100
610434-01072012,Winter,1900,Cooking-time,apartment,Week_ends,0,1,0,100
610585-01072012,Winter,6110,Office Hours,public_facility,Week_ends,0,7,0,100
610652-01072012,Winter,1100,Office Hours,others,Week_ends,0,24,0,100
610836-01072012,Winter,0,Night-time,industry_facility,Week_ends,0,1,0,100
610861-02072012,Winter,7110,Night-time,others,Work_days,0,2,0,100
610870-02072012,Winter,1100,Night-time,office,Work_days,0,31,0,100
611267-02072012,Winter,6990,Cooking-time,tansport,Work_days,0,20,0,100
611320-02072012,Winter,6120,Cooking-time,industry_facility,Work_days,0,4,0,100
611321-02072012,Winter,1170,Cooking-time,industry_facility,Work_days,0,1,0,100
611408-03072012,Winter,6120,Night-time,industry_facility,Work_days,0,2,0,100
611409-03072012,Winter,1170,Night-time,industry_facility,Work_days,0,2,0,100
611424-03072012,Winter,6110,Night-time,office,Work_days,0,8,0,100
611511-03072012,Winter,6110,Office Hours,rest_home,Work_days,0,6,0,100
612314-04072012,Winter,6200,Office Hours,office,Work_days,0,15,0,100
612591-05072012,Winter,6990,Night-time,house,Work_days,0,11,0,100
612737-05072012,Winter,1100,Office Hours,public_facility,Work_days,0,14,0,100
613110-06072012,Winter,6110,Night-time,hospital,Work_days,0,5,0,100
613156-06072012,Winter,1120,Night-time,others,Work_days,0,14,0,100
613435-06072012,Winter,6200,Office Hours,tansport,Work_days,0,6,0,100
613572-07072012,Winter,1100,Night-time,apartment,Week_ends,0,17,0,100
613591-07072012,Winter,6110,Night-time,shopping_mall,Week_ends,0,3,0,100
613710-07072012,Winter,6900,Office Hours,house,Week_ends,0,7,0,100
613761-07072012,Winter,7110,Office Hours,others,Week_ends,0,1,0,100
613911-07072012,Winter,1100,Office Hours,apartment,Week_ends,0,8,0,100
614644-08072012,Winter,1900,Cooking-time,shopping_mall,Week_ends,0,2,0,100
614656-08072012,Winter,6100,Night-time,office,Week_ends,0,10,0,100
614860-09072012,Winter,6200,Office Hours,hospital,Work_days,0,8,0,100
614907-09072012,Winter,6900,Office Hours,restaurant,Work_days,0,8,0,100
615681-10072012,Winter,6120,Cooking-time,office,Work_days,0,1,0,100
615997-11072012,Winter,6110,Cooking-time,industry_facility,Work_days,0,14,0,100
616653-12072012,Winter,6110,Cooking-time,shopping_mall,Work_days,0,9,0,100
616870-13072012,Winter,1900,Office Hours,public_facility,Work_days,0,1,0,100
617509-14072012,Winter,6100,Cooking-time,house,Week_ends,0,10,0,100
617530-14072012,Winter,6200,Cooking-time,school,Week_ends,0,5,0,100
617536-14072012,Winter,6100,Office Hours,shopping_mall,Week_ends,0,10,0,100
617575-14072012,Winter,6200,Office Hours,office,Week_ends,0,6,0,100
617624-14072012,Winter,1100,Cooking-time,public_facility,Week_ends,0,8,0,100
618017-15072012,Winter,6200,Office Hours,shopping_mall,Week_ends,0,13,0,100
618411-16072012,Winter,6200,Night-time,office,Work_days,0,8,0,100
618505-16072012,Winter,6200,Cooking-time,industry_facility,Work_days,0,9,0,100
618547-16072012,Winter,6110,Office Hours,hotel,Work_days,0,10,0,100
618723-16072012,Winter,0,Office Hours,others,Work_days,0,4,0,100
620110-19072012,Winter,1100,Office Hours,hotel,Work_days,0,7,0,100
620889-20072012,Winter,1100,Cooking-time,restaurant,Work_days,0,1,0,100
621071-21072012,Winter,6200,Night-time,office,Week_ends,0,3,0,100
621388-21072012,Winter,7110,Cooking-time,others,Week_ends,0,1,0,100
621551-21072012,Winter,6100,Night-time,tansport,Week_ends,0,9,0,100
621568-22072012,Winter,6110,Night-time,public_facility,Week_ends,0,8,0,100
621628-22072012,Winter,1200,Night-time,apartment,Week_ends,0,1,0,100
621642-22072012,Winter,1200,Cooking-time,apartment,Week_ends,0,1,0,100
622375-23072012,Winter,1100,Office Hours,tansport,Work_days,0,7,0,100
622533-24072012,Winter,1900,Night-time,others,Work_days,0,4,0,100
622537-24072012,Winter,1100,Night-time,house,Work_days,0,4,0,100
622650-24072012,Winter,6110,Office Hours,shopping_mall,Work_days,0,7,0,100
623010-25072012,Winter,1100,Night-time,school,Work_days,0,20,0,100
623214-25072012,Winter,1370,Cooking-time,others,Work_days,0,1,0,100
624312-27072012,Winter,6200,Office Hours,house,Work_days,0,6,0,100
624539-28072012,Winter,1100,Night-time,house,Week_ends,0,1,0,100
624540-28072012,Winter,6100,Night-time,house,Week_ends,0,4,0,100
624628-28072012,Winter,6990,Night-time,house,Week_ends,0,4,0,100
624874-28072012,Winter,6900,Office Hours,tansport,Week_ends,0,14,0,100
624908-28072012,Winter,6200,Office Hours,tansport,Week_ends,0,1,0,100
625668-30072012,Winter,0,Night-time,hospital,Work_days,0,2,0,100
626267-31072012,Winter,1120,Night-time,hotel,Work_days,0,2,0,100
626364-31072012,Winter,6110,Office Hours,industry_facility,Work_days,0,3,0,100
627055-01082012,Winter,1200,Office Hours,office,Work_days,0,1,0,100
627197-01082012,Winter,1200,Cooking-time,office,Work_days,0,4,0,100
627308-02082012,Winter,1200,Night-time,others,Work_days,0,2,0,100
627383-02082012,Winter,6100,Cooking-time,restaurant,Work_days,0,8,0,100
628745-04082012,Winter,6200,Office Hours,hospital,Week_ends,0,2,0,100
629258-04082012,Winter,6110,Cooking-time,rest_home,Week_ends,0,2,0,100
630369-06082012,Winter,7110,Office Hours,others,Work_days,0,2,0,100
630710-07082012,Winter,6100,Night-time,industry_facility,Work_days,0,18,0,100
631412-08082012,Winter,6100,Night-time,house,Work_days,0,13,0,100
634291-11082012,Winter,6110,Cooking-time,office,Week_ends,0,11,0,100
634407-11082012,Winter,6100,Office Hours,restaurant,Week_ends,0,2,0,100
634545-11082012,Winter,6900,Cooking-time,industry_facility,Week_ends,0,16,0,100
634746-11082012,Winter,6990,Night-time,restaurant,Week_ends,0,2,0,100
635333-12082012,Winter,6120,Cooking-time,industry_facility,Week_ends,0,2,0,100
637517-16082012,Winter,1190,Cooking-time,office,Work_days,0,1,0,100
638166-17082012,Winter,1900,Cooking-time,others,Work_days,0,10,0,100
639070-18082012,Winter,6200,Cooking-time,rest_home,Week_ends,0,12,0,100
639817-19082012,Winter,1100,Night-time,restaurant,Week_ends,0,2,0,100
639900-19082012,Winter,6200,Cooking-time,house,Week_ends,0,8,0,100
640261-19082012,Winter,6900,Office Hours,industry_facility,Week_ends,0,12,0,100
641482-21082012,Winter,1200,Cooking-time,apartment,Work_days,0,1,0,100
642032-22082012,Winter,0,Office Hours,apartment,Work_days,0,1,0,100
644239-25082012,Winter,1120,Cooking-time,apartment,Week_ends,0,1,0,100
644555-25082012,Winter,6100,Office Hours,house,Week_ends,0,4,0,100
645111-26082012,Winter,6110,Office Hours,hospital,Week_ends,0,3,0,100
649184-01092012,Spring,1900,Night-time,others,Week_ends,0,2,0,100
649218-01092012,Spring,6200,Night-time,others,Week_ends,0,25,0,100
649241-01092012,Spring,1100,Night-time,office,Week_ends,0,11,0,100
649274-01092012,Spring,6100,Night-time,apartment,Week_ends,0,50,0,100
649287-01092012,Spring,1900,Night-time,industry_facility,Week_ends,0,1,0,100
649288-01092012,Spring,1120,Night-time,others,Week_ends,0,4,0,100
649290-01092012,Spring,6990,Night-time,office,Week_ends,0,49,0,100
649297-01092012,Spring,6990,Night-time,hotel,Week_ends,0,98,0,100
649308-01092012,Spring,6990,Night-time,hospital,Week_ends,0,31,0,100
649311-01092012,Spring,6100,Night-time,tansport,Week_ends,0,18,0,100
649314-01092012,Spring,1100,Cooking-time,restaurant,Week_ends,0,3,0,100
649318-01092012,Spring,1100,Cooking-time,office,Week_ends,0,6,0,100
649336-01092012,Spring,6990,Cooking-time,public_facility,Week_ends,0,111,0,100
649472-01092012,Spring,1100,Office Hours,hotel,Week_ends,0,1,0,100
649485-01092012,Spring,6100,Office Hours,hospital,Week_ends,0,52,0,100
649491-01092012,Spring,6990,Office Hours,public_facility,Week_ends,0,51,0,100
649564-01092012,Spring,6100,Cooking-time,tansport,Week_ends,0,19,0,100
649637-01092012,Spring,6110,Cooking-time,office,Week_ends,0,7,0,100
649644-01092012,Spring,6290,Cooking-time,school,Week_ends,0,1,0,100
649653-01092012,Spring,6900,Office Hours,hospital,Week_ends,0,43,0,100
649819-01092012,Spring,1100,Office Hours,apartment,Week_ends,0,9,0,100
649822-01092012,Spring,6110,Office Hours,rest_home,Week_ends,0,2,0,100
649839-01092012,Spring,6900,Office Hours,public_facility,Week_ends,0,40,0,100
649863-01092012,Spring,6100,Cooking-time,hotel,Week_ends,0,61,0,100
650022-01092012,Spring,6990,Cooking-time,restaurant,Week_ends,0,3,0,100
650023-01092012,Spring,6110,Cooking-time,hotel,Week_ends,0,9,0,100
650115-02092012,Spring,6900,Night-time,public_facility,Week_ends,0,34,0,100
650166-02092012,Spring,6100,Night-time,hospital,Week_ends,0,56,0,100
650351-02092012,Spring,6990,Office Hours,apartment,Week_ends,0,113,0,100
650413-02092012,Spring,6200,Office Hours,public_facility,Week_ends,0,9,0,100
650467-02092012,Spring,6990,Cooking-time,tansport,Week_ends,0,2,0,100
650581-02092012,Spring,6100,Office Hours,tansport,Week_ends,0,6,0,100
650601-02092012,Spring,6990,Office Hours,school,Week_ends,0,27,0,100
650651-02092012,Spring,6990,Office Hours,tansport,Week_ends,0,4,0,100
