incident_number,season,alarm_type,repeat_count,build_type,true_alarm,false_alarm,true_percentage,false_percentage
019108-19012013,Summer,6200,1,tansport,0,2,0,100
019932-20012013,Summer,1120,0,apartment,0,2,0,100
020161-20012013,Summer,1200,0,public_facility,0,1,0,100
020266-21012013,Summer,6100,2,school,0,17,0,100
021195-22012013,Summer,1900,0,shopping_mall,0,3,0,100
021779-22012013,Summer,6110,1,office,0,6,0,100
021862-23012013,Summer,0,0,rest_home,0,2,0,100
021875-23012013,Summer,1100,1,industry_facility,0,2,0,100
021967-23012013,Summer,6900,1,restaurant,0,4,0,100
023637-25012013,Summer,6200,2,school,0,4,0,100
024385-26012013,Summer,6900,4,apartment,0,1,0,100
024515-26012013,Summer,6900,5,apartment,0,1,0,100
025990-27012013,Summer,6990,4,others,0,6,0,100
026282-28012013,Summer,6990,5,others,0,2,0,100
026452-28012013,Summer,6200,1,rest_home,0,9,0,100
026475-28012013,Summer,6990,6,others,0,1,0,100
026598-28012013,Summer,6990,7,others,0,1,0,100
026751-28012013,Summer,1100,2,apartment,0,3,0,100
026828-28012013,Summer,1100,3,apartment,0,1,0,100
026854-28012013,Summer,1100,4,apartment,0,1,0,100
026928-28012013,Summer,6110,3,others,0,4,0,100
026943-28012013,Summer,1100,5,apartment,0,1,0,100
027075-28012013,Summer,6110,4,others,0,3,0,100
027209-29012013,Summer,6990,8,others,0,1,0,100
027216-29012013,Summer,6990,9,others,0,1,0,100
027344-29012013,Summer,6100,3,school,0,8,0,100
027349-29012013,Summer,6110,5,others,0,1,0,100
027365-29012013,Summer,1100,1,hospital,0,6,0,100
027385-29012013,Summer,6110,1,rest_home,0,4,0,100
027414-29012013,Summer,6110,6,others,0,1,0,100
027435-29012013,Summer,1100,3,shopping_mall,0,2,0,100
027507-29012013,Summer,6900,3,house,0,1,0,100
027623-29012013,Summer,6900,3,hospital,0,6,0,100
027804-29012013,Summer,6200,2,hotel,0,3,0,100
027807-29012013,Summer,6100,4,school,0,5,0,100
027973-29012013,Summer,6990,3,hospital,0,5,0,100
028066-29012013,Summer,6900,2,restaurant,0,3,0,100
028645-31012013,Summer,0,0,school,0,3,0,100
029376-01022013,Summer,6900,3,office,0,2,0,100
030238-02022013,Summer,6990,4,apartment,0,3,0,100
030247-02022013,Summer,6990,5,apartment,0,2,0,100
030360-02022013,Summer,6990,6,apartment,0,2,0,100
030431-02022013,Summer,6990,7,apartment,0,2,0,100
030460-03022013,Summer,6990,8,apartment,0,2,0,100
030596-03022013,Summer,6900,2,industry_facility,0,8,0,100
032213-06022013,Summer,1100,1,tansport,0,3,0,100
032291-06022013,Summer,6110,1,hospital,0,6,0,100
035262-11022013,Summer,6200,3,hotel,0,1,0,100
035613-12022013,Summer,6100,3,industry_facility,0,1,0,100
036749-14022013,Summer,6200,2,office,0,1,0,100
038900-18022013,Summer,6990,4,shopping_mall,0,5,0,100
039342-19022013,Summer,6100,2,hotel,0,9,0,100
039418-19022013,Summer,6100,2,tansport,0,4,0,100
040834-21022013,Summer,6900,3,tansport,0,3,0,100
040956-21022013,Summer,6900,4,tansport,0,1,0,100
041081-22022013,Summer,6900,5,tansport,0,1,0,100
041085-22022013,Summer,6900,6,tansport,0,1,0,100
041680-22022013,Summer,6900,7,tansport,0,1,0,100
043437-24022013,Summer,1100,0,restaurant,0,7,0,100
044087-24022013,Summer,6900,3,restaurant,0,1,0,100
044405-25022013,Summer,6900,3,hotel,0,1,0,100
044456-25022013,Summer,6100,5,hospital,0,3,0,100
045430-27022013,Summer,6100,3,public_facility,0,1,0,100
046402-28022013,Summer,6900,4,hospital,0,1,0,100
046419-28022013,Summer,6990,3,office,0,7,0,100
046479-01032013,Autumn,6900,1,rest_home,0,95,0,100
046503-01032013,Autumn,6900,2,others,0,81,0,100
046535-01032013,Autumn,6100,2,school,0,24,0,100
046596-01032013,Autumn,6200,1,rest_home,0,17,0,100
046716-01032013,Autumn,6100,1,rest_home,0,84,0,100
046730-01032013,Autumn,6990,1,office,0,81,0,100
046741-01032013,Autumn,6200,1,others,0,32,0,100
046758-01032013,Autumn,6200,0,public_facility,0,88,0,100
046882-01032013,Autumn,1120,0,industry_facility,0,7,0,100
046897-01032013,Autumn,6990,1,rest_home,0,70,0,100
046974-01032013,Autumn,6100,1,hotel,0,59,0,100
047025-01032013,Autumn,6110,0,rest_home,0,26,0,100
047057-02032013,Autumn,6100,2,others,0,65,0,100
047191-02032013,Autumn,6900,1,hospital,0,112,0,100
047193-02032013,Autumn,6100,3,others,0,21,0,100
047238-02032013,Autumn,6900,2,hospital,0,24,0,100
047468-02032013,Autumn,6990,0,restaurant,0,22,0,100
047481-02032013,Autumn,6100,1,industry_facility,0,7,0,100
047509-02032013,Autumn,6100,2,hospital,0,39,0,100
047513-02032013,Autumn,6990,1,restaurant,0,3,0,100
047552-02032013,Autumn,6110,1,rest_home,0,3,0,100
047561-02032013,Autumn,1120,0,hotel,0,4,0,100
047562-02032013,Autumn,6900,1,hotel,0,59,0,100
047574-02032013,Autumn,1120,1,hotel,0,1,0,100
047594-02032013,Autumn,6990,2,hotel,0,20,0,100
047655-03032013,Autumn,6200,1,office,0,11,0,100
047658-03032013,Autumn,6990,3,hotel,0,4,0,100
047701-03032013,Autumn,6110,1,office,0,18,0,100
047904-03032013,Autumn,6200,1,hospital,0,7,0,100
048078-03032013,Autumn,1100,1,house,0,2,0,100
048199-04032013,Autumn,6990,1,hospital,0,92,0,100
048256-04032013,Autumn,6200,0,industry_facility,0,27,0,100
048286-04032013,Autumn,6100,1,shopping_mall,0,45,0,100
048338-04032013,Autumn,6110,1,school,0,70,0,100
048434-04032013,Autumn,6200,1,industry_facility,0,2,0,100
048440-04032013,Autumn,1100,0,rest_home,0,38,0,100
048548-04032013,Autumn,6100,2,hotel,0,5,0,100
048556-04032013,Autumn,6990,2,shopping_mall,0,37,0,100
048618-04032013,Autumn,6100,2,shopping_mall,0,13,0,100
048662-05032013,Autumn,6990,3,hospital,0,11,0,100
048677-05032013,Autumn,6200,2,industry_facility,0,1,0,100
048928-05032013,Autumn,6900,1,public_facility,0,61,0,100
049002-05032013,Autumn,6200,3,industry_facility,0,1,0,100
049037-05032013,Autumn,1100,0,hospital,0,32,0,100
049055-05032013,Autumn,1100,1,hospital,0,5,0,100
049154-06032013,Autumn,1100,2,hospital,0,2,0,100
049181-06032013,Autumn,1100,3,hospital,0,1,0,100
049620-06032013,Autumn,6900,0,restaurant,0,51,0,100
049624-06032013,Autumn,6200,1,hotel,0,10,0,100
049671-07032013,Autumn,6200,2,hotel,0,1,0,100
049733-07032013,Autumn,1100,0,tansport,0,21,0,100
049753-07032013,Autumn,6990,2,apartment,0,36,0,100
049765-07032013,Autumn,6200,1,shopping_mall,0,29,0,100
049969-07032013,Autumn,1120,0,office,0,14,0,100
050325-08032013,Autumn,6900,1,shopping_mall,0,58,0,100
050331-08032013,Autumn,1100,1,others,0,63,0,100
050518-08032013,Autumn,6990,0,tansport,0,56,0,100
050615-08032013,Autumn,1100,1,apartment,0,15,0,100
050635-08032013,Autumn,6900,1,office,0,43,0,100
050658-08032013,Autumn,1100,2,apartment,0,4,0,100
050954-09032013,Autumn,1100,1,public_facility,0,3,0,100
051037-09032013,Autumn,6110,1,apartment,0,11,0,100
051038-09032013,Autumn,6110,0,industry_facility,0,27,0,100
051287-09032013,Autumn,6200,1,public_facility,0,10,0,100
051549-10032013,Autumn,6110,2,school,0,30,0,100
051667-10032013,Autumn,6100,3,hospital,0,10,0,100
051740-10032013,Autumn,6200,2,shopping_mall,0,7,0,100
052076-11032013,Autumn,6110,0,hospital,0,29,0,100
052187-11032013,Autumn,1200,0,apartment,0,2,0,100
053948-14032013,Autumn,1900,0,apartment,0,9,0,100
054025-14032013,Autumn,6990,3,others,0,22,0,100
054119-15032013,Autumn,6900,1,tansport,0,32,0,100
054130-15032013,Autumn,6990,4,others,0,7,0,100
054140-15032013,Autumn,6990,1,school,0,59,0,100
054471-15032013,Autumn,6200,1,apartment,0,37,0,100
054698-16032013,Autumn,6990,5,others,0,2,0,100
054702-16032013,Autumn,6990,6,others,0,2,0,100
054713-16032013,Autumn,6990,7,others,0,1,0,100
054727-16032013,Autumn,6990,8,others,0,1,0,100
054752-16032013,Autumn,6990,9,others,0,1,0,100
054928-16032013,Autumn,6990,10,others,0,1,0,100
054988-16032013,Autumn,6990,11,others,0,1,0,100
055001-16032013,Autumn,6990,12,others,0,1,0,100
055016-16032013,Autumn,6990,13,others,0,1,0,100
055058-16032013,Autumn,6990,14,others,0,1,0,100
055073-16032013,Autumn,6990,15,others,0,1,0,100
055889-18032013,Autumn,6200,1,school,0,19,0,100
055927-18032013,Autumn,6100,0,restaurant,0,17,0,100
056431-19032013,Autumn,1200,0,public_facility,0,1,0,100
056478-19032013,Autumn,6110,3,school,0,7,0,100
056616-19032013,Autumn,6110,4,school,0,5,0,100
056620-19032013,Autumn,6110,1,public_facility,0,15,0,100
056631-19032013,Autumn,6110,2,public_facility,0,2,0,100
056702-19032013,Autumn,6110,5,school,0,4,0,100
057099-20032013,Autumn,6200,0,house,0,13,0,100
057285-20032013,Autumn,6110,6,school,0,4,0,100
057618-21032013,Autumn,6100,1,office,0,27,0,100
057640-21032013,Autumn,6100,2,office,0,4,0,100
057832-21032013,Autumn,6100,0,house,0,85,0,100
058880-22032013,Autumn,6900,2,school,0,31,0,100
059230-23032013,Autumn,6900,2,rest_home,0,15,0,100
059360-23032013,Autumn,6110,7,school,0,2,0,100
059426-23032013,Autumn,6990,2,rest_home,0,10,0,100
059625-24032013,Autumn,6110,8,others,0,1,0,100
059683-24032013,Autumn,6900,2,hotel,0,10,0,100
061389-26032013,Autumn,6120,0,industry_facility,0,6,0,100
061985-27032013,Autumn,1120,0,hospital,0,4,0,100
062819-28032013,Autumn,6990,3,apartment,0,6,0,100
063767-30032013,Autumn,6100,1,tansport,0,13,0,100
063798-30032013,Autumn,6100,2,rest_home,0,12,0,100
063896-30032013,Autumn,6210,0,office,0,10,0,100
063932-30032013,Autumn,6990,3,shopping_mall,0,6,0,100
063962-30032013,Autumn,6100,4,others,0,7,0,100
064182-30032013,Autumn,6900,2,shopping_mall,0,10,0,100
064267-31032013,Autumn,6210,1,office,0,3,0,100
064340-31032013,Autumn,6210,2,office,0,1,0,100
064759-31032013,Autumn,6900,3,hotel,0,1,0,100
064798-01042013,Autumn,1100,1,hotel,0,4,0,100
064806-01042013,Autumn,6900,4,hotel,0,1,0,100
064850-01042013,Autumn,6900,5,hotel,0,1,0,100
066106-03042013,Autumn,6200,0,tansport,0,11,0,100
066157-03042013,Autumn,6110,2,office,0,7,0,100
066568-04042013,Autumn,1100,2,shopping_mall,0,6,0,100
066581-04042013,Autumn,1100,2,school,0,9,0,100
066970-04042013,Autumn,1100,3,school,0,3,0,100
066998-04042013,Autumn,1100,4,school,0,1,0,100
067018-04042013,Autumn,1100,5,school,0,1,0,100
067048-05042013,Autumn,1100,6,school,0,1,0,100
067362-05042013,Autumn,1100,7,school,0,1,0,100
067702-06042013,Autumn,6100,2,public_facility,0,11,0,100
067780-06042013,Autumn,1100,8,school,0,1,0,100
067861-06042013,Autumn,6990,2,office,0,15,0,100
068906-08042013,Autumn,6990,2,house,0,2,0,100
068914-08042013,Autumn,6900,3,others,0,21,0,100
069377-09042013,Autumn,6200,0,restaurant,0,1,0,100
069435-09042013,Autumn,1120,1,others,0,4,0,100
069973-10042013,Autumn,6900,1,restaurant,0,5,0,100
070076-10042013,Autumn,6200,2,office,0,2,0,100
072197-14042013,Autumn,6900,3,school,0,8,0,100
072209-14042013,Autumn,6900,4,school,0,3,0,100
072210-14042013,Autumn,0,0,school,0,2,0,100
072219-14042013,Autumn,6900,5,school,0,2,0,100
072657-14042013,Autumn,6100,3,shopping_mall,0,1,0,100
072666-14042013,Autumn,6100,4,shopping_mall,0,1,0,100
073278-15042013,Autumn,6990,2,school,0,9,0,100
074076-17042013,Autumn,0,0,house,0,1,0,100
074096-17042013,Autumn,0,0,hotel,0,1,0,100
074592-18042013,Autumn,1170,0,others,0,2,0,100
075166-18042013,Autumn,6200,2,school,0,3,0,100
075807-19042013,Autumn,6200,2,public_facility,0,1,0,100
075831-19042013,Autumn,6200,3,public_facility,0,1,0,100
077506-22042013,Autumn,6900,3,house,0,1,0,100
077761-23042013,Autumn,6900,2,public_facility,0,11,0,100
078151-24042013,Autumn,1100,2,others,0,15,0,100
078849-25042013,Autumn,6100,2,apartment,0,13,0,100
078958-25042013,Autumn,6200,3,school,0,2,0,100
080558-27042013,Autumn,6990,1,house,0,8,0,100
080646-28042013,Autumn,6110,1,industry_facility,0,7,0,100
081232-28042013,Autumn,6100,1,house,0,10,0,100
081856-29042013,Autumn,6110,2,industry_facility,0,1,0,100
082320-30042013,Autumn,6110,2,rest_home,0,2,0,100
082588-01052013,Autumn,6110,3,rest_home,0,2,0,100
082702-01052013,Autumn,0,0,public_facility,0,3,0,100
083597-03052013,Autumn,0,0,apartment,0,4,0,100
083785-03052013,Autumn,1900,1,others,0,2,0,100
085090-05052013,Autumn,6100,3,apartment,0,3,0,100
086637-08052013,Autumn,6990,4,hospital,0,4,0,100
086882-08052013,Autumn,1200,0,others,0,12,0,100
087607-09052013,Autumn,6100,2,tansport,0,3,0,100
087617-09052013,Autumn,6100,3,tansport,0,1,0,100
088423-10052013,Autumn,6900,2,tansport,0,4,0,100
089310-12052013,Autumn,6900,1,house,0,6,0,100
089369-12052013,Autumn,6100,1,restaurant,0,2,0,100
089902-12052013,Autumn,6990,1,tansport,0,7,0,100
093800-19052013,Autumn,6900,3,apartment,0,7,0,100
094325-20052013,Autumn,6900,4,apartment,0,7,0,100
094368-20052013,Autumn,6900,5,apartment,0,4,0,100
094376-20052013,Autumn,6900,2,office,0,8,0,100
094407-20052013,Autumn,6900,6,apartment,0,3,0,100
095007-21052013,Autumn,6200,3,shopping_mall,0,3,0,100
095050-21052013,Autumn,6200,4,shopping_mall,0,1,0,100
095915-22052013,Autumn,1100,1,rest_home,0,2,0,100
096809-24052013,Autumn,0,0,hospital,0,1,0,100
096952-24052013,Autumn,6900,7,apartment,0,1,0,100
097259-25052013,Autumn,6110,0,shopping_mall,0,17,0,100
097298-25052013,Autumn,6900,8,apartment,0,1,0,100
099032-28052013,Autumn,6200,1,house,0,2,0,100
099348-28052013,Autumn,7110,1,public_facility,0,2,0,100
099356-28052013,Autumn,6110,2,apartment,0,2,0,100
099929-29052013,Autumn,6900,2,house,0,1,0,100
100692-31052013,Autumn,6990,2,tansport,0,1,0,100
101012-31052013,Autumn,6900,3,office,0,2,0,100
101032-01062013,Winter,6900,4,office,0,1,0,100
101194-01062013,Winter,6110,3,others,0,4,0,100
101690-02062013,Winter,6100,1,restaurant,0,3,0,100
102114-03062013,Winter,1200,0,public_facility,0,2,0,100
102273-03062013,Winter,6100,2,office,0,6,0,100
102451-04062013,Winter,1200,1,public_facility,0,1,0,100
102762-04062013,Winter,1200,2,public_facility,0,1,0,100
103029-05062013,Winter,6110,0,house,0,6,0,100
103553-06062013,Winter,6200,2,hospital,0,2,0,100
104010-07062013,Winter,1170,0,others,0,2,0,100
107115-12062013,Winter,7110,1,public_facility,0,4,0,100
107254-13062013,Winter,1120,0,office,0,6,0,100
107282-13062013,Winter,6900,4,hospital,0,5,0,100
107784-14062013,Winter,1100,1,rest_home,0,3,0,100
108205-15062013,Winter,1100,3,apartment,0,3,0,100
108226-15062013,Winter,1100,4,apartment,0,3,0,100
108877-16062013,Winter,6290,1,school,0,1,0,100
109962-18062013,Winter,6200,2,hotel,0,1,0,100
110364-19062013,Winter,6200,3,hotel,0,1,0,100
111340-21062013,Winter,6990,1,restaurant,0,3,0,100
111672-21062013,Winter,6990,3,industry_facility,0,1,0,100
111802-22062013,Winter,1100,5,apartment,0,2,0,100
112824-23062013,Winter,1100,1,hotel,0,4,0,100
112978-24062013,Winter,6900,3,hotel,0,4,0,100
113001-24062013,Winter,6900,4,others,0,6,0,100
113008-24062013,Winter,6990,5,office,0,1,0,100
113203-24062013,Winter,1100,1,tansport,0,1,0,100
113383-24062013,Winter,6900,2,tansport,0,4,0,100
113849-25062013,Winter,6210,0,office,0,2,0,100
114006-25062013,Winter,6110,4,school,0,2,0,100
114037-25062013,Winter,6110,5,school,0,1,0,100
114251-26062013,Winter,6900,1,house,0,12,0,100
115124-27062013,Winter,6900,3,tansport,0,1,0,100
116149-29062013,Winter,1100,3,school,0,1,0,100
116200-30062013,Winter,1100,4,school,0,1,0,100
116329-30062013,Winter,6100,2,public_facility,0,7,0,100
117201-02072013,Winter,1200,0,others,0,3,0,100
118101-03072013,Winter,6990,7,others,0,4,0,100
118369-04072013,Winter,6990,8,others,0,3,0,100
118473-04072013,Winter,6990,9,others,0,1,0,100
120009-07072013,Winter,1120,0,hospital,0,3,0,100
121537-09072013,Winter,6900,3,school,0,7,0,100
121869-10072013,Winter,8990,0,others,0,1,0,100
123496-13072013,Winter,6200,2,apartment,0,2,0,100
127516-21072013,Winter,6900,3,rest_home,0,1,0,100
128512-23072013,Winter,6200,1,house,0,6,0,100
128555-23072013,Winter,6900,2,house,0,1,0,100
129496-24072013,Winter,6200,2,office,0,1,0,100
132959-30072013,Winter,6900,2,industry_facility,0,2,0,100
141953-14082013,Winter,6990,1,tansport,0,4,0,100
142661-15082013,Winter,6990,2,tansport,0,1,0,100
143708-17082013,Winter,6990,4,hospital,0,2,0,100
144984-19082013,Winter,6990,2,house,0,4,0,100
147889-23082013,Winter,6990,5,hospital,0,1,0,100
152318-29082013,Winter,6110,1,shopping_mall,0,3,0,100
152761-30082013,Winter,6110,2,shopping_mall,0,1,0,100
155150-01092013,Spring,1100,1,tansport,0,3,0,100
158707-07092013,Spring,1100,1,restaurant,0,1,0,100
162869-11092013,Spring,6210,0,office,0,5,0,100
163603-12092013,Spring,1120,0,apartment,0,3,0,100
165023-13092013,Spring,1120,0,office,0,5,0,100
167749-18092013,Spring,6900,2,restaurant,0,1,0,100
168354-19092013,Spring,6990,1,tansport,0,4,0,100
168634-20092013,Spring,6990,2,school,0,3,0,100
168692-20092013,Spring,6990,2,tansport,0,1,0,100
169201-20092013,Spring,6100,3,public_facility,0,3,0,100
171327-23092013,Spring,0,0,office,0,5,0,100
171621-24092013,Spring,6200,2,apartment,0,3,0,100
172341-25092013,Spring,6200,3,apartment,0,2,0,100
172401-25092013,Spring,6200,4,apartment,0,2,0,100
174879-27092013,Spring,1200,0,shopping_mall,0,2,0,100
177485-29092013,Spring,6900,2,tansport,0,2,0,100
179947-02102013,Spring,1100,3,office,0,2,0,100
180067-02102013,Spring,1100,4,office,0,1,0,100
181039-03102013,Spring,6110,1,hotel,0,5,0,100
182916-06102013,Spring,6990,3,hotel,0,3,0,100
191734-15102013,Spring,1120,1,hospital,0,1,0,100
199063-20102013,Spring,6200,2,public_facility,0,1,0,100
199300-20102013,Spring,6200,2,rest_home,0,1,0,100
202740-23102013,Spring,6990,5,hospital,0,1,0,100
203013-23102013,Spring,6990,6,hospital,0,1,0,100
203398-24102013,Spring,6990,7,hospital,0,1,0,100
207373-28102013,Spring,6200,1,industry_facility,0,1,0,100
208469-29102013,Spring,6200,2,industry_facility,0,1,0,100
209011-30102013,Spring,1100,3,public_facility,0,1,0,100
209013-30102013,Spring,1100,4,public_facility,0,1,0,100
209014-30102013,Spring,1100,5,public_facility,0,1,0,100
209016-30102013,Spring,1100,6,public_facility,0,1,0,100
209018-30102013,Spring,1100,7,public_facility,0,1,0,100
209019-30102013,Spring,1100,8,public_facility,0,1,0,100
209020-30102013,Spring,1100,9,public_facility,0,1,0,100
209021-30102013,Spring,1100,10,public_facility,0,1,0,100
209022-30102013,Spring,1100,11,public_facility,0,1,0,100
209023-30102013,Spring,1100,12,public_facility,0,1,0,100
209024-30102013,Spring,1100,13,public_facility,0,1,0,100
209025-30102013,Spring,1100,14,public_facility,0,1,0,100
209026-30102013,Spring,1100,15,public_facility,0,1,0,100
209027-30102013,Spring,1100,16,public_facility,0,1,0,100
209028-30102013,Spring,1100,17,public_facility,0,1,0,100
209029-30102013,Spring,1100,18,public_facility,0,1,0,100
209030-30102013,Spring,1100,19,public_facility,0,1,0,100
209031-30102013,Spring,1100,20,public_facility,0,1,0,100
209032-30102013,Spring,1100,21,public_facility,0,1,0,100
209033-30102013,Spring,1100,22,public_facility,0,1,0,100
209034-30102013,Spring,1100,23,public_facility,0,1,0,100
209035-30102013,Spring,1100,24,public_facility,0,1,0,100
209036-30102013,Spring,1100,25,public_facility,0,1,0,100
209037-30102013,Spring,1100,26,public_facility,0,1,0,100
209038-30102013,Spring,1100,27,public_facility,0,1,0,100
209039-30102013,Spring,1100,28,public_facility,0,1,0,100
209040-30102013,Spring,1100,29,public_facility,0,1,0,100
209041-30102013,Spring,1100,30,public_facility,0,1,0,100
209042-30102013,Spring,1100,31,public_facility,0,1,0,100
209043-30102013,Spring,1100,32,public_facility,0,1,0,100
209044-30102013,Spring,1100,33,public_facility,0,1,0,100
209045-30102013,Spring,1100,34,public_facility,0,1,0,100
209046-30102013,Spring,1100,35,public_facility,0,1,0,100
209047-30102013,Spring,1100,36,public_facility,0,1,0,100
209048-30102013,Spring,1100,37,public_facility,0,1,0,100
209049-30102013,Spring,1100,38,public_facility,0,1,0,100
209050-30102013,Spring,1100,39,public_facility,0,1,0,100
209051-30102013,Spring,1100,40,public_facility,0,1,0,100
209052-30102013,Spring,1100,41,public_facility,0,1,0,100
209053-30102013,Spring,1100,42,public_facility,0,1,0,100
209054-30102013,Spring,1100,43,public_facility,0,1,0,100
209064-30102013,Spring,1100,44,public_facility,0,1,0,100
209067-30102013,Spring,1100,45,public_facility,0,1,0,100
209562-31102013,Spring,1900,2,others,0,1,0,100
209563-31102013,Spring,1900,3,others,0,1,0,100
209564-31102013,Spring,1900,4,others,0,1,0,100
209565-31102013,Spring,1900,5,others,0,1,0,100
209566-31102013,Spring,1900,6,others,0,1,0,100
209567-31102013,Spring,1900,7,others,0,1,0,100
209568-31102013,Spring,1900,8,others,0,1,0,100
209569-31102013,Spring,1900,9,others,0,1,0,100
209570-31102013,Spring,1900,10,others,0,1,0,100
209606-31102013,Spring,6900,5,others,0,3,0,100
209608-31102013,Spring,6900,6,others,0,3,0,100
209611-31102013,Spring,6900,7,others,0,1,0,100
209615-31102013,Spring,6900,8,others,0,1,0,100
210965-02112013,Spring,6120,1,others,0,1,0,100
211330-02112013,Spring,1100,3,apartment,0,1,0,100
211909-03112013,Spring,6990,5,others,0,4,0,100
212178-03112013,Spring,6990,6,others,0,1,0,100
216255-07112013,Spring,6100,2,office,0,2,0,100
217065-08112013,Spring,6100,3,office,0,1,0,100
220396-12112013,Spring,1120,0,public_facility,0,1,0,100
220951-13112013,Spring,6900,2,industry_facility,0,3,0,100
220961-13112013,Spring,6900,3,industry_facility,0,1,0,100
226749-22112013,Spring,1100,1,rest_home,0,2,0,100
229367-28112013,Spring,1100,2,school,0,2,0,100
231150-01122013,Summer,6990,2,industry_facility,0,5,0,100
231794-02122013,Summer,6990,3,public_facility,0,2,0,100
232699-03122013,Summer,1100,2,tansport,0,3,0,100
232710-03122013,Summer,6110,2,rest_home,0,1,0,100
234686-06122013,Summer,1200,0,hotel,0,1,0,100
234780-06122013,Summer,1200,1,hotel,0,1,0,100
235343-07122013,Summer,1200,2,hotel,0,1,0,100
235854-08122013,Summer,1200,3,hotel,0,1,0,100
236069-08122013,Summer,1200,4,hotel,0,1,0,100
236189-09122013,Summer,6100,3,hotel,0,1,0,100
236726-09122013,Summer,1200,5,hotel,0,1,0,100
236786-09122013,Summer,1200,6,hotel,0,1,0,100
241556-17122013,Summer,6120,0,office,0,1,0,100
242332-18122013,Summer,6110,1,industry_facility,0,6,0,100
242942-19122013,Summer,6990,5,shopping_mall,0,2,0,100
243911-20122013,Summer,6200,2,apartment,0,2,0,100
006453-10012014,Summer,1100,2,office,0,3,0,100
007596-12012014,Summer,6100,3,rest_home,0,3,0,100
008699-14012014,Summer,6110,2,industry_facility,0,3,0,100
009261-15012014,Summer,6110,3,industry_facility,0,2,0,100
009812-16012014,Summer,6100,4,apartment,0,1,0,100
009964-16012014,Summer,6210,0,office,0,2,0,100
017528-26012014,Summer,6200,2,others,0,2,0,100
020757-31012014,Summer,6990,2,tansport,0,3,0,100
022764-03022014,Summer,0,0,hotel,0,2,0,100
025120-06022014,Summer,0,0,industry_facility,0,1,0,100
026045-08022014,Summer,6990,1,tansport,0,7,0,100
028073-10022014,Summer,7110,0,others,0,4,0,100
031535-15022014,Summer,0,0,shopping_mall,0,1,0,100
032701-17022014,Summer,7110,1,public_facility,0,2,0,100
034641-20022014,Summer,6900,9,others,0,1,0,100
035151-21022014,Summer,6900,10,others,0,1,0,100
035310-22022014,Summer,1100,2,hospital,0,1,0,100
036305-24022014,Summer,1120,1,office,0,1,0,100
036693-24022014,Summer,1120,1,apartment,0,1,0,100
037114-25022014,Summer,2270,0,others,0,1,0,100
037864-27022014,Summer,0,0,public_facility,0,1,0,100
038323-27022014,Summer,7110,1,others,0,1,0,100
038821-28022014,Summer,6200,3,others,0,1,0,100
040814-04032014,Autumn,6110,1,shopping_mall,0,1,0,100
041600-05032014,Autumn,6900,5,others,0,5,0,100
041695-06032014,Autumn,6900,6,others,0,1,0,100
043487-09032014,Autumn,1120,0,apartment,0,2,0,100
045242-12032014,Autumn,6990,3,tansport,0,1,0,100
045647-13032014,Autumn,6200,2,apartment,0,2,0,100
046168-14032014,Autumn,6100,3,rest_home,0,3,0,100
046229-14032014,Autumn,6100,4,rest_home,0,1,0,100
048676-17032014,Autumn,0,0,rest_home,0,2,0,100
049093-18032014,Autumn,6120,0,others,0,2,0,100
053013-25032014,Autumn,1900,0,public_facility,0,2,0,100
053661-26032014,Autumn,6990,3,house,0,1,0,100
053850-26032014,Autumn,6100,3,hotel,0,1,0,100
053866-26032014,Autumn,6900,3,rest_home,0,3,0,100
054532-28032014,Autumn,6990,3,public_facility,0,2,0,100
057040-01042014,Autumn,1100,0,restaurant,0,4,0,100
058200-03042014,Autumn,6900,3,hospital,0,4,0,100
060698-08042014,Autumn,6990,5,hospital,0,1,0,100
062374-12042014,Autumn,1100,1,office,0,3,0,100
062375-12042014,Autumn,1110,0,others,0,1,0,100
062557-12042014,Autumn,1100,2,office,0,2,0,100
062782-12042014,Autumn,6110,2,others,0,4,0,100
064479-16042014,Autumn,6100,3,public_facility,0,3,0,100
064669-16042014,Autumn,6100,4,public_facility,0,1,0,100
067061-21042014,Autumn,6200,2,others,0,5,0,100
067569-22042014,Autumn,6200,3,others,0,2,0,100
067583-22042014,Autumn,6200,4,others,0,2,0,100
068080-23042014,Autumn,6200,5,others,0,2,0,100
068559-23042014,Autumn,1900,1,apartment,0,1,0,100
068825-24042014,Autumn,6900,3,tansport,0,1,0,100
071650-29042014,Autumn,0,0,shopping_mall,0,1,0,100
073908-04052014,Autumn,1100,3,shopping_mall,0,1,0,100
074339-05052014,Autumn,1100,4,shopping_mall,0,1,0,100
074369-05052014,Autumn,1100,5,shopping_mall,0,1,0,100
074415-05052014,Autumn,6900,3,public_facility,0,3,0,100
074475-05052014,Autumn,6200,2,rest_home,0,1,0,100
074689-05052014,Autumn,1100,6,shopping_mall,0,1,0,100
074858-05052014,Autumn,6900,4,public_facility,0,3,0,100
074953-06052014,Autumn,6200,3,rest_home,0,1,0,100
074962-06052014,Autumn,1100,7,shopping_mall,0,1,0,100
074972-06052014,Autumn,6900,5,public_facility,0,3,0,100
074995-06052014,Autumn,6900,6,public_facility,0,2,0,100
075007-06052014,Autumn,6900,7,public_facility,0,2,0,100
075421-06052014,Autumn,1100,8,shopping_mall,0,1,0,100
075447-07052014,Autumn,1100,9,shopping_mall,0,1,0,100
075454-07052014,Autumn,1100,10,shopping_mall,0,1,0,100
