incident_number,season,alarm_type,repeat_count,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
610471-01072012,Winter,1100,2,school,Week_ends,0,5,0,100
610836-01072012,Winter,0,1,industry_facility,Week_ends,0,1,0,100
611237-02072012,Winter,6200,1,apartment,Work_days,0,17,0,100
611252-02072012,Winter,6100,1,school,Work_days,0,44,0,100
611309-02072012,Winter,6900,2,office,Work_days,0,2,0,100
611320-02072012,Winter,6120,0,industry_facility,Work_days,0,6,0,100
611321-02072012,Winter,1170,0,industry_facility,Work_days,0,2,0,100
611333-02072012,Winter,6900,2,apartment,Work_days,0,16,0,100
611403-03072012,Winter,6900,3,apartment,Work_days,0,6,0,100
611408-03072012,Winter,6120,1,industry_facility,Work_days,0,1,0,100
611409-03072012,Winter,1170,1,industry_facility,Work_days,0,1,0,100
611562-03072012,Winter,6900,3,office,Work_days,0,2,0,100
611691-03072012,Winter,6200,2,shopping_mall,Work_days,0,3,0,100
611808-03072012,Winter,6200,3,shopping_mall,Work_days,0,1,0,100
611828-03072012,Winter,6200,4,shopping_mall,Work_days,0,1,0,100
611912-03072012,Winter,6900,4,apartment,Work_days,0,3,0,100
611946-04072012,Winter,6100,3,others,Work_days,0,7,0,100
612022-04072012,Winter,6900,5,apartment,Work_days,0,2,0,100
612378-04072012,Winter,6110,2,school,Work_days,0,12,0,100
612533-05072012,Winter,6100,4,others,Work_days,0,5,0,100
612694-05072012,Winter,6110,3,school,Work_days,0,5,0,100
613265-06072012,Winter,6100,3,hospital,Work_days,0,7,0,100
613591-07072012,Winter,6110,0,shopping_mall,Week_ends,0,3,0,100
613761-07072012,Winter,7110,0,others,Week_ends,0,2,0,100
613957-07072012,Winter,6990,2,shopping_mall,Week_ends,0,6,0,100
614068-07072012,Winter,6110,1,apartment,Week_ends,0,4,0,100
614644-08072012,Winter,1900,0,shopping_mall,Week_ends,0,3,0,100
615449-10072012,Winter,6900,2,school,Work_days,0,24,0,100
615681-10072012,Winter,6120,0,office,Work_days,0,2,0,100
615774-11072012,Winter,1100,1,public_facility,Work_days,0,8,0,100
616364-12072012,Winter,6990,1,house,Work_days,0,6,0,100
616597-12072012,Winter,1100,1,office,Work_days,0,10,0,100
616653-12072012,Winter,6110,0,shopping_mall,Work_days,0,18,0,100
616677-12072012,Winter,1100,2,office,Work_days,0,4,0,100
616729-13072012,Winter,1100,3,office,Work_days,0,3,0,100
616747-13072012,Winter,6200,1,industry_facility,Work_days,0,4,0,100
616750-13072012,Winter,6110,1,hotel,Work_days,0,3,0,100
616766-13072012,Winter,1100,1,shopping_mall,Work_days,0,12,0,100
616870-13072012,Winter,1900,0,public_facility,Work_days,0,1,0,100
616949-13072012,Winter,6200,1,school,Work_days,0,4,0,100
617019-13072012,Winter,1100,4,office,Work_days,0,2,0,100
617036-13072012,Winter,6100,1,rest_home,Work_days,0,38,0,100
617374-14072012,Winter,6900,2,hospital,Week_ends,0,8,0,100
617472-14072012,Winter,6110,3,school,Week_ends,0,1,0,100
617509-14072012,Winter,6100,0,house,Week_ends,0,18,0,100
617530-14072012,Winter,6200,1,school,Week_ends,0,1,0,100
617531-14072012,Winter,6990,3,others,Week_ends,0,5,0,100
617688-14072012,Winter,1100,1,public_facility,Week_ends,0,2,0,100
617744-14072012,Winter,1100,2,public_facility,Week_ends,0,1,0,100
617797-14072012,Winter,6100,1,rest_home,Week_ends,0,4,0,100
618247-15072012,Winter,6100,1,hotel,Week_ends,0,5,0,100
618960-17072012,Winter,6200,2,industry_facility,Work_days,0,1,0,100
618980-17072012,Winter,6110,1,public_facility,Work_days,0,10,0,100
