incident_number,season,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
656291-08092012,Spring,2,Night-time,office,0,9,0,100
657167-08092012,Spring,1,Cooking-time,tansport,0,12,0,100
657419-09092012,Spring,2,Night-time,tansport,0,3,0,100
657446-09092012,Spring,3,Night-time,tansport,0,3,0,100
657544-09092012,Spring,4,Office Hours,tansport,0,1,0,100
659379-11092012,Spring,2,Cooking-time,shopping_mall,0,29,0,100
659927-12092012,Spring,3,Night-time,school,0,6,0,100
660022-12092012,Spring,4,Cooking-time,school,0,2,0,100
660523-12092012,Spring,2,Cooking-time,industry_facility,0,2,0,100
660603-12092012,Spring,1,Night-time,rest_home,0,46,0,100
660675-13092012,Spring,2,Night-time,apartment,0,15,0,100
660822-13092012,Spring,3,Office Hours,apartment,0,6,0,100
661099-13092012,Spring,2,Office Hours,rest_home,0,10,0,100
661275-14092012,Spring,2,Night-time,hotel,0,11,0,100
661276-14092012,Spring,3,Night-time,hotel,0,3,0,100
661282-14092012,Spring,4,Night-time,hotel,0,1,0,100
661375-14092012,Spring,1,Office Hours,hotel,0,52,0,100
661490-14092012,Spring,2,Cooking-time,office,0,13,0,100
661528-14092012,Spring,3,Cooking-time,office,0,5,0,100
661785-14092012,Spring,4,Cooking-time,office,0,4,0,100
661790-14092012,Spring,5,Cooking-time,office,0,1,0,100
661917-15092012,Spring,2,Night-time,rest_home,0,7,0,100
661987-15092012,Spring,6,Night-time,office,0,1,0,100
662003-15092012,Spring,7,Cooking-time,office,0,1,0,100
662162-15092012,Spring,8,Office Hours,office,0,1,0,100
662531-15092012,Spring,9,Cooking-time,office,0,1,0,100
664209-18092012,Spring,1,Office Hours,public_facility,0,57,0,100
664716-19092012,Spring,3,Night-time,public_facility,0,4,0,100
665808-20092012,Spring,2,Office Hours,industry_facility,0,4,0,100
667404-22092012,Spring,2,Cooking-time,hospital,0,37,0,100
668416-24092012,Spring,4,Cooking-time,hotel,0,3,0,100
669899-26092012,Spring,2,Cooking-time,rest_home,0,11,0,100
669917-26092012,Spring,3,Cooking-time,rest_home,0,2,0,100
669921-26092012,Spring,4,Cooking-time,rest_home,0,1,0,100
670891-27092012,Spring,5,Cooking-time,apartment,0,2,0,100
671347-27092012,Spring,3,Night-time,rest_home,0,3,0,100
671444-28092012,Spring,3,Night-time,hospital,0,4,0,100
671454-28092012,Spring,4,Night-time,hospital,0,3,0,100
671463-28092012,Spring,5,Night-time,hospital,0,2,0,100
671475-28092012,Spring,6,Night-time,hospital,0,2,0,100
671480-28092012,Spring,7,Night-time,hospital,0,2,0,100
671483-28092012,Spring,8,Night-time,hospital,0,1,0,100
671487-28092012,Spring,9,Night-time,hospital,0,1,0,100
671909-28092012,Spring,10,Cooking-time,hospital,0,1,0,100
671932-28092012,Spring,11,Cooking-time,hospital,0,1,0,100
671958-28092012,Spring,3,Office Hours,rest_home,0,1,0,100
673558-30092012,Spring,3,Cooking-time,school,0,6,0,100
673560-30092012,Spring,5,Cooking-time,school,0,1,0,100
674164-01102012,Spring,1,Night-time,industry_facility,0,18,0,100
674358-01102012,Spring,2,Office Hours,public_facility,0,7,0,100
675980-03102012,Spring,1,Office Hours,house,0,6,0,100
676303-04102012,Spring,3,Night-time,shopping_mall,0,5,0,100
676365-04102012,Spring,4,Night-time,shopping_mall,0,3,0,100
680593-08102012,Spring,4,Cooking-time,hospital,0,3,0,100
680780-09102012,Spring,3,Cooking-time,shopping_mall,0,9,0,100
683345-13102012,Spring,2,Cooking-time,house,0,2,0,100
684949-16102012,Spring,3,Night-time,others,0,18,0,100
685572-16102012,Spring,1,Cooking-time,restaurant,0,6,0,100
689845-22102012,Spring,4,Night-time,others,0,8,0,100
689881-22102012,Spring,4,Night-time,school,0,1,0,100
690716-23102012,Spring,4,Cooking-time,others,0,7,0,100
692088-25102012,Spring,1,Night-time,restaurant,0,4,0,100
701556-06112012,Spring,1,Night-time,house,0,6,0,100
702272-07112012,Spring,1,Night-time,tansport,0,15,0,100
703171-08112012,Spring,3,Cooking-time,public_facility,0,10,0,100
707498-15112012,Spring,2,Night-time,industry_facility,0,2,0,100
709998-19112012,Spring,4,Night-time,public_facility,0,1,0,100
713414-24112012,Spring,2,Office Hours,tansport,0,2,0,100
713667-24112012,Spring,3,Cooking-time,tansport,0,1,0,100
717092-29112012,Spring,3,Office Hours,hospital,0,4,0,100
718527-01122012,Summer,2,Night-time,others,0,83,0,100
718878-01122012,Summer,1,Cooking-time,public_facility,0,121,0,100
718925-01122012,Summer,2,Office Hours,hotel,0,9,0,100
719305-02122012,Summer,1,Night-time,hotel,0,71,0,100
719353-02122012,Summer,2,Night-time,apartment,0,11,0,100
719464-02122012,Summer,1,Cooking-time,hotel,0,114,0,100
719479-02122012,Summer,1,Office Hours,shopping_mall,0,70,0,100
719943-03122012,Summer,1,Cooking-time,industry_facility,0,31,0,100
719987-03122012,Summer,1,Cooking-time,rest_home,0,98,0,100
720052-03122012,Summer,2,Office Hours,shopping_mall,0,13,0,100
720486-04122012,Summer,2,Night-time,office,0,12,0,100
720562-04122012,Summer,1,Cooking-time,shopping_mall,0,124,0,100
721415-05122012,Summer,3,Night-time,others,0,27,0,100
721590-05122012,Summer,2,Office Hours,hospital,0,21,0,100
722516-05122012,Summer,5,Night-time,others,0,3,0,100
722526-05122012,Summer,1,Night-time,hospital,0,146,0,100
722592-06122012,Summer,6,Night-time,others,0,3,0,100
722656-06122012,Summer,7,Cooking-time,others,0,2,0,100
722684-06122012,Summer,8,Cooking-time,others,0,2,0,100
722982-06122012,Summer,3,Office Hours,apartment,0,6,0,100
723854-07122012,Summer,1,Office Hours,public_facility,0,61,0,100
724512-08122012,Summer,1,Cooking-time,house,0,15,0,100
724698-08122012,Summer,0,Cooking-time,restaurant,0,41,0,100
725036-09122012,Summer,2,Night-time,school,0,28,0,100
725094-09122012,Summer,2,Cooking-time,shopping_mall,0,25,0,100
725131-09122012,Summer,2,Cooking-time,industry_facility,0,7,0,100
725168-09122012,Summer,1,Office Hours,office,0,54,0,100
726361-11122012,Summer,1,Cooking-time,restaurant,0,5,0,100
726937-12122012,Summer,1,Night-time,tansport,0,22,0,100
727281-12122012,Summer,1,Office Hours,rest_home,0,43,0,100
727356-12122012,Summer,1,Cooking-time,tansport,0,22,0,100
728351-14122012,Summer,2,Cooking-time,rest_home,0,14,0,100
729667-16122012,Summer,2,Night-time,shopping_mall,0,21,0,100
729762-16122012,Summer,3,Night-time,shopping_mall,0,10,0,100
730440-16122012,Summer,2,Night-time,rest_home,0,15,0,100
730552-17122012,Summer,3,Night-time,rest_home,0,5,0,100
732427-19122012,Summer,3,Office Hours,public_facility,0,2,0,100
732434-19122012,Summer,4,Office Hours,public_facility,0,1,0,100
732621-19122012,Summer,3,Cooking-time,hospital,0,9,0,100
732681-19122012,Summer,1,Night-time,house,0,13,0,100
732716-19122012,Summer,4,Night-time,hospital,0,3,0,100
732764-20122012,Summer,5,Night-time,public_facility,0,1,0,100
732873-20122012,Summer,2,Cooking-time,school,0,45,0,100
732901-20122012,Summer,1,Office Hours,industry_facility,0,21,0,100
733094-20122012,Summer,3,Cooking-time,school,0,14,0,100
733651-21122012,Summer,4,Night-time,school,0,2,0,100
733666-21122012,Summer,5,Night-time,school,0,1,0,100
733749-21122012,Summer,6,Cooking-time,school,0,3,0,100
734218-21122012,Summer,7,Cooking-time,school,0,2,0,100
734741-22122012,Summer,1,Office Hours,tansport,0,20,0,100
738200-26122012,Summer,4,Office Hours,shopping_mall,0,3,0,100
738391-27122012,Summer,5,Night-time,shopping_mall,0,1,0,100
738432-27122012,Summer,6,Night-time,shopping_mall,0,1,0,100
738551-27122012,Summer,2,Office Hours,school,0,21,0,100
738765-27122012,Summer,7,Cooking-time,shopping_mall,0,1,0,100
738964-28122012,Summer,2,Night-time,public_facility,0,12,0,100
739340-28122012,Summer,8,Office Hours,shopping_mall,0,2,0,100
740438-30122012,Summer,4,Office Hours,school,0,3,0,100
740593-30122012,Summer,2,Office Hours,apartment,0,20,0,100
740864-30122012,Summer,5,Cooking-time,school,0,5,0,100
000241-01012013,Summer,3,Night-time,public_facility,0,2,0,100
001693-03012013,Summer,2,Night-time,hotel,0,12,0,100
001792-03012013,Summer,3,Cooking-time,hotel,0,8,0,100
003673-05012013,Summer,1,Office Hours,restaurant,0,1,0,100
004383-06012013,Summer,2,Cooking-time,restaurant,0,2,0,100
005592-07012013,Summer,2,Office Hours,rest_home,0,9,0,100
006861-08012013,Summer,3,Office Hours,school,0,5,0,100
007140-08012013,Summer,3,Office Hours,rest_home,0,2,0,100
007210-08012013,Summer,3,Office Hours,others,0,8,0,100
008147-09012013,Summer,3,Cooking-time,shopping_mall,0,9,0,100
008337-09012013,Summer,4,Cooking-time,rest_home,0,1,0,100
008706-09012013,Summer,5,Cooking-time,rest_home,0,2,0,100
008835-09012013,Summer,6,Cooking-time,rest_home,0,1,0,100
009098-10012013,Summer,2,Night-time,house,0,1,0,100
011268-12012013,Summer,3,Night-time,hospital,0,5,0,100
013636-13012013,Summer,4,Night-time,hotel,0,1,0,100
013696-14012013,Summer,5,Night-time,hotel,0,1,0,100
013764-14012013,Summer,6,Cooking-time,hotel,0,1,0,100
013782-14012013,Summer,7,Cooking-time,hotel,0,1,0,100
015150-16012013,Summer,4,Cooking-time,hotel,0,4,0,100
015166-16012013,Summer,2,Cooking-time,tansport,0,6,0,100
015775-17012013,Summer,3,Night-time,apartment,0,3,0,100
017402-18012013,Summer,3,Cooking-time,apartment,0,6,0,100
017474-18012013,Summer,4,Cooking-time,apartment,0,3,0,100
024385-26012013,Summer,4,Office Hours,apartment,0,3,0,100
024515-26012013,Summer,5,Cooking-time,apartment,0,3,0,100
026475-28012013,Summer,6,Cooking-time,others,0,3,0,100
027075-28012013,Summer,4,Night-time,others,0,8,0,100
027209-29012013,Summer,8,Night-time,others,0,1,0,100
027216-29012013,Summer,9,Night-time,others,0,2,0,100
027344-29012013,Summer,3,Night-time,school,0,6,0,100
027432-29012013,Summer,2,Cooking-time,house,0,2,0,100
027507-29012013,Summer,3,Cooking-time,house,0,1,0,100
027623-29012013,Summer,3,Office Hours,hospital,0,4,0,100
027807-29012013,Summer,4,Cooking-time,school,0,4,0,100
028056-29012013,Summer,1,Night-time,restaurant,0,4,0,100
028066-29012013,Summer,2,Night-time,restaurant,0,1,0,100
029376-01022013,Summer,3,Cooking-time,office,0,6,0,100
030071-02022013,Summer,4,Office Hours,others,0,2,0,100
030247-02022013,Summer,5,Office Hours,apartment,0,1,0,100
030360-02022013,Summer,6,Cooking-time,apartment,0,1,0,100
030431-02022013,Summer,7,Night-time,apartment,0,1,0,100
030460-03022013,Summer,8,Night-time,apartment,0,1,0,100
030596-03022013,Summer,2,Office Hours,industry_facility,0,7,0,100
035262-11022013,Summer,3,Office Hours,hotel,0,3,0,100
035613-12022013,Summer,3,Night-time,industry_facility,0,1,0,100
038552-17022013,Summer,3,Office Hours,shopping_mall,0,2,0,100
039418-19022013,Summer,2,Office Hours,tansport,0,3,0,100
040834-21022013,Summer,3,Office Hours,tansport,0,1,0,100
040956-21022013,Summer,4,Cooking-time,tansport,0,1,0,100
041081-22022013,Summer,5,Night-time,tansport,0,1,0,100
041085-22022013,Summer,6,Night-time,tansport,0,1,0,100
041247-22022013,Summer,1,Office Hours,house,0,4,0,100
041680-22022013,Summer,7,Cooking-time,tansport,0,1,0,100
042393-23022013,Summer,4,Office Hours,rest_home,0,1,0,100
043898-24022013,Summer,5,Office Hours,school,0,1,0,100
044087-24022013,Summer,3,Cooking-time,restaurant,0,1,0,100
044171-25022013,Summer,6,Night-time,school,0,1,0,100
044441-25022013,Summer,4,Cooking-time,hospital,0,2,0,100
044456-25022013,Summer,5,Cooking-time,hospital,0,2,0,100
046298-28022013,Summer,2,Office Hours,office,0,5,0,100
046479-01032013,Autumn,1,Night-time,rest_home,0,69,0,100
046503-01032013,Autumn,2,Night-time,others,0,76,0,100
046535-01032013,Autumn,2,Night-time,school,0,35,0,100
046596-01032013,Autumn,1,Cooking-time,rest_home,0,131,0,100
046716-01032013,Autumn,1,Office Hours,rest_home,0,71,0,100
046730-01032013,Autumn,1,Office Hours,office,0,53,0,100
047013-01032013,Autumn,1,Night-time,hospital,0,87,0,100
047193-02032013,Autumn,3,Cooking-time,others,0,33,0,100
047238-02032013,Autumn,2,Office Hours,hospital,0,26,0,100
047468-02032013,Autumn,0,Cooking-time,restaurant,0,40,0,100
047509-02032013,Autumn,2,Cooking-time,hospital,0,39,0,100
047513-02032013,Autumn,1,Cooking-time,restaurant,0,6,0,100
047562-02032013,Autumn,1,Night-time,hotel,0,51,0,100
047594-02032013,Autumn,2,Night-time,hotel,0,14,0,100
047636-03032013,Autumn,1,Night-time,public_facility,0,73,0,100
047655-03032013,Autumn,1,Night-time,office,0,54,0,100
047658-03032013,Autumn,3,Night-time,hotel,0,2,0,100
048078-03032013,Autumn,1,Night-time,house,0,9,0,100
048434-04032013,Autumn,1,Office Hours,industry_facility,0,10,0,100
