incident_number,season,alarm_type,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
661261-14092012,Spring,1100,hotel,Work_days,0,40,0,100
661444-14092012,Spring,1100,tansport,Work_days,0,30,0,100
661524-14092012,Spring,0,rest_home,Work_days,0,6,0,100
661778-14092012,Spring,1100,industry_facility,Work_days,0,24,0,100
662156-15092012,Spring,6200,shopping_mall,Week_ends,0,53,0,100
662157-15092012,Spring,6200,hospital,Week_ends,0,13,0,100
662215-15092012,Spring,6110,public_facility,Week_ends,0,23,0,100
662272-15092012,Spring,0,house,Week_ends,0,2,0,100
662379-15092012,Spring,6990,industry_facility,Week_ends,0,50,0,100
662557-15092012,Spring,0,others,Week_ends,0,11,0,100
662625-15092012,Spring,6900,house,Week_ends,0,18,0,100
662782-16092012,Spring,0,public_facility,Week_ends,0,3,0,100
664192-18092012,Spring,1120,hotel,Work_days,0,7,0,100
666275-21092012,Spring,6200,house,Work_days,0,14,0,100
668995-24092012,Spring,1100,house,Work_days,0,12,0,100
673322-30092012,Spring,6200,industry_facility,Week_ends,0,8,0,100
673343-30092012,Spring,6200,school,Week_ends,0,10,0,100
673549-30092012,Spring,0,school,Week_ends,0,3,0,100
683106-13102012,Spring,1900,apartment,Week_ends,0,6,0,100
683592-13102012,Spring,7110,others,Week_ends,0,5,0,100
683838-14102012,Spring,6110,house,Week_ends,0,3,0,100
685522-16102012,Spring,1170,others,Work_days,0,2,0,100
685785-17102012,Spring,1120,hospital,Work_days,0,4,0,100
686381-17102012,Spring,7110,others,Work_days,0,5,0,100
689078-21102012,Spring,6120,others,Week_ends,0,9,0,100
690003-22102012,Spring,1900,shopping_mall,Work_days,0,2,0,100
690949-23102012,Spring,6110,rest_home,Work_days,0,18,0,100
693272-26102012,Spring,6200,industry_facility,Work_days,0,13,0,100
693846-27102012,Spring,1120,shopping_mall,Week_ends,0,2,0,100
693965-27102012,Spring,6110,industry_facility,Week_ends,0,7,0,100
694783-28102012,Spring,6200,rest_home,Week_ends,0,20,0,100
697576-01112012,Spring,1200,public_facility,Work_days,0,1,0,100
698907-02112012,Spring,1900,public_facility,Work_days,0,8,0,100
700720-04112012,Spring,7110,public_facility,Week_ends,0,12,0,100
703055-08112012,Spring,6120,industry_facility,Work_days,0,6,0,100
704462-10112012,Spring,1100,hospital,Week_ends,0,2,0,100
704497-10112012,Spring,1160,office,Week_ends,0,1,0,100
704503-10112012,Spring,6100,house,Week_ends,0,6,0,100
704705-10112012,Spring,6100,restaurant,Week_ends,0,4,0,100
707465-14112012,Spring,6110,restaurant,Work_days,0,1,0,100
708026-15112012,Spring,6600,apartment,Work_days,0,2,0,100
709634-18112012,Spring,1100,rest_home,Week_ends,0,5,0,100
710009-19112012,Spring,1120,industry_facility,Work_days,0,5,0,100
714028-25112012,Spring,6200,house,Week_ends,0,2,0,100
714238-25112012,Spring,1170,industry_facility,Week_ends,0,2,0,100
714349-25112012,Spring,1200,others,Week_ends,0,2,0,100
718524-01122012,Summer,6200,hotel,Week_ends,0,34,0,100
718529-01122012,Summer,6900,office,Week_ends,0,98,0,100
718590-01122012,Summer,6200,industry_facility,Week_ends,0,5,0,100
718701-01122012,Summer,6100,rest_home,Week_ends,0,161,0,100
718705-01122012,Summer,6200,shopping_mall,Week_ends,0,49,0,100
718944-01122012,Summer,6110,hotel,Week_ends,0,16,0,100
719022-01122012,Summer,1100,industry_facility,Week_ends,0,4,0,100
719744-02122012,Summer,1100,public_facility,Week_ends,0,25,0,100
719876-03122012,Summer,1120,office,Work_days,0,12,0,100
719887-03122012,Summer,1160,office,Work_days,0,1,0,100
719927-03122012,Summer,1100,apartment,Work_days,0,119,0,100
721328-04122012,Summer,6200,house,Work_days,0,16,0,100
721428-05122012,Summer,1170,industry_facility,Work_days,0,3,0,100
721427-05122012,Summer,6120,industry_facility,Work_days,0,4,0,100
721476-05122012,Summer,1100,hotel,Work_days,0,41,0,100
722395-05122012,Summer,6100,house,Work_days,0,65,0,100
723610-07122012,Summer,7110,public_facility,Work_days,0,20,0,100
723620-07122012,Summer,1120,industry_facility,Work_days,0,7,0,100
724112-08122012,Summer,6110,hospital,Week_ends,0,19,0,100
724135-08122012,Summer,6200,school,Week_ends,0,25,0,100
724309-08122012,Summer,6200,house,Week_ends,0,4,0,100
724585-08122012,Summer,6100,house,Week_ends,0,8,0,100
724698-08122012,Summer,6110,restaurant,Week_ends,0,1,0,100
725081-09122012,Summer,6900,restaurant,Week_ends,0,9,0,100
725283-09122012,Summer,6110,public_facility,Week_ends,0,15,0,100
725494-09122012,Summer,1100,tansport,Week_ends,0,4,0,100
725606-09122012,Summer,6200,office,Week_ends,0,19,0,100
726281-11122012,Summer,1900,apartment,Work_days,0,11,0,100
726994-12122012,Summer,1100,industry_facility,Work_days,0,18,0,100
727896-13122012,Summer,1100,rest_home,Work_days,0,19,0,100
728521-14122012,Summer,1120,hospital,Work_days,0,6,0,100
728643-14122012,Summer,6110,shopping_mall,Work_days,0,10,0,100
728917-14122012,Summer,1100,hospital,Work_days,0,15,0,100
728946-14122012,Summer,6200,hospital,Work_days,0,48,0,100
729127-15122012,Summer,6110,office,Week_ends,0,7,0,100
729436-15122012,Summer,6110,shopping_mall,Week_ends,0,6,0,100
730686-17122012,Summer,6110,industry_facility,Work_days,0,32,0,100
732385-19122012,Summer,6990,restaurant,Work_days,0,17,0,100
732887-20122012,Summer,6110,rest_home,Work_days,0,18,0,100
734355-22122012,Summer,1160,office,Week_ends,0,1,0,100
735050-22122012,Summer,6120,industry_facility,Week_ends,0,2,0,100
735051-22122012,Summer,1170,industry_facility,Week_ends,0,1,0,100
735196-23122012,Summer,1900,apartment,Week_ends,0,4,0,100
735408-23122012,Summer,1120,others,Week_ends,0,6,0,100
735528-23122012,Summer,0,apartment,Week_ends,0,2,0,100
738112-26122012,Summer,0,apartment,Work_days,0,5,0,100
738130-26122012,Summer,0,house,Work_days,0,2,0,100
738513-27122012,Summer,1900,public_facility,Work_days,0,3,0,100
003165-04012013,Summer,0,others,Work_days,0,15,0,100
003323-05012013,Summer,6990,restaurant,Week_ends,0,10,0,100
004377-06012013,Summer,6200,rest_home,Week_ends,0,21,0,100
004724-06012013,Summer,1100,rest_home,Week_ends,0,8,0,100
006273-08012013,Summer,1120,shopping_mall,Work_days,0,2,0,100
007523-08012013,Summer,1170,others,Work_days,0,1,0,100
010298-11012013,Summer,6110,house,Work_days,0,4,0,100
012854-13012013,Summer,1900,public_facility,Week_ends,0,2,0,100
014862-15012013,Summer,1200,others,Work_days,0,6,0,100
015208-16012013,Summer,6120,others,Work_days,0,7,0,100
015561-16012013,Summer,1120,hotel,Work_days,0,3,0,100
017529-18012013,Summer,6110,restaurant,Work_days,0,2,0,100
018994-19012013,Summer,6110,industry_facility,Week_ends,0,9,0,100
