incident_number,alarm_type,repeat_count,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
097298-25052013,6900,8,apartment,Week_ends,0,1,0,100
099143-28052013,6990,1,tansport,Work_days,0,17,0,100
099348-28052013,7110,1,public_facility,Work_days,0,8,0,100
100692-31052013,6990,2,tansport,Work_days,0,6,0,100
101032-01062013,6900,4,office,Week_ends,0,3,0,100
102451-04062013,1200,1,public_facility,Work_days,0,1,0,100
102762-04062013,1200,2,public_facility,Work_days,0,1,0,100
103553-06062013,6200,2,hospital,Work_days,0,4,0,100
108205-15062013,1100,3,apartment,Week_ends,0,3,0,100
108226-15062013,1100,4,apartment,Week_ends,0,3,0,100
108877-16062013,6290,1,school,Week_ends,0,1,0,100
111340-21062013,6990,1,restaurant,Work_days,0,7,0,100
111672-21062013,6990,3,industry_facility,Work_days,0,1,0,100
111802-22062013,1100,5,apartment,Week_ends,0,3,0,100
113008-24062013,6990,5,office,Work_days,0,3,0,100
116149-29062013,1100,3,school,Week_ends,0,1,0,100
116200-30062013,1100,4,school,Week_ends,0,1,0,100
120009-07072013,1120,0,hospital,Week_ends,0,3,0,100
121869-10072013,8990,0,others,Work_days,0,1,0,100
123496-13072013,6200,2,apartment,Week_ends,0,5,0,100
125112-16072013,6990,4,office,Work_days,0,4,0,100
143708-17082013,6990,4,hospital,Week_ends,0,3,0,100
147889-23082013,6990,5,hospital,Work_days,0,3,0,100
152761-30082013,6110,2,shopping_mall,Work_days,0,1,0,100
155150-01092013,1100,1,tansport,Week_ends,0,2,0,100
158707-07092013,1100,1,restaurant,Week_ends,0,2,0,100
171621-24092013,6200,2,apartment,Work_days,0,4,0,100
172341-25092013,6200,3,apartment,Work_days,0,1,0,100
172401-25092013,6200,4,apartment,Work_days,0,1,0,100
174879-27092013,1200,0,shopping_mall,Work_days,0,1,0,100
182228-05102013,6200,0,restaurant,Week_ends,0,1,0,100
199300-20102013,6200,2,rest_home,Week_ends,0,2,0,100
203013-23102013,6990,6,hospital,Work_days,0,1,0,100
203398-24102013,6990,7,hospital,Work_days,0,1,0,100
209016-30102013,1100,6,public_facility,Work_days,0,1,0,100
209018-30102013,1100,7,public_facility,Work_days,0,1,0,100
209019-30102013,1100,8,public_facility,Work_days,0,1,0,100
209020-30102013,1100,9,public_facility,Work_days,0,1,0,100
209021-30102013,1100,10,public_facility,Work_days,0,1,0,100
209022-30102013,1100,11,public_facility,Work_days,0,1,0,100
209023-30102013,1100,12,public_facility,Work_days,0,1,0,100
209024-30102013,1100,13,public_facility,Work_days,0,1,0,100
209025-30102013,1100,14,public_facility,Work_days,0,1,0,100
209026-30102013,1100,15,public_facility,Work_days,0,1,0,100
209027-30102013,1100,16,public_facility,Work_days,0,1,0,100
209028-30102013,1100,17,public_facility,Work_days,0,1,0,100
209029-30102013,1100,18,public_facility,Work_days,0,1,0,100
209030-30102013,1100,19,public_facility,Work_days,0,1,0,100
209031-30102013,1100,20,public_facility,Work_days,0,1,0,100
209032-30102013,1100,21,public_facility,Work_days,0,1,0,100
209033-30102013,1100,22,public_facility,Work_days,0,1,0,100
209034-30102013,1100,23,public_facility,Work_days,0,1,0,100
209035-30102013,1100,24,public_facility,Work_days,0,1,0,100
209036-30102013,1100,25,public_facility,Work_days,0,1,0,100
209037-30102013,1100,26,public_facility,Work_days,0,1,0,100
209038-30102013,1100,27,public_facility,Work_days,0,1,0,100
209039-30102013,1100,28,public_facility,Work_days,0,1,0,100
209040-30102013,1100,29,public_facility,Work_days,0,1,0,100
209041-30102013,1100,30,public_facility,Work_days,0,1,0,100
209042-30102013,1100,31,public_facility,Work_days,0,1,0,100
209043-30102013,1100,32,public_facility,Work_days,0,1,0,100
209044-30102013,1100,33,public_facility,Work_days,0,1,0,100
209045-30102013,1100,34,public_facility,Work_days,0,1,0,100
209046-30102013,1100,35,public_facility,Work_days,0,1,0,100
209047-30102013,1100,36,public_facility,Work_days,0,1,0,100
209048-30102013,1100,37,public_facility,Work_days,0,1,0,100
209049-30102013,1100,38,public_facility,Work_days,0,1,0,100
209050-30102013,1100,39,public_facility,Work_days,0,1,0,100
209051-30102013,1100,40,public_facility,Work_days,0,1,0,100
209052-30102013,1100,41,public_facility,Work_days,0,1,0,100
209053-30102013,1100,42,public_facility,Work_days,0,1,0,100
209054-30102013,1100,43,public_facility,Work_days,0,1,0,100
209064-30102013,1100,44,public_facility,Work_days,0,1,0,100
209067-30102013,1100,45,public_facility,Work_days,0,1,0,100
209563-31102013,1900,3,others,Work_days,0,1,0,100
209564-31102013,1900,4,others,Work_days,0,1,0,100
209565-31102013,1900,5,others,Work_days,0,1,0,100
209566-31102013,1900,6,others,Work_days,0,1,0,100
209567-31102013,1900,7,others,Work_days,0,1,0,100
209568-31102013,1900,8,others,Work_days,0,1,0,100
209569-31102013,1900,9,others,Work_days,0,1,0,100
209570-31102013,1900,10,others,Work_days,0,1,0,100
210965-02112013,6120,1,others,Week_ends,0,1,0,100
211148-02112013,6100,2,hotel,Week_ends,0,3,0,100
217065-08112013,6100,3,office,Work_days,0,1,0,100
220396-12112013,1120,0,public_facility,Work_days,0,1,0,100
220961-13112013,6900,3,industry_facility,Work_days,0,4,0,100
226972-23112013,6900,3,office,Week_ends,0,3,0,100
231150-01122013,6990,2,industry_facility,Week_ends,0,3,0,100
232699-03122013,1100,2,tansport,Work_days,0,4,0,100
234686-06122013,1200,0,hotel,Work_days,0,7,0,100
234780-06122013,1200,1,hotel,Work_days,0,5,0,100
235343-07122013,1200,2,hotel,Week_ends,0,1,0,100
235854-08122013,1200,3,hotel,Week_ends,0,1,0,100
236069-08122013,1200,4,hotel,Week_ends,0,1,0,100
236726-09122013,1200,5,hotel,Work_days,0,1,0,100
236786-09122013,1200,6,hotel,Work_days,0,1,0,100
009261-15012014,6110,3,industry_facility,Work_days,0,3,0,100
009812-16012014,6100,4,apartment,Work_days,0,3,0,100
011746-18012014,0,0,office,Week_ends,0,2,0,100
031535-15022014,0,0,shopping_mall,Week_ends,0,1,0,100
034641-20022014,6900,9,others,Work_days,0,1,0,100
035151-21022014,6900,10,others,Work_days,0,1,0,100
035310-22022014,1100,2,hospital,Week_ends,0,1,0,100
036305-24022014,1120,1,office,Work_days,0,2,0,100
036693-24022014,1120,1,apartment,Work_days,0,1,0,100
037114-25022014,2270,0,others,Work_days,0,3,0,100
038323-27022014,7110,1,others,Work_days,0,1,0,100
045242-12032014,6990,3,tansport,Work_days,0,1,0,100
046229-14032014,6100,4,rest_home,Work_days,0,2,0,100
053661-26032014,6990,3,house,Work_days,0,2,0,100
062375-12042014,1110,0,others,Week_ends,0,1,0,100
062557-12042014,1100,2,office,Week_ends,0,4,0,100
064669-16042014,6100,4,public_facility,Work_days,0,2,0,100
067583-22042014,6200,4,others,Work_days,0,3,0,100
068080-23042014,6200,5,others,Work_days,0,2,0,100
073908-04052014,1100,3,shopping_mall,Week_ends,0,3,0,100
074018-04052014,6900,6,apartment,Week_ends,0,1,0,100
074339-05052014,1100,4,shopping_mall,Work_days,0,1,0,100
074369-05052014,1100,5,shopping_mall,Work_days,0,1,0,100
074475-05052014,6200,2,rest_home,Work_days,0,1,0,100
074689-05052014,1100,6,shopping_mall,Work_days,0,1,0,100
074858-05052014,6900,4,public_facility,Work_days,0,2,0,100
074953-06052014,6200,3,rest_home,Work_days,0,1,0,100
074962-06052014,1100,7,shopping_mall,Work_days,0,1,0,100
074972-06052014,6900,5,public_facility,Work_days,0,2,0,100
074995-06052014,6900,6,public_facility,Work_days,0,1,0,100
075007-06052014,6900,7,public_facility,Work_days,0,1,0,100
075421-06052014,1100,8,shopping_mall,Work_days,0,1,0,100
075447-07052014,1100,9,shopping_mall,Work_days,0,1,0,100
075454-07052014,1100,10,shopping_mall,Work_days,0,1,0,100
075565-07052014,1100,11,shopping_mall,Work_days,0,1,0,100
080964-17052014,1100,6,apartment,Week_ends,0,1,0,100
080982-17052014,1100,7,apartment,Week_ends,0,1,0,100
080995-17052014,1100,8,apartment,Week_ends,0,1,0,100
085289-24052014,6990,3,school,Week_ends,0,2,0,100
103256-28062014,1100,4,shopping_mall,Week_ends,0,1,0,100
108425-06072014,6990,3,public_facility,Week_ends,0,2,0,100
108550-06072014,6990,4,public_facility,Week_ends,0,1,0,100
109629-08072014,6900,8,apartment,Work_days,0,1,0,100
115841-18072014,1130,0,shopping_mall,Work_days,0,1,0,100
118220-22072014,6200,1,tansport,Work_days,0,2,0,100
118229-22072014,6200,2,tansport,Work_days,0,1,0,100
119706-25072014,6900,5,school,Work_days,0,1,0,100
119853-25072014,6900,6,school,Work_days,0,1,0,100
130992-10082014,6200,3,shopping_mall,Week_ends,0,1,0,100
146772-09092014,6100,2,restaurant,Work_days,0,1,0,100
147270-10092014,1100,5,others,Work_days,0,2,0,100
147275-10092014,1100,6,others,Work_days,0,1,0,100
147280-10092014,1100,7,others,Work_days,0,1,0,100
157323-28092014,6900,4,hospital,Week_ends,0,2,0,100
157817-28092014,6900,5,hospital,Week_ends,0,2,0,100
161935-04102014,0,0,hotel,Week_ends,0,1,0,100
167451-11102014,6900,3,public_facility,Week_ends,0,3,0,100
170676-15102014,1110,0,others,Work_days,0,1,0,100
170973-16102014,1110,1,others,Work_days,0,1,0,100
172152-18102014,6100,3,public_facility,Week_ends,0,2,0,100
172294-18102014,6100,4,public_facility,Week_ends,0,1,0,100
176281-25102014,2350,0,others,Week_ends,0,2,0,100
180430-30102014,1100,3,tansport,Work_days,0,1,0,100
181530-01112014,1200,0,shopping_mall,Week_ends,0,1,0,100
182319-01112014,0,0,rest_home,Week_ends,0,1,0,100
185907-05112014,6110,2,hotel,Work_days,0,1,0,100
186496-06112014,6100,4,hotel,Work_days,0,1,0,100
186504-06112014,6100,5,hotel,Work_days,0,1,0,100
186509-06112014,6100,6,hotel,Work_days,0,1,0,100
188108-09112014,6200,3,apartment,Week_ends,0,1,0,100
188140-09112014,6200,4,apartment,Week_ends,0,1,0,100
188291-09112014,6200,5,apartment,Week_ends,0,1,0,100
188498-09112014,6200,6,apartment,Week_ends,0,1,0,100
198763-23112014,7110,1,others,Week_ends,0,1,0,100
199193-23112014,6900,4,hotel,Week_ends,0,1,0,100
204113-30112014,6900,4,shopping_mall,Week_ends,0,1,0,100
204117-30112014,6900,5,shopping_mall,Week_ends,0,1,0,100
204121-30112014,6900,6,shopping_mall,Week_ends,0,1,0,100
205828-03122014,1900,0,school,Work_days,0,1,0,100
208213-06122014,6100,5,others,Week_ends,0,1,0,100
208852-07122014,6100,6,others,Week_ends,0,1,0,100
209535-07122014,6990,6,shopping_mall,Week_ends,0,1,0,100
209704-07122014,6990,7,shopping_mall,Week_ends,0,1,0,100
209905-08122014,6990,8,shopping_mall,Work_days,0,1,0,100
211041-10122014,6100,2,house,Work_days,0,2,0,100
213372-14122014,6990,4,hotel,Week_ends,0,1,0,100
213377-14122014,6990,5,hotel,Week_ends,0,1,0,100
213596-14122014,4310,0,others,Week_ends,0,1,0,100
218190-21122014,6900,5,others,Week_ends,0,2,0,100
218379-22122014,1100,2,rest_home,Work_days,0,1,0,100
223401-30122014,2270,0,office,Work_days,0,5,0,100
009606-17012015,0,0,tansport,Week_ends,0,1,0,100
013843-24012015,1100,1,industry_facility,Week_ends,0,1,0,100
021145-07022015,6100,6,school,Week_ends,0,3,0,100
026281-17022015,6100,5,school,Work_days,0,5,0,100
026611-17022015,6100,6,school,Work_days,0,3,0,100
028784-21022015,6100,7,school,Week_ends,0,2,0,100
028954-21022015,6100,8,school,Week_ends,0,2,0,100
029430-22022015,6100,9,school,Week_ends,0,3,0,100
031722-27022015,6100,7,school,Work_days,0,1,0,100
031823-27022015,6100,8,school,Work_days,0,1,0,100
032817-01032015,6110,2,apartment,Week_ends,0,1,0,100
032879-01032015,6110,3,apartment,Week_ends,0,1,0,100
033018-01032015,6100,10,school,Week_ends,0,1,0,100
033083-01032015,6900,4,public_facility,Week_ends,0,1,0,100
033231-01032015,6900,5,public_facility,Week_ends,0,1,0,100
033329-01032015,6900,6,public_facility,Week_ends,0,1,0,100
033344-01032015,6900,7,public_facility,Week_ends,0,1,0,100
033458-01032015,6100,11,school,Week_ends,0,1,0,100
034429-03032015,6990,6,office,Work_days,0,1,0,100
034682-04032015,6990,7,office,Work_days,0,1,0,100
035162-05032015,6990,8,office,Work_days,0,1,0,100
036854-07032015,1100,5,others,Week_ends,0,1,0,100
038734-10032015,1100,1,restaurant,Work_days,0,1,0,100
053850-06042015,6900,4,industry_facility,Work_days,0,1,0,100
053858-06042015,6900,5,industry_facility,Work_days,0,1,0,100
056132-10042015,6100,5,apartment,Work_days,0,1,0,100
056552-11042015,6100,6,apartment,Week_ends,0,1,0,100
056669-11042015,6100,7,apartment,Week_ends,0,1,0,100
056731-12042015,6100,8,apartment,Week_ends,0,1,0,100
056971-12042015,6100,9,apartment,Week_ends,0,1,0,100
057049-12042015,6100,10,apartment,Week_ends,0,1,0,100
058408-15042015,1140,0,apartment,Work_days,0,1,0,100
058492-15042015,1140,1,apartment,Work_days,0,1,0,100
068161-22042015,4110,0,others,Work_days,0,1,0,100
069757-24042015,6990,5,hotel,Work_days,0,1,0,100
069761-24042015,6990,6,hotel,Work_days,0,1,0,100
070286-25042015,2270,0,office,Week_ends,0,1,0,100
071400-26042015,6990,4,school,Week_ends,0,1,0,100
074950-02052015,6100,3,office,Week_ends,0,1,0,100
075184-03052015,6100,2,house,Week_ends,0,1,0,100
075598-03052015,6200,3,school,Week_ends,0,1,0,100
075621-03052015,6200,4,school,Week_ends,0,1,0,100
075864-03052015,6900,6,school,Week_ends,0,1,0,100
075915-04052015,6900,7,school,Work_days,0,1,0,100
076040-04052015,6200,5,school,Work_days,0,1,0,100
076156-04052015,6900,8,school,Work_days,0,1,0,100
076165-04052015,6900,9,school,Work_days,0,1,0,100
076184-04052015,6900,10,school,Work_days,0,1,0,100
086691-24052015,1120,1,office,Week_ends,0,1,0,100
091080-02062015,6110,4,industry_facility,Work_days,0,1,0,100
097391-14062015,6110,2,hospital,Week_ends,0,1,0,100
099456-18062015,6110,2,hospital,Work_days,0,1,0,100
103128-25062015,6120,1,others,Work_days,0,2,0,100
113338-15072015,0,1,hospital,Work_days,0,1,0,100
120223-29072015,1100,2,industry_facility,Work_days,0,1,0,100
120719-30072015,1100,3,industry_facility,Work_days,0,1,0,100
120775-30072015,1100,4,industry_facility,Work_days,0,1,0,100
