incident_number,season,repeat_count,time_of_day2,work_end,true_alarm,false_alarm,true_percentage,false_percentage
603033-17062012,Winter,3,Cooking-time,Week_ends,0,27,0,100
610292-30062012,Winter,3,Night-time,Week_ends,0,9,0,100
610434-01072012,Winter,4,Cooking-time,Week_ends,0,8,0,100
611403-03072012,Winter,3,Night-time,Work_days,0,56,0,100
611562-03072012,Winter,3,Office Hours,Work_days,0,32,0,100
611828-03072012,Winter,4,Cooking-time,Work_days,0,19,0,100
611912-03072012,Winter,4,Night-time,Work_days,0,24,0,100
617019-13072012,Winter,4,Office Hours,Work_days,0,15,0,100
619336-17072012,Winter,6,Cooking-time,Work_days,0,11,0,100
619344-17072012,Winter,7,Cooking-time,Work_days,0,4,0,100
619610-18072012,Winter,8,Cooking-time,Work_days,0,2,0,100
624621-28072012,Winter,4,Night-time,Week_ends,0,8,0,100
626786-01082012,Winter,5,Night-time,Work_days,0,9,0,100
627325-02082012,Winter,6,Night-time,Work_days,0,2,0,100
627652-02082012,Winter,7,Office Hours,Work_days,0,3,0,100
627895-03082012,Winter,8,Night-time,Work_days,0,3,0,100
629467-05082012,Winter,5,Cooking-time,Week_ends,0,3,0,100
649298-01092012,Spring,2,Night-time,Week_ends,0,45,0,100
649480-01092012,Spring,3,Office Hours,Week_ends,0,7,0,100
649774-01092012,Spring,4,Office Hours,Week_ends,0,4,0,100
653976-06092012,Spring,4,Night-time,Work_days,0,17,0,100
657446-09092012,Spring,3,Night-time,Week_ends,0,9,0,100
659927-12092012,Spring,3,Night-time,Work_days,0,44,0,100
660022-12092012,Spring,4,Cooking-time,Work_days,0,21,0,100
660822-13092012,Spring,3,Office Hours,Work_days,0,24,0,100
661790-14092012,Spring,5,Cooking-time,Work_days,0,10,0,100
661987-15092012,Spring,6,Night-time,Week_ends,0,1,0,100
662003-15092012,Spring,7,Cooking-time,Week_ends,0,1,0,100
662162-15092012,Spring,8,Office Hours,Week_ends,0,1,0,100
662531-15092012,Spring,9,Cooking-time,Week_ends,0,1,0,100
671463-28092012,Spring,5,Night-time,Work_days,0,3,0,100
671475-28092012,Spring,6,Night-time,Work_days,0,3,0,100
