incident_number,season,alarm_type,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
653664-05092012,Spring,1100,1,Cooking-time,public_facility,0,5,0,100
653703-05092012,Spring,1900,1,Cooking-time,others,0,3,0,100
653741-05092012,Spring,6100,2,Cooking-time,hotel,0,5,0,100
653814-05092012,Spring,6990,3,Cooking-time,apartment,0,4,0,100
653868-05092012,Spring,6100,3,Cooking-time,hotel,0,2,0,100
653912-05092012,Spring,1100,2,Night-time,public_facility,0,4,0,100
653976-06092012,Spring,6990,4,Night-time,apartment,0,1,0,100
653994-06092012,Spring,1100,0,Night-time,apartment,0,42,0,100
654130-06092012,Spring,6100,1,Cooking-time,office,0,6,0,100
654239-06092012,Spring,6110,1,Cooking-time,school,0,30,0,100
654282-06092012,Spring,6100,2,Office Hours,others,0,11,0,100
654301-06092012,Spring,6900,1,Office Hours,industry_facility,0,11,0,100
654403-06092012,Spring,6990,1,Cooking-time,school,0,33,0,100
654458-06092012,Spring,6100,1,Cooking-time,school,0,21,0,100
654527-06092012,Spring,6100,1,Cooking-time,shopping_mall,0,20,0,100
654834-06092012,Spring,6100,0,Office Hours,house,0,16,0,100
654856-06092012,Spring,6100,1,Cooking-time,house,0,3,0,100
654909-06092012,Spring,6110,1,Cooking-time,others,0,16,0,100
654985-06092012,Spring,6100,1,Cooking-time,apartment,0,52,0,100
655131-07092012,Spring,6990,1,Night-time,hospital,0,24,0,100
655154-07092012,Spring,0,0,Night-time,hotel,0,4,0,100
655301-07092012,Spring,6110,2,Office Hours,apartment,0,1,0,100
655309-07092012,Spring,6990,1,Office Hours,rest_home,0,12,0,100
655357-07092012,Spring,1100,1,Cooking-time,office,0,4,0,100
655437-07092012,Spring,6110,0,Cooking-time,shopping_mall,0,8,0,100
655863-07092012,Spring,0,1,Cooking-time,public_facility,0,2,0,100
655974-07092012,Spring,1100,2,Cooking-time,public_facility,0,2,0,100
656180-07092012,Spring,6110,1,Night-time,school,0,13,0,100
656291-08092012,Spring,6900,2,Night-time,office,0,1,0,100
656359-08092012,Spring,6990,2,Night-time,office,0,4,0,100
657167-08092012,Spring,6100,1,Cooking-time,tansport,0,6,0,100
657419-09092012,Spring,6100,2,Night-time,tansport,0,1,0,100
657446-09092012,Spring,6100,3,Night-time,tansport,0,1,0,100
657539-09092012,Spring,6110,1,Office Hours,shopping_mall,0,3,0,100
657544-09092012,Spring,6100,4,Office Hours,tansport,0,1,0,100
657626-09092012,Spring,6990,0,Office Hours,house,0,15,0,100
657941-09092012,Spring,0,0,Cooking-time,hospital,0,8,0,100
658217-09092012,Spring,6900,1,Cooking-time,office,0,12,0,100
658299-09092012,Spring,6990,2,Cooking-time,others,0,37,0,100
658555-10092012,Spring,0,0,Cooking-time,house,0,4,0,100
658570-10092012,Spring,1100,0,Cooking-time,hospital,0,13,0,100
658665-10092012,Spring,6900,1,Office Hours,school,0,24,0,100
658686-10092012,Spring,0,0,Office Hours,others,0,8,0,100
658779-10092012,Spring,0,0,Cooking-time,shopping_mall,0,1,0,100
658786-10092012,Spring,0,0,Cooking-time,school,0,5,0,100
658887-10092012,Spring,6990,1,Office Hours,office,0,19,0,100
659262-11092012,Spring,6200,1,Night-time,apartment,0,10,0,100
659319-11092012,Spring,6100,0,Cooking-time,restaurant,0,6,0,100
659326-11092012,Spring,6990,1,Cooking-time,hotel,0,55,0,100
659379-11092012,Spring,6100,2,Cooking-time,shopping_mall,0,6,0,100
659443-11092012,Spring,6110,1,Office Hours,school,0,16,0,100
659893-11092012,Spring,6110,0,Night-time,house,0,3,0,100
659894-11092012,Spring,6200,1,Night-time,others,0,10,0,100
659927-12092012,Spring,6900,3,Night-time,school,0,4,0,100
659954-12092012,Spring,6200,1,Night-time,shopping_mall,0,10,0,100
660022-12092012,Spring,6900,4,Cooking-time,school,0,1,0,100
660035-12092012,Spring,6200,1,Cooking-time,shopping_mall,0,13,0,100
660243-12092012,Spring,6990,1,Cooking-time,rest_home,0,21,0,100
660395-12092012,Spring,6100,1,Office Hours,rest_home,0,23,0,100
660398-12092012,Spring,6990,1,Office Hours,industry_facility,0,9,0,100
660440-12092012,Spring,6100,2,Office Hours,apartment,0,4,0,100
660523-12092012,Spring,6990,2,Cooking-time,industry_facility,0,1,0,100
660603-12092012,Spring,6990,1,Night-time,rest_home,0,18,0,100
660675-13092012,Spring,6900,2,Night-time,apartment,0,3,0,100
660744-13092012,Spring,6200,1,Cooking-time,apartment,0,18,0,100
660822-13092012,Spring,6100,3,Office Hours,apartment,0,2,0,100
660831-13092012,Spring,1100,1,Office Hours,apartment,0,5,0,100
660862-13092012,Spring,6990,2,Office Hours,others,0,18,0,100
661099-13092012,Spring,6990,2,Office Hours,rest_home,0,1,0,100
661162-13092012,Spring,6990,3,Cooking-time,others,0,9,0,100
661212-13092012,Spring,1100,0,Night-time,public_facility,0,10,0,100
661257-14092012,Spring,6100,1,Night-time,apartment,0,17,0,100
661261-14092012,Spring,1100,0,Night-time,hotel,0,10,0,100
661263-14092012,Spring,1100,1,Night-time,hotel,0,3,0,100
661275-14092012,Spring,1100,2,Night-time,hotel,0,2,0,100
661276-14092012,Spring,1100,3,Night-time,hotel,0,1,0,100
661282-14092012,Spring,1100,4,Night-time,hotel,0,1,0,100
661293-14092012,Spring,6100,0,Night-time,industry_facility,0,14,0,100
661346-14092012,Spring,0,1,Cooking-time,others,0,2,0,100
661375-14092012,Spring,6990,1,Office Hours,hotel,0,24,0,100
661444-14092012,Spring,1100,0,Cooking-time,tansport,0,19,0,100
661490-14092012,Spring,6900,2,Cooking-time,office,0,3,0,100
661524-14092012,Spring,0,0,Cooking-time,rest_home,0,3,0,100
661528-14092012,Spring,6900,3,Cooking-time,office,0,2,0,100
661566-14092012,Spring,6100,1,Office Hours,apartment,0,29,0,100
661785-14092012,Spring,6900,4,Cooking-time,office,0,2,0,100
661790-14092012,Spring,6900,5,Cooking-time,office,0,1,0,100
661917-15092012,Spring,6990,2,Night-time,rest_home,0,4,0,100
661964-15092012,Spring,1100,1,Night-time,others,0,30,0,100
661987-15092012,Spring,6900,6,Night-time,office,0,1,0,100
662003-15092012,Spring,6900,7,Cooking-time,office,0,1,0,100
662094-15092012,Spring,6200,0,Office Hours,hotel,0,29,0,100
662157-15092012,Spring,6200,0,Office Hours,hospital,0,19,0,100
662162-15092012,Spring,6900,8,Office Hours,office,0,1,0,100
662531-15092012,Spring,6900,9,Cooking-time,office,0,1,0,100
662590-15092012,Spring,6200,0,Cooking-time,tansport,0,3,0,100
662853-16092012,Spring,6110,0,Office Hours,public_facility,0,17,0,100
662862-16092012,Spring,6100,1,Office Hours,hotel,0,11,0,100
662889-16092012,Spring,0,0,Office Hours,hospital,0,2,0,100
663398-16092012,Spring,0,0,Night-time,others,0,10,0,100
663405-16092012,Spring,1100,0,Night-time,industry_facility,0,18,0,100
663451-17092012,Spring,6100,1,Night-time,shopping_mall,0,17,0,100
663905-17092012,Spring,6990,2,Cooking-time,shopping_mall,0,11,0,100
664049-18092012,Spring,6200,1,Night-time,rest_home,0,1,0,100
664065-18092012,Spring,1120,1,Night-time,others,0,3,0,100
664088-18092012,Spring,6110,1,Night-time,others,0,12,0,100
664192-18092012,Spring,1120,0,Office Hours,hotel,0,3,0,100
664194-18092012,Spring,6100,1,Office Hours,school,0,8,0,100
664209-18092012,Spring,6900,1,Office Hours,public_facility,0,14,0,100
664420-18092012,Spring,1120,2,Office Hours,others,0,1,0,100
664511-18092012,Spring,1100,2,Cooking-time,office,0,2,0,100
664657-19092012,Spring,1120,1,Night-time,hotel,0,1,0,100
664716-19092012,Spring,6900,3,Night-time,public_facility,0,1,0,100
664723-19092012,Spring,6900,1,Night-time,public_facility,0,9,0,100
664883-19092012,Spring,6990,1,Office Hours,public_facility,0,22,0,100
665149-19092012,Spring,6200,0,Office Hours,office,0,12,0,100
665808-20092012,Spring,6990,2,Office Hours,industry_facility,0,1,0,100
665942-20092012,Spring,6110,0,Cooking-time,hospital,0,13,0,100
665956-20092012,Spring,1100,0,Cooking-time,hotel,0,21,0,100
666062-21092012,Spring,6100,1,Night-time,office,0,5,0,100
666275-21092012,Spring,6200,0,Cooking-time,house,0,4,0,100
666363-21092012,Spring,6110,0,Office Hours,office,0,13,0,100
666369-21092012,Spring,6110,0,Office Hours,shopping_mall,0,6,0,100
667404-22092012,Spring,6100,2,Cooking-time,hospital,0,18,0,100
667445-22092012,Spring,1100,1,Cooking-time,hotel,0,3,0,100
667489-22092012,Spring,6900,1,Night-time,rest_home,0,14,0,100
667553-23092012,Spring,6900,1,Night-time,hotel,0,17,0,100
668093-23092012,Spring,1100,2,Cooking-time,hotel,0,1,0,100
668175-23092012,Spring,0,0,Night-time,public_facility,0,2,0,100
668413-24092012,Spring,6900,2,Cooking-time,hotel,0,4,0,100
668414-24092012,Spring,6900,3,Cooking-time,hotel,0,2,0,100
668416-24092012,Spring,6900,4,Cooking-time,hotel,0,2,0,100
668995-24092012,Spring,1100,0,Cooking-time,house,0,8,0,100
669088-24092012,Spring,6200,1,Night-time,office,0,3,0,100
669802-26092012,Spring,6100,2,Night-time,hospital,0,6,0,100
669832-26092012,Spring,1900,0,Night-time,apartment,0,7,0,100
669899-26092012,Spring,6990,2,Cooking-time,rest_home,0,3,0,100
669917-26092012,Spring,6990,3,Cooking-time,rest_home,0,2,0,100
669921-26092012,Spring,6990,4,Cooking-time,rest_home,0,1,0,100
669923-26092012,Spring,6200,1,Cooking-time,rest_home,0,4,0,100
669965-26092012,Spring,1900,0,Cooking-time,others,0,14,0,100
669979-26092012,Spring,6900,1,Office Hours,apartment,0,30,0,100
669995-26092012,Spring,6900,2,Office Hours,apartment,0,4,0,100
670011-26092012,Spring,6100,1,Office Hours,hospital,0,33,0,100
670050-26092012,Spring,6900,3,Office Hours,apartment,0,2,0,100
670613-27092012,Spring,6900,4,Night-time,apartment,0,1,0,100
670660-27092012,Spring,6900,1,Night-time,hospital,0,18,0,100
670891-27092012,Spring,6900,5,Cooking-time,apartment,0,1,0,100
671041-27092012,Spring,6900,1,Office Hours,rest_home,0,16,0,100
671085-27092012,Spring,6900,2,Office Hours,rest_home,0,4,0,100
671347-27092012,Spring,6900,3,Night-time,rest_home,0,2,0,100
671444-28092012,Spring,6900,3,Night-time,hospital,0,4,0,100
671454-28092012,Spring,6900,4,Night-time,hospital,0,2,0,100
671463-28092012,Spring,6900,5,Night-time,hospital,0,2,0,100
671475-28092012,Spring,6900,6,Night-time,hospital,0,2,0,100
671480-28092012,Spring,6900,7,Night-time,hospital,0,1,0,100
671483-28092012,Spring,6900,8,Night-time,hospital,0,1,0,100
671487-28092012,Spring,6900,9,Night-time,hospital,0,1,0,100
671909-28092012,Spring,6900,10,Cooking-time,hospital,0,1,0,100
671924-28092012,Spring,6900,2,Cooking-time,rest_home,0,4,0,100
671932-28092012,Spring,6900,11,Cooking-time,hospital,0,1,0,100
671958-28092012,Spring,6900,3,Office Hours,rest_home,0,1,0,100
672080-28092012,Spring,6990,2,Office Hours,office,0,4,0,100
672229-28092012,Spring,6990,2,Cooking-time,office,0,5,0,100
672308-28092012,Spring,6900,2,Cooking-time,hospital,0,8,0,100
672311-28092012,Spring,1100,1,Cooking-time,shopping_mall,0,7,0,100
672607-29092012,Spring,6900,2,Office Hours,others,0,13,0,100
672838-29092012,Spring,6200,1,Office Hours,others,0,11,0,100
672864-29092012,Spring,6200,2,Office Hours,others,0,2,0,100
672889-29092012,Spring,1900,0,Office Hours,others,0,11,0,100
673129-29092012,Spring,1100,0,Night-time,tansport,0,9,0,100
673280-30092012,Spring,1100,1,Night-time,office,0,5,0,100
673322-30092012,Spring,6200,0,Night-time,industry_facility,0,5,0,100
673343-30092012,Spring,6200,0,Night-time,school,0,18,0,100
673556-30092012,Spring,6100,2,Cooking-time,school,0,1,0,100
673558-30092012,Spring,6100,3,Cooking-time,school,0,1,0,100
673559-30092012,Spring,6100,4,Cooking-time,school,0,1,0,100
673560-30092012,Spring,6100,5,Cooking-time,school,0,1,0,100
673893-30092012,Spring,6200,1,Cooking-time,public_facility,0,4,0,100
673936-30092012,Spring,6990,1,Cooking-time,house,0,2,0,100
674164-01102012,Spring,6900,1,Night-time,industry_facility,0,13,0,100
674245-01102012,Spring,6100,1,Cooking-time,rest_home,0,29,0,100
674358-01102012,Spring,6990,2,Office Hours,public_facility,0,4,0,100
674655-01102012,Spring,6120,0,Cooking-time,others,0,2,0,100
674724-01102012,Spring,6990,2,Cooking-time,public_facility,0,6,0,100
674792-01102012,Spring,6990,0,Night-time,house,0,12,0,100
675475-02102012,Spring,6100,2,Night-time,others,0,8,0,100
675576-03102012,Spring,1900,0,Night-time,others,0,7,0,100
675800-03102012,Spring,6900,1,Cooking-time,industry_facility,0,11,0,100
675966-03102012,Spring,6200,0,Office Hours,house,0,8,0,100
675980-03102012,Spring,6200,1,Office Hours,house,0,2,0,100
676271-03102012,Spring,6900,2,Night-time,shopping_mall,0,2,0,100
676303-04102012,Spring,6900,3,Night-time,shopping_mall,0,1,0,100
676365-04102012,Spring,6900,4,Night-time,shopping_mall,0,1,0,100
676804-04102012,Spring,6100,1,Office Hours,industry_facility,0,4,0,100
676819-04102012,Spring,1100,0,Office Hours,industry_facility,0,9,0,100
677158-04102012,Spring,6110,1,Night-time,office,0,2,0,100
678041-05102012,Spring,6100,1,Office Hours,public_facility,0,9,0,100
678147-05102012,Spring,6110,1,Office Hours,others,0,9,0,100
678156-05102012,Spring,6990,1,Office Hours,house,0,2,0,100
678586-06102012,Spring,6200,1,Night-time,hotel,0,4,0,100
679050-06102012,Spring,6110,2,Office Hours,others,0,3,0,100
679159-06102012,Spring,6200,2,Cooking-time,shopping_mall,0,6,0,100
680088-08102012,Spring,6990,2,Night-time,public_facility,0,8,0,100
680108-08102012,Spring,6990,2,Night-time,hospital,0,6,0,100
680124-08102012,Spring,1100,1,Night-time,school,0,5,0,100
680220-08102012,Spring,6200,0,Office Hours,rest_home,0,27,0,100
680233-08102012,Spring,6200,2,Office Hours,shopping_mall,0,4,0,100
680322-08102012,Spring,6990,3,Cooking-time,hospital,0,5,0,100
680593-08102012,Spring,6990,4,Cooking-time,hospital,0,2,0,100
680780-09102012,Spring,6200,3,Cooking-time,shopping_mall,0,1,0,100
681103-09102012,Spring,6110,2,Office Hours,school,0,2,0,100
681352-10102012,Spring,6990,2,Night-time,apartment,0,6,0,100
681404-10102012,Spring,6200,4,Night-time,shopping_mall,0,2,0,100
681475-10102012,Spring,6110,3,Cooking-time,school,0,3,0,100
681515-10102012,Spring,6900,1,Office Hours,shopping_mall,0,12,0,100
681760-10102012,Spring,1100,0,Office Hours,house,0,3,0,100
681935-10102012,Spring,6990,2,Cooking-time,hotel,0,10,0,100
682898-12102012,Spring,6200,1,Office Hours,apartment,0,11,0,100
682963-12102012,Spring,6900,2,Cooking-time,shopping_mall,0,4,0,100
683345-13102012,Spring,6990,2,Cooking-time,house,0,1,0,100
683592-13102012,Spring,7110,0,Cooking-time,others,0,4,0,100
683838-14102012,Spring,6110,0,Office Hours,house,0,2,0,100
683991-14102012,Spring,6110,1,Office Hours,rest_home,0,2,0,100
684270-14102012,Spring,1100,1,Night-time,shopping_mall,0,11,0,100
684284-15102012,Spring,1100,1,Night-time,apartment,0,4,0,100
684564-15102012,Spring,1100,1,Cooking-time,school,0,8,0,100
684628-15102012,Spring,6200,1,Office Hours,school,0,7,0,100
684629-15102012,Spring,6200,2,Office Hours,school,0,1,0,100
684927-16102012,Spring,6200,2,Night-time,others,0,1,0,100
684928-16102012,Spring,1900,1,Night-time,apartment,0,2,0,100
684934-16102012,Spring,6110,0,Night-time,shopping_mall,0,7,0,100
684949-16102012,Spring,6200,3,Night-time,others,0,1,0,100
685488-16102012,Spring,6900,0,Cooking-time,restaurant,0,12,0,100
685522-16102012,Spring,1170,0,Cooking-time,others,0,1,0,100
685572-16102012,Spring,6900,1,Cooking-time,restaurant,0,5,0,100
685686-17102012,Spring,6110,0,Night-time,hospital,0,6,0,100
685785-17102012,Spring,1120,0,Cooking-time,hospital,0,2,0,100
686381-17102012,Spring,7110,0,Night-time,others,0,3,0,100
686399-17102012,Spring,6100,1,Night-time,rest_home,0,11,0,100
686713-18102012,Spring,6100,3,Office Hours,others,0,2,0,100
686725-18102012,Spring,6100,2,Office Hours,rest_home,0,5,0,100
687235-19102012,Spring,6100,0,Office Hours,restaurant,0,6,0,100
687975-20102012,Spring,6110,0,Night-time,rest_home,0,6,0,100
689078-21102012,Spring,6120,0,Night-time,others,0,7,0,100
689133-21102012,Spring,6900,3,Cooking-time,others,0,11,0,100
689845-22102012,Spring,6900,4,Night-time,others,0,2,0,100
689862-22102012,Spring,6110,2,Night-time,school,0,5,0,100
689869-22102012,Spring,6110,3,Night-time,school,0,1,0,100
689881-22102012,Spring,6110,4,Night-time,school,0,1,0,100
690003-22102012,Spring,1900,0,Office Hours,shopping_mall,0,1,0,100
690018-22102012,Spring,6100,2,Office Hours,hospital,0,3,0,100
690496-22102012,Spring,6900,1,Cooking-time,tansport,0,3,0,100
690583-22102012,Spring,6100,0,Night-time,house,0,10,0,100
690716-23102012,Spring,6990,4,Cooking-time,others,0,2,0,100
692058-25102012,Spring,1100,2,Night-time,others,0,9,0,100
692088-25102012,Spring,6900,1,Night-time,restaurant,0,2,0,100
692093-25102012,Spring,1100,3,Night-time,others,0,7,0,100
692118-25102012,Spring,1100,4,Cooking-time,others,0,2,0,100
692968-26102012,Spring,6990,3,Night-time,public_facility,0,2,0,100
693256-26102012,Spring,6110,2,Cooking-time,others,0,4,0,100
693272-26102012,Spring,6200,0,Cooking-time,industry_facility,0,10,0,100
693566-26102012,Spring,6100,2,Cooking-time,apartment,0,11,0,100
693567-26102012,Spring,6110,0,Cooking-time,house,0,2,0,100
693757-27102012,Spring,6100,3,Night-time,rest_home,0,1,0,100
693846-27102012,Spring,1120,0,Cooking-time,shopping_mall,0,1,0,100
693929-27102012,Spring,6990,1,Office Hours,hospital,0,22,0,100
694959-28102012,Spring,6200,1,Office Hours,public_facility,0,3,0,100
695499-29102012,Spring,6200,1,Office Hours,office,0,1,0,100
695967-29102012,Spring,6110,0,Night-time,industry_facility,0,4,0,100
696550-30102012,Spring,6200,2,Cooking-time,office,0,1,0,100
697576-01112012,Spring,1200,0,Cooking-time,public_facility,0,1,0,100
698754-02112012,Spring,1100,0,Cooking-time,rest_home,0,13,0,100
698907-02112012,Spring,1900,0,Office Hours,public_facility,0,3,0,100
699063-02112012,Spring,6100,0,Cooking-time,house,0,19,0,100
699255-03112012,Spring,6200,1,Night-time,hospital,0,3,0,100
699373-03112012,Spring,6990,3,Night-time,others,0,7,0,100
699560-03112012,Spring,6990,1,Office Hours,school,0,15,0,100
700893-05112012,Spring,6100,2,Night-time,rest_home,0,1,0,100
700948-05112012,Spring,6110,1,Cooking-time,rest_home,0,3,0,100
701518-06112012,Spring,1100,0,Night-time,hospital,0,3,0,100
701556-06112012,Spring,6100,1,Night-time,house,0,3,0,100
701628-06112012,Spring,6200,1,Cooking-time,school,0,7,0,100
701632-06112012,Spring,1900,0,Cooking-time,public_facility,0,3,0,100
701774-06112012,Spring,1100,2,Cooking-time,apartment,0,2,0,100
701933-06112012,Spring,6100,1,Office Hours,office,0,5,0,100
701977-06112012,Spring,1100,1,Cooking-time,hospital,0,1,0,100
702255-07112012,Spring,6990,3,Night-time,shopping_mall,0,2,0,100
702272-07112012,Spring,6900,1,Night-time,tansport,0,5,0,100
702556-07112012,Spring,6900,1,Office Hours,hotel,0,9,0,100
702563-07112012,Spring,6290,1,Office Hours,school,0,1,0,100
702712-07112012,Spring,6110,1,Cooking-time,public_facility,0,9,0,100
702879-07112012,Spring,6110,0,Night-time,office,0,10,0,100
703054-08112012,Spring,1900,1,Office Hours,public_facility,0,1,0,100
703055-08112012,Spring,6120,0,Office Hours,industry_facility,0,4,0,100
703152-08112012,Spring,1900,2,Cooking-time,public_facility,0,1,0,100
703171-08112012,Spring,1900,3,Cooking-time,public_facility,0,1,0,100
703305-08112012,Spring,6110,2,Office Hours,public_facility,0,1,0,100
703649-08112012,Spring,1100,0,Night-time,house,0,2,0,100
703678-09112012,Spring,1100,1,Night-time,house,0,1,0,100
704161-09112012,Spring,1100,2,Office Hours,others,0,3,0,100
704286-09112012,Spring,6110,1,Cooking-time,office,0,4,0,100
704379-10112012,Spring,6110,2,Night-time,office,0,1,0,100
704476-10112012,Spring,6990,2,Cooking-time,hospital,0,10,0,100
704497-10112012,Spring,1160,0,Cooking-time,office,0,1,0,100
704574-10112012,Spring,6110,3,Cooking-time,office,0,1,0,100
705530-12112012,Spring,1100,2,Night-time,shopping_mall,0,1,0,100
705641-12112012,Spring,1120,1,Cooking-time,others,0,2,0,100
706520-13112012,Spring,1120,1,Cooking-time,hotel,0,1,0,100
706774-13112012,Spring,1100,1,Cooking-time,apartment,0,6,0,100
706931-14112012,Spring,1100,2,Night-time,apartment,0,1,0,100
707424-14112012,Spring,6110,1,Cooking-time,industry_facility,0,3,0,100
707465-14112012,Spring,6110,0,Night-time,restaurant,0,1,0,100
707467-14112012,Spring,6110,1,Night-time,rest_home,0,2,0,100
707498-15112012,Spring,6110,2,Night-time,industry_facility,0,1,0,100
708026-15112012,Spring,6600,0,Cooking-time,apartment,0,2,0,100
708220-16112012,Spring,6990,1,Night-time,industry_facility,0,4,0,100
708555-16112012,Spring,1120,0,Office Hours,others,0,8,0,100
709998-19112012,Spring,6990,4,Night-time,public_facility,0,1,0,100
710009-19112012,Spring,1120,0,Night-time,industry_facility,0,3,0,100
711067-21112012,Spring,6200,3,Night-time,shopping_mall,0,1,0,100
711088-21112012,Spring,1100,0,Night-time,rest_home,0,4,0,100
711282-21112012,Spring,1100,2,Cooking-time,shopping_mall,0,2,0,100
711287-21112012,Spring,1100,3,Cooking-time,shopping_mall,0,1,0,100
713294-24112012,Spring,7110,1,Cooking-time,public_facility,0,1,0,100
713414-24112012,Spring,6100,2,Office Hours,tansport,0,1,0,100
713667-24112012,Spring,6100,3,Cooking-time,tansport,0,1,0,100
713869-25112012,Spring,7110,2,Night-time,public_facility,0,1,0,100
714238-25112012,Spring,1170,0,Cooking-time,industry_facility,0,1,0,100
714349-25112012,Spring,1200,0,Office Hours,others,0,1,0,100
714900-26112012,Spring,6990,0,Night-time,restaurant,0,5,0,100
715355-26112012,Spring,6900,3,Cooking-time,apartment,0,2,0,100
716275-27112012,Spring,6110,2,Night-time,others,0,1,0,100
716564-28112012,Spring,6110,1,Cooking-time,shopping_mall,0,1,0,100
717092-29112012,Spring,6100,3,Office Hours,hospital,0,1,0,100
717563-29112012,Spring,0,0,Night-time,house,0,1,0,100
717868-30112012,Spring,6900,3,Office Hours,others,0,4,0,100
718046-30112012,Spring,1100,1,Cooking-time,industry_facility,0,1,0,100
718377-30112012,Spring,6100,2,Night-time,public_facility,0,3,0,100
718454-01122012,Summer,6990,1,Night-time,others,0,152,0,100
718460-01122012,Summer,6990,1,Night-time,apartment,0,54,0,100
718465-01122012,Summer,6100,0,Night-time,shopping_mall,0,77,0,100
718474-01122012,Summer,6990,0,Night-time,house,0,10,0,100
718486-01122012,Summer,6990,0,Night-time,school,0,132,0,100
718524-01122012,Summer,6200,0,Night-time,hotel,0,31,0,100
718527-01122012,Summer,6990,2,Night-time,others,0,34,0,100
718528-01122012,Summer,6100,1,Night-time,apartment,0,44,0,100
718590-01122012,Summer,6200,0,Night-time,industry_facility,0,3,0,100
718593-01122012,Summer,6110,1,Night-time,school,0,17,0,100
718621-01122012,Summer,6990,0,Night-time,industry_facility,0,61,0,100
718729-01122012,Summer,6100,2,Office Hours,public_facility,0,3,0,100
718734-01122012,Summer,6900,1,Office Hours,school,0,39,0,100
718763-01122012,Summer,6900,0,Office Hours,rest_home,0,179,0,100
718832-01122012,Summer,6990,1,Cooking-time,hospital,0,57,0,100
718864-01122012,Summer,6100,0,Cooking-time,industry_facility,0,25,0,100
718878-01122012,Summer,6990,1,Cooking-time,public_facility,0,43,0,100
718925-01122012,Summer,6990,2,Office Hours,hotel,0,4,0,100
718990-01122012,Summer,6110,1,Office Hours,hotel,0,1,0,100
719022-01122012,Summer,1100,0,Office Hours,industry_facility,0,5,0,100
719078-01122012,Summer,6110,2,Cooking-time,hotel,0,1,0,100
719127-01122012,Summer,6200,0,Cooking-time,hospital,0,33,0,100
719305-02122012,Summer,6200,1,Night-time,hotel,0,6,0,100
719309-02122012,Summer,1100,1,Night-time,others,0,23,0,100
719353-02122012,Summer,6100,2,Night-time,apartment,0,4,0,100
719445-02122012,Summer,6900,1,Cooking-time,office,0,22,0,100
719464-02122012,Summer,6900,1,Cooking-time,hotel,0,23,0,100
719479-02122012,Summer,6990,1,Office Hours,shopping_mall,0,30,0,100
719563-02122012,Summer,6100,1,Cooking-time,apartment,0,51,0,100
719620-02122012,Summer,6200,0,Office Hours,shopping_mall,0,25,0,100
719665-02122012,Summer,6110,0,Office Hours,school,0,83,0,100
719744-02122012,Summer,1100,0,Cooking-time,public_facility,0,32,0,100
719876-03122012,Summer,1120,0,Night-time,office,0,1,0,100
719887-03122012,Summer,1160,0,Night-time,office,0,2,0,100
719904-03122012,Summer,6110,1,Night-time,others,0,15,0,100
719927-03122012,Summer,1100,0,Night-time,apartment,0,25,0,100
719943-03122012,Summer,6900,1,Cooking-time,industry_facility,0,7,0,100
719987-03122012,Summer,6100,1,Cooking-time,rest_home,0,24,0,100
720009-03122012,Summer,6990,0,Cooking-time,industry_facility,0,119,0,100
720025-03122012,Summer,6200,0,Office Hours,school,0,15,0,100
720037-03122012,Summer,6200,1,Office Hours,shopping_mall,0,8,0,100
720047-03122012,Summer,6900,2,Office Hours,others,0,21,0,100
720052-03122012,Summer,6200,2,Office Hours,shopping_mall,0,1,0,100
720080-03122012,Summer,6990,1,Office Hours,school,0,18,0,100
720210-03122012,Summer,1100,0,Office Hours,public_facility,0,17,0,100
720329-03122012,Summer,6990,1,Cooking-time,hotel,0,52,0,100
720384-03122012,Summer,6200,0,Cooking-time,office,0,31,0,100
720452-03122012,Summer,6900,1,Night-time,office,0,11,0,100
720486-04122012,Summer,6900,2,Night-time,office,0,2,0,100
720491-04122012,Summer,6200,0,Night-time,rest_home,0,18,0,100
720523-04122012,Summer,6990,1,Night-time,hotel,0,25,0,100
720533-04122012,Summer,6110,0,Night-time,apartment,0,27,0,100
720537-04122012,Summer,6900,1,Night-time,shopping_mall,0,23,0,100
720562-04122012,Summer,6990,1,Cooking-time,shopping_mall,0,57,0,100
720644-04122012,Summer,6200,0,Office Hours,apartment,0,46,0,100
721328-04122012,Summer,6200,0,Night-time,house,0,7,0,100
721370-05122012,Summer,6100,2,Night-time,others,0,17,0,100
721415-05122012,Summer,6100,3,Night-time,others,0,6,0,100
721428-05122012,Summer,1170,0,Night-time,industry_facility,0,2,0,100
721427-05122012,Summer,6120,0,Night-time,industry_facility,0,2,0,100
721476-05122012,Summer,1100,0,Cooking-time,hotel,0,25,0,100
721590-05122012,Summer,6900,2,Office Hours,hospital,0,5,0,100
721595-05122012,Summer,6200,0,Office Hours,hotel,0,31,0,100
721800-05122012,Summer,6200,1,Cooking-time,hotel,0,10,0,100
722007-05122012,Summer,6990,2,Cooking-time,others,0,55,0,100
722011-05122012,Summer,6990,1,Cooking-time,school,0,38,0,100
722188-05122012,Summer,6100,1,Office Hours,shopping_mall,0,16,0,100
722193-05122012,Summer,1100,0,Office Hours,apartment,0,39,0,100
722222-05122012,Summer,6110,0,Office Hours,hospital,0,12,0,100
722229-05122012,Summer,1100,1,Office Hours,apartment,0,4,0,100
722395-05122012,Summer,6100,0,Cooking-time,house,0,35,0,100
722516-05122012,Summer,6900,5,Night-time,others,0,1,0,100
722526-05122012,Summer,6100,1,Night-time,hospital,0,63,0,100
