incident_number,season,alarm_type,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
607692-26062012,Winter,0,0,Cooking-time,hotel,0,2,0,100
607697-26062012,Winter,0,0,Cooking-time,apartment,0,4,0,100
607725-26062012,Winter,0,0,Cooking-time,office,0,4,0,100
607729-26062012,Winter,0,0,Cooking-time,hospital,0,3,0,100
607746-26062012,Winter,0,0,Cooking-time,school,0,5,0,100
607806-26062012,Winter,0,0,Office Hours,public_facility,0,2,0,100
607820-26062012,Winter,0,0,Office Hours,house,0,1,0,100
607849-26062012,Winter,0,0,Office Hours,shopping_mall,0,1,0,100
607867-26062012,Winter,0,0,Cooking-time,house,0,2,0,100
607903-26062012,Winter,0,0,Cooking-time,industry_facility,0,1,0,100
607922-26062012,Winter,0,0,Cooking-time,public_facility,0,3,0,100
608004-26062012,Winter,0,0,Night-time,others,0,5,0,100
608021-27062012,Winter,0,0,Night-time,public_facility,0,3,0,100
608055-27062012,Winter,0,0,Night-time,apartment,0,4,0,100
608065-27062012,Winter,0,0,Night-time,shopping_mall,0,1,0,100
608068-27062012,Winter,0,0,Night-time,house,0,2,0,100
608439-27062012,Winter,6290,0,Cooking-time,school,0,4,0,100
608459-27062012,Winter,1100,1,Cooking-time,others,0,28,0,100
608469-27062012,Winter,6900,1,Cooking-time,rest_home,0,30,0,100
608580-28062012,Winter,1100,0,Night-time,hotel,0,9,0,100
608653-28062012,Winter,1100,0,Cooking-time,public_facility,0,31,0,100
608772-28062012,Winter,6900,0,Office Hours,tansport,0,52,0,100
608892-28062012,Winter,6900,1,Office Hours,rest_home,0,17,0,100
608942-28062012,Winter,6100,1,Office Hours,others,0,71,0,100
608960-28062012,Winter,6100,1,Office Hours,apartment,0,20,0,100
609167-29062012,Winter,6100,1,Night-time,public_facility,0,17,0,100
609199-29062012,Winter,6110,1,Cooking-time,others,0,13,0,100
609265-29062012,Winter,6900,2,Office Hours,others,0,21,0,100
609341-29062012,Winter,6990,1,Cooking-time,school,0,25,0,100
609368-29062012,Winter,7110,0,Cooking-time,others,0,7,0,100
609536-29062012,Winter,6110,2,Cooking-time,others,0,5,0,100
609562-29062012,Winter,6100,1,Cooking-time,public_facility,0,21,0,100
609610-29062012,Winter,1100,1,Cooking-time,apartment,0,7,0,100
609643-29062012,Winter,6990,2,Cooking-time,hospital,0,13,0,100
609712-30062012,Winter,1900,0,Night-time,apartment,0,1,0,100
609733-30062012,Winter,1100,1,Night-time,others,0,27,0,100
609746-30062012,Winter,1900,1,Night-time,apartment,0,1,0,100
609752-30062012,Winter,6900,1,Night-time,apartment,0,32,0,100
609765-30062012,Winter,1900,2,Night-time,apartment,0,1,0,100
609767-30062012,Winter,6110,0,Night-time,hospital,0,6,0,100
609882-30062012,Winter,6990,2,Office Hours,apartment,0,9,0,100
609899-30062012,Winter,6110,1,Office Hours,office,0,2,0,100
609974-30062012,Winter,1100,2,Cooking-time,apartment,0,2,0,100
610292-30062012,Winter,1900,3,Night-time,apartment,0,1,0,100
610320-01072012,Winter,6990,0,Night-time,tansport,0,15,0,100
610414-01072012,Winter,1100,0,Night-time,school,0,20,0,100
610434-01072012,Winter,1900,4,Cooking-time,apartment,0,1,0,100
610471-01072012,Winter,1100,2,Office Hours,school,0,3,0,100
610836-01072012,Winter,0,1,Night-time,industry_facility,0,1,0,100
610861-02072012,Winter,7110,0,Night-time,others,0,2,0,100
611033-02072012,Winter,6110,1,Cooking-time,apartment,0,9,0,100
611105-02072012,Winter,6900,1,Cooking-time,office,0,26,0,100
611237-02072012,Winter,6200,1,Office Hours,apartment,0,7,0,100
611267-02072012,Winter,6990,0,Cooking-time,tansport,0,24,0,100
611309-02072012,Winter,6900,2,Cooking-time,office,0,2,0,100
611320-02072012,Winter,6120,0,Cooking-time,industry_facility,0,6,0,100
611321-02072012,Winter,1170,0,Cooking-time,industry_facility,0,1,0,100
611403-03072012,Winter,6900,3,Night-time,apartment,0,3,0,100
611408-03072012,Winter,6120,1,Night-time,industry_facility,0,1,0,100
611409-03072012,Winter,1170,1,Night-time,industry_facility,0,1,0,100
611424-03072012,Winter,6110,0,Night-time,office,0,14,0,100
611511-03072012,Winter,6110,0,Office Hours,rest_home,0,6,0,100
611562-03072012,Winter,6900,3,Office Hours,office,0,1,0,100
611653-03072012,Winter,6990,2,Cooking-time,hotel,0,7,0,100
611691-03072012,Winter,6200,2,Office Hours,shopping_mall,0,2,0,100
611808-03072012,Winter,6200,3,Cooking-time,shopping_mall,0,2,0,100
611828-03072012,Winter,6200,4,Cooking-time,shopping_mall,0,1,0,100
611912-03072012,Winter,6900,4,Night-time,apartment,0,2,0,100
611946-04072012,Winter,6100,3,Night-time,others,0,6,0,100
612022-04072012,Winter,6900,5,Cooking-time,apartment,0,2,0,100
612279-04072012,Winter,6110,1,Office Hours,school,0,20,0,100
612314-04072012,Winter,6200,0,Office Hours,office,0,19,0,100
612336-04072012,Winter,6100,1,Office Hours,school,0,18,0,100
612378-04072012,Winter,6110,2,Cooking-time,school,0,7,0,100
