incident_number,season,alarm_type,time_of_day2,work_end,true_alarm,false_alarm,true_percentage,false_percentage
052187-11032013,Autumn,1200,Office Hours,Work_days,0,6,0,100
052683-12032013,Autumn,6290,Cooking-time,Work_days,0,4,0,100
053948-14032013,Autumn,1900,Office Hours,Work_days,0,5,0,100
055942-18032013,Autumn,0,Night-time,Work_days,0,5,0,100
056431-19032013,Autumn,1200,Night-time,Work_days,0,6,0,100
059443-23032013,Autumn,1120,Cooking-time,Week_ends,0,5,0,100
061389-26032013,Autumn,6120,Office Hours,Work_days,0,3,0,100
063896-30032013,Autumn,6210,Cooking-time,Week_ends,0,3,0,100
064267-31032013,Autumn,6210,Night-time,Week_ends,0,3,0,100
064453-31032013,Autumn,6290,Cooking-time,Week_ends,0,1,0,100
064574-31032013,Autumn,7110,Office Hours,Week_ends,0,5,0,100
067689-06042013,Autumn,1900,Night-time,Week_ends,0,1,0,100
069245-09042013,Autumn,6210,Night-time,Work_days,0,1,0,100
069314-09042013,Autumn,6210,Cooking-time,Work_days,0,3,0,100
072210-14042013,Autumn,0,Night-time,Week_ends,0,2,0,100
074030-17042013,Autumn,0,Cooking-time,Work_days,0,8,0,100
074592-18042013,Autumn,1170,Night-time,Work_days,0,2,0,100
083043-01052013,Autumn,7110,Night-time,Work_days,0,2,0,100
083557-03052013,Autumn,1900,Night-time,Work_days,0,5,0,100
088722-11052013,Autumn,6210,Office Hours,Week_ends,0,1,0,100
089566-12052013,Autumn,0,Cooking-time,Week_ends,0,5,0,100
108790-16062013,Winter,6290,Night-time,Week_ends,0,3,0,100
108877-16062013,Winter,6290,Office Hours,Week_ends,0,1,0,100
112924-23062013,Winter,7110,Night-time,Week_ends,0,1,0,100
113307-24062013,Winter,6290,Office Hours,Work_days,0,1,0,100
113334-24062013,Winter,6120,Office Hours,Work_days,0,4,0,100
113849-25062013,Winter,6210,Office Hours,Work_days,0,1,0,100
121869-10072013,Winter,8990,Cooking-time,Work_days,0,1,0,100
127118-20072013,Winter,1900,Office Hours,Week_ends,0,2,0,100
138761-10082013,Winter,1200,Office Hours,Week_ends,0,1,0,100
156073-03092013,Spring,1170,Office Hours,Work_days,0,1,0,100
162869-11092013,Spring,6210,Cooking-time,Work_days,0,3,0,100
170452-22092013,Spring,1120,Office Hours,Week_ends,0,2,0,100
184857-08102013,Spring,6120,Night-time,Work_days,0,2,0,100
205429-26102013,Spring,7110,Office Hours,Week_ends,0,5,0,100
210826-02112013,Spring,6120,Cooking-time,Week_ends,0,1,0,100
222679-16112013,Spring,1200,Night-time,Week_ends,0,1,0,100
231027-30112013,Spring,6290,Night-time,Week_ends,0,1,0,100
232472-03122013,Summer,6290,Office Hours,Work_days,0,1,0,100
234780-06122013,Summer,1200,Night-time,Work_days,0,5,0,100
009964-16012014,Summer,6210,Office Hours,Work_days,0,1,0,100
031006-15022014,Summer,7110,Night-time,Week_ends,0,1,0,100
037114-25022014,Summer,2270,Office Hours,Work_days,0,2,0,100
037290-26022014,Summer,6210,Night-time,Work_days,0,1,0,100
040190-03032014,Autumn,6210,Office Hours,Work_days,0,3,0,100
043624-09032014,Autumn,0,Office Hours,Week_ends,0,2,0,100
049238-18032014,Autumn,6120,Cooking-time,Work_days,0,2,0,100
053003-25032014,Autumn,6290,Office Hours,Work_days,0,1,0,100
056109-30032014,Autumn,6120,Night-time,Week_ends,0,1,0,100
059234-05042014,Autumn,1900,Cooking-time,Week_ends,0,2,0,100
060118-07042014,Autumn,1200,Cooking-time,Work_days,0,3,0,100
062375-12042014,Autumn,1110,Night-time,Week_ends,0,1,0,100
062682-12042014,Autumn,1900,Office Hours,Week_ends,0,1,0,100
081082-17052014,Autumn,6120,Office Hours,Week_ends,0,2,0,100
086380-25052014,Autumn,7110,Night-time,Week_ends,0,2,0,100
101594-25062014,Winter,1170,Office Hours,Work_days,0,1,0,100
105216-01072014,Winter,2270,Cooking-time,Work_days,0,4,0,100
115841-18072014,Winter,1130,Cooking-time,Work_days,0,1,0,100
132075-12082014,Winter,6210,Night-time,Work_days,0,1,0,100
144797-05092014,Spring,1200,Night-time,Work_days,0,1,0,100
147436-10092014,Spring,1200,Office Hours,Work_days,0,1,0,100
155137-24092014,Spring,6210,Night-time,Work_days,0,2,0,100
162400-04102014,Spring,6210,Office Hours,Week_ends,0,1,0,100
168014-12102014,Spring,1170,Office Hours,Week_ends,0,1,0,100
170676-15102014,Spring,1110,Cooking-time,Work_days,0,2,0,100
176281-25102014,Spring,2350,Office Hours,Week_ends,0,1,0,100
181530-01112014,Spring,1200,Cooking-time,Week_ends,0,1,0,100
187634-08112014,Spring,2350,Cooking-time,Week_ends,0,1,0,100
213596-14122014,Summer,4310,Office Hours,Week_ends,0,1,0,100
000798-02012015,Summer,7110,Night-time,Work_days,0,2,0,100
004514-08012015,Summer,1200,Office Hours,Work_days,0,1,0,100
010417-18012015,Summer,6120,Office Hours,Week_ends,0,2,0,100
015301-27012015,Summer,2270,Cooking-time,Work_days,0,1,0,100
045018-21032015,Autumn,1200,Cooking-time,Week_ends,0,1,0,100
045276-21032015,Autumn,1200,Office Hours,Week_ends,0,1,0,100
046509-24032015,Autumn,2350,Night-time,Work_days,0,1,0,100
058408-15042015,Autumn,1140,Cooking-time,Work_days,0,2,0,100
068161-22042015,Autumn,4110,Night-time,Work_days,0,1,0,100
070286-25042015,Autumn,2270,Office Hours,Week_ends,0,1,0,100
071655-27042015,Autumn,2270,Cooking-time,Work_days,0,1,0,100
097413-14062015,Winter,6120,Night-time,Week_ends,0,1,0,100
097414-14062015,Winter,1170,Night-time,Week_ends,0,1,0,100
